Date	Australia	Belgium	Canada	France	Germany	Italy	Japan	Netherlands	Spain	Sweden	Switzerland	UK	US
2017-01-01					-0.218588648598							0.8725258	-1.3342657967
2017-01-02					-0.233122681111							0.793236063667	-1.44800999841
2017-01-03					-0.127129310441								0.0760728560887
2017-01-04					1.64088224542								0.0527437273544
2017-01-05					1.62619432283		-0.647773065736						0.561619635774
2017-01-06					1.70072703897		-0.769000627907						1.56331296986
2017-01-07							-0.673070245695						1.36021700485
2017-01-08							-0.250387682632						1.27174196993
2017-01-09	-0.940387649978						0.0976269524781						1.6410000286
2017-01-10	-0.682577403267						-0.21274459794						1.68723200121
2017-01-11	-0.568995587758				2.79977733059	4.08742031822	-0.00357910263278						1.80680341953
2017-01-12	-0.147438916371				2.92562493081	4.29649795924							
2017-01-13	0.028771071918				2.81462269645	3.76294481066							
2017-01-14	0.235700337766				2.76477400793	3.76294481066							
2017-01-15	0.221325441707				2.67238753872	2.99831537971							
2017-01-16					2.61160005684	2.76997705895							
2017-01-17					2.79160964759	2.44046570969							
2017-01-18													-1.36263968284
2017-01-19													-1.37678573375
2017-01-20													-1.29527416162
2017-01-21													-1.35769673477
2017-01-22													-1.43592750593
2017-01-23													-1.4312410438
2017-01-24													-1.28097597443
2017-01-25													
2017-01-26													
2017-01-27													1.42807959743
2017-01-28													1.33956929686
2017-01-29													1.37669773486
2017-01-30													1.27086308586
2017-01-31													1.21500158739
2017-02-01													1.29848393904
2017-02-02													1.4071240346
2017-02-03													
2017-02-04													
2017-02-05													
2017-02-06													
2017-02-07													
2017-02-08													
2017-02-09													
2017-02-10													
2017-02-11													
2017-02-12													
2017-02-13													
2017-02-14													
2017-02-15													
2017-02-16												-2.37301208074	
2017-02-17												-2.20969014623	
2017-02-18												-2.35479694314	
2017-02-19												-2.28245081017	
2017-02-20												-2.11998707077	
2017-02-21												-2.10670967567	
2017-02-22												-2.19051339219	
2017-02-23													
2017-02-24													
2017-02-25													
2017-02-26													
2017-02-27													
2017-02-28													
2017-03-01													
2017-03-02													
2017-03-03													
2017-03-04													
2017-03-05													
2017-03-06													
2017-03-07													
2017-03-08													
2017-03-09													
2017-03-10			0.100368376014										
2017-03-11			-0.584824918714										
2017-03-12			-0.911229611849										
2017-03-13			-1.11123994039										
2017-03-14			-0.921399011293										
2017-03-15			-1.20153088972										
2017-03-16			-1.24658220803										
2017-03-17													
2017-03-18													
2017-03-19													
2017-03-20													
2017-03-21													
2017-03-22													
2017-03-23													
2017-03-24													
2017-03-25													
2017-03-26													
2017-03-27													
2017-03-28													
2017-03-29													
2017-03-30													
2017-03-31													
2017-04-01													
2017-04-02													
2017-04-03													
2017-04-04													
2017-04-05													
2017-04-06													
2017-04-07													
2017-04-08													
2017-04-09													
2017-04-10													
2017-04-11													
2017-04-12													
2017-04-13													
2017-04-14													
2017-04-15													
2017-04-16													
2017-04-17													
2017-04-18													
2017-04-19													
2017-04-20													
2017-04-21													
2017-04-22													
2017-04-23													
2017-04-24													
2017-04-25													
2017-04-26													
2017-04-27													
2017-04-28													
2017-04-29													
2017-04-30													
2017-05-01													
2017-05-02													
2017-05-03													
2017-05-04													
2017-05-05													-1.71806295144
2017-05-06													-1.69010254984
2017-05-07													-1.62939812543
2017-05-08							-4.06534177269						-1.68501340209
2017-05-09							-3.93927649173						-1.68159251324
2017-05-10							-3.77787543703						-1.67364358432
2017-05-11							-3.30144629396						-1.647707479
2017-05-12							-2.96673405699						-1.53578970565
2017-05-13							-2.81034729326						-1.55125111048
2017-05-14							-2.83367468704						-1.56026623128
2017-05-15					-0.643959199246								-1.56062993661
2017-05-16	5.39254268111				-1.19305010048								-2.01526414955
2017-05-17	5.44063685441				-1.03067522783								-1.84106347476
2017-05-18	5.62498984299				-0.870649416366								-1.73209185815
2017-05-19	5.59465807639				-0.851571778626								-2.29304889762
2017-05-20	5.4598080841				-0.499231561616								-2.18490595815
2017-05-21	5.37312468164				-0.456969127409								-1.92333283236
2017-05-22	5.36139975738				-1.13889300535								-1.88124211766
2017-05-23													
2017-05-24													
2017-05-25							-1.63007322173		-2.48499170092			-2.76922175752	
2017-05-26							-1.75658845277		-2.39360755853			-2.82808199129	
2017-05-27							-1.41168261772		-2.39360755853			-2.84482953171	
2017-05-28							-1.5804308372		-2.39360755853			-2.90779960343	-3.29411214918
2017-05-29							-1.58485198326		-2.06200442905			-2.81780083663	-3.46680385884
2017-05-30							-1.54803291104		-1.49923692504			-2.63726419521	-3.5344118341
2017-05-31							-1.5292793428		-1.04140032259			-2.55454704868	-1.62223097626
2017-06-01	-2.27885829455			-2.66141066868			-2.20502152148					-2.46239522785	-1.75257308408
2017-06-02	-2.54730483439			-2.66523337944			-2.35387215974					-2.42080782839	-1.80144292744
2017-06-03	-1.87466611587			-2.09771924342			-3.20354486554					-2.34851240829	-1.8221277491
2017-06-04	-1.66587121928			-1.86020697689			-3.48143619483					-2.47409084498	-0.121487258072
2017-06-05	-1.67513074857			-1.85722849098			-3.41042982658					-2.40936416277	0.00730122706839
2017-06-06	-1.55877158154			-1.75577452152			-3.4095305651					-2.35593828429	0.0795638625718
2017-06-07	-1.66733908165			-1.76054979084			-3.31165387034					-2.4644546317	
2017-06-08													
2017-06-09													
2017-06-10													
2017-06-11													
2017-06-12													
2017-06-13													
2017-06-14													
2017-06-15													
2017-06-16													
2017-06-17													
2017-06-18													
2017-06-19													
2017-06-20													
2017-06-21													
2017-06-22													
2017-06-23													
2017-06-24													
2017-06-25													-3.04095891803
2017-06-26													-3.0186586402
2017-06-27													-3.04678164264
2017-06-28													-2.96264181795
2017-06-29													-2.83361425412
2017-06-30													-2.9283230508
2017-07-01													-2.8582285393
2017-07-02													
2017-07-03													
2017-07-04													
2017-07-05													
2017-07-06													
2017-07-07													
2017-07-08													
2017-07-09													
2017-07-10													
2017-07-11													
2017-07-12													
2017-07-13													
2017-07-14													
2017-07-15													
2017-07-16													
2017-07-17													
2017-07-18													
2017-07-19													
2017-07-20													
2017-07-21													
2017-07-22													
2017-07-23													
2017-07-24													
2017-07-25													
2017-07-26													
2017-07-27													
2017-07-28													
2017-07-29													
2017-07-30													
2017-07-31													
2017-08-01													
2017-08-02													
2017-08-03													
2017-08-04													
2017-08-05													
2017-08-06													
2017-08-07													
2017-08-08													
2017-08-09													
2017-08-10													
2017-08-11													
2017-08-12													
2017-08-13													
2017-08-14													
2017-08-15													
2017-08-16	-0.308074207952				1.972979981		-0.0399076575164					0.441498267984	
2017-08-17	-0.515456833542				1.69594742324		-0.284045143106					0.41818033933	
2017-08-18	-0.631636696626				1.51011029632		-0.36205365796					0.420589555221	
2017-08-19	-1.30715204315				1.19953172699		-0.297333624588					0.0746343300546	
2017-08-20	-1.31470301604				1.00900299512		-0.461329758852					-0.245861361295	
2017-08-21	-1.35199121436				0.974922558007		-0.47915463655					-0.256336277725	
2017-08-22	-1.38044501068				0.830707956052		-0.533888458814					-0.439223650779	
2017-08-23													
2017-08-24													
2017-08-25													
2017-08-26													
2017-08-27													
2017-08-28													
2017-08-29													
2017-08-30													
2017-08-31													
2017-09-01													
2017-09-02													
2017-09-03													
2017-09-04													
2017-09-05													
2017-09-06													
2017-09-07													
2017-09-08													
2017-09-09													
2017-09-10													
2017-09-11					-2.89726535062								
2017-09-12					-3.13581624563								
2017-09-13					-3.18368438353								
2017-09-14					-3.0598382714								
2017-09-15					-3.18236815148								
2017-09-16					-2.53621273101								
2017-09-17					-1.93633341648								
2017-09-18					-2.16313603914								
2017-09-19					-2.14051150359								
2017-09-20					-2.25254953837								
2017-09-21					-2.2094350363								
2017-09-22													
2017-09-23													
2017-09-24													
2017-09-25													
2017-09-26													
2017-09-27													
2017-09-28													
2017-09-29													
2017-09-30													
2017-10-01													
2017-10-02	-1.31731397521												
2017-10-03	-1.57033539682												
2017-10-04	-1.67398303815												
2017-10-05	-1.58061824255												
2017-10-06	-1.78166378009												
2017-10-07	-2.03022950927												
2017-10-08	-1.88660593207												
2017-10-09													
2017-10-10													
2017-10-11													
2017-10-12													
2017-10-13													
2017-10-14													
2017-10-15													
2017-10-16													
2017-10-17													
2017-10-18													
2017-10-19													-0.507966238024
2017-10-20	-1.92199459688								-3.0114620327				-0.461956110355
2017-10-21	-2.19448009955								-2.51733084338				-0.402815406149
2017-10-22	-2.26645015982								-2.23536224926				-0.222863606766
2017-10-23	-2.38412435744								-2.31928231679				-0.170394874375
2017-10-24	-2.44774507467								-2.28101816228				-0.175988339772
2017-10-25	-2.56579313178								-2.33845873827				-0.0625123502173
2017-10-26	-2.43709177301								-2.55020023004				
2017-10-27													
2017-10-28													
2017-10-29													
2017-10-30													
2017-10-31					0.562617934198								
2017-11-01					0.380677312045								
2017-11-02					0.359731753311								
2017-11-03					0.498905916737								
2017-11-04	-3.64568182807				0.0801513368531								
2017-11-05	-3.58316611095				-0.341835673633								
2017-11-06	-3.48708934182				-0.221639604594								
2017-11-07	-3.75541951476												
2017-11-08	-3.4731691075												
2017-11-09	-3.43543588152												
2017-11-10	-3.39372227371						-1.84909727592						
2017-11-11							-1.28924249799						
2017-11-12							-0.97011795822						
2017-11-13							-0.846242582104						
2017-11-14							-0.709837529666						
2017-11-15	-3.05389444304		-2.96685278848	-1.64986623284	-2.12163042356	-3.88829191484	-1.32019980669		-2.5191861119		-3.78005644407	-2.2240790553	-3.23502155655
2017-11-16	-2.63429784518		-3.11314657303	-1.80401012179	-2.28850836283	-4.10135529396	-1.12469918895		-2.69287876321		-3.72314693669	-2.2467323683	-3.38285906351
2017-11-17	-2.71698183167		-3.32082005721	-1.90161893976	-2.41840476802	-4.44563839924	-1.52564680561		-2.36663101551		-3.62527108059	-2.27220498587	-3.51299854858
2017-11-18	-2.48460157989		-3.09849667732	-1.86982041418	-2.05585478444	-3.83406181128	-1.45364799727		-2.00423248202		-3.62628034734	-2.08571180683	-3.51989423286
2017-11-19	-1.14948776095		-2.88415354978	-1.59823740791	-2.14050598188	-4.05670229719	-1.57791032129		-3.04823941121		-3.97304812132	-2.0804697487	-3.55507391833
2017-11-20	-1.2553678907		-2.9135292824	-1.70366370372	-2.21569955304	-4.2340623461	-1.74729451553		-3.25449350022		-4.18863201181	-2.20676031902	-3.62756966163
2017-11-21	-1.4582214949		-3.07973831409	-2.08597044785	-2.38181779829	-4.3913796254	-2.0254104421		-3.18915935941		-4.07705311076	-2.31483281147	-3.75746930851
2017-11-22	-1.18374552653						-1.71858077519						
2017-11-23	-0.0718200486951												
2017-11-24	-0.149800685615												
2017-11-25	-0.306892267166												
2017-11-26													
2017-11-27													
2017-11-28					-0.123167033911								-0.624032959112
2017-11-29					-0.270486093473								-0.657157119961
2017-11-30	-1.33455097421				-0.612085049049		-1.01128598427					-1.71826100277	-1.17322116627
2017-12-01	-1.10053582683				-0.417874932981		-0.702287700499					-1.63694061959	-1.13659028688
2017-12-02	-0.680794033539				-0.333904676769		-0.758491222809					-1.57993107843	-1.17063678727
2017-12-03	-0.726822452958				0.00655632527601		-0.504117439097					-1.53769734767	-1.13426836131
2017-12-04	-0.793640750069				-0.211864280413		-0.665221396507					-1.72768444887	-1.22866048938
2017-12-05	-0.760984792349				-0.302887584658		-0.61666965762					-1.73627780023	-1.74559168327
2017-12-06	-0.464066917241				-0.244130448077		-0.548353661513					-1.64357763117	-1.5571635167
2017-12-07													
2017-12-08													
2017-12-09													
2017-12-10													
2017-12-11													
2017-12-12	-3.5906130067												
2017-12-13	-3.94398952481												
2017-12-14	-3.87291924461												
2017-12-15	-3.83450223144												
2017-12-16	-4.22342696576												
2017-12-17	-4.5884272913												
2017-12-18	-4.53629954405												
2017-12-19													
2017-12-20													
2017-12-21													
2017-12-22													
2017-12-23													
2017-12-24													
2017-12-25													
2017-12-26													
2017-12-27													
2017-12-28													-3.93203732938
2017-12-29													-3.91753179662
2017-12-30													-3.85795118151
2017-12-31													-3.82371067119
2018-01-01							-1.29866034369						-3.72891245002
2018-01-02							-1.14586740426						-3.72809823687
2018-01-03							-1.27158903206						-3.72528734546
2018-01-04							-1.26104504344						
2018-01-05							-1.30748702128						
2018-01-06							-1.62909833866						
2018-01-07							-1.80054118729						
2018-01-08													
2018-01-09													
2018-01-10													
2018-01-11													
2018-01-12													-4.83955795262
2018-01-13													-4.94383984161
2018-01-14													-4.71180064426
2018-01-15					-1.97098539831							-2.58528150781	-3.80914126153
2018-01-16					-1.76688026082							-2.51961702359	-3.79494703239
2018-01-17					-1.68541746828							-2.38615346308	-3.6363098015
2018-01-18					-1.73972493656							-2.28693015072	-3.67060042747
2018-01-19					-1.5633338592							-2.15345758841	-2.58878950534
2018-01-20					-1.13443703212							-2.28351508346	-2.48883110836
2018-01-21					-0.91063367589							-2.33698220687	-2.52665537643
2018-01-22													
2018-01-23													
2018-01-24													
2018-01-25													
2018-01-26													
2018-01-27													
2018-01-28													
2018-01-29													-4.33780157496
2018-01-30													-4.31325197196
2018-01-31													-4.3624443736
2018-02-01													-4.31404787962
2018-02-02													-4.14497510778
2018-02-03													-4.10521207753
2018-02-04	-4.26981238513			-3.4462476413	-4.31198494616								-4.33319306511
2018-02-05	-4.29464328533			-3.48965735882	-4.11239993555								
2018-02-06	-4.14824443557			-3.41168135193	-3.87684644519								
2018-02-07	-4.11298569519			-3.23089819878	-3.6146076488								
2018-02-08	-3.8918903073			-2.89983084173	-3.67693282972								
2018-02-09	-3.72514295545			-2.63351749029	-3.67719052995								
2018-02-10	-3.58121150225			-2.57553599091	-2.901403251								
2018-02-11													
2018-02-12					5.61966242085								4.27241502232
2018-02-13					5.14988126702								4.12708538042
2018-02-14					5.02245753368								4.02225509803
2018-02-15					4.9306037759								3.65058589489
2018-02-16					4.41643169842								3.38671839751
2018-02-17					4.27712167167								3.34409320158
2018-02-18	-1.81350628979				3.82187843225								3.31095648244
2018-02-19	-2.0118752												
2018-02-20	-2.09803237741												
2018-02-21	-2.19830206419												
2018-02-22	-2.15130517833												
2018-02-23	-2.06555283325												
2018-02-24	-2.20282117041												
2018-02-25													
2018-02-26													
2018-02-27													
2018-02-28													
