Date	Italy
2017-01-01	-0.505674165827
2017-01-02	-0.802309779605
2017-01-03	-0.748538119315
2017-01-04	-0.617844898331
2017-01-05	-0.100315625374
2017-01-06	0.21651391148
2017-01-07	0.162941317833
2017-01-08	1.04905227571
2017-01-09	0.908301469919
2017-01-10	1.20178919625
2017-01-11	1.65163951859
2017-01-12	0.921801826836
2017-01-13	0.743474939074
2017-01-14	0.743474939074
2017-01-15	-0.0211544918738
2017-01-16	-0.828142450887
2017-01-17	-0.994241372255
2017-01-18	-1.93336096197
2017-01-19	-1.39549330454
2017-01-20	-0.683387625569
2017-01-21	-0.683387625569
2017-01-22	-0.876540829568
2017-01-23	0.32467161022
2017-01-24	0.769733368035
2017-01-25	1.12160835833
2017-01-26	1.39585321828
2017-01-27	1.03314004953
2017-01-28	0.328693085261
2017-01-29	1.21527286639
2017-01-30	2.71571185874
2017-01-31	2.82284416672
2017-02-01	2.90895216493
2017-02-02	
2017-02-03	
2017-02-04	
2017-02-05	
2017-02-06	
2017-02-07	3.03373431008
2017-02-08	3.26557945025
2017-02-09	3.38877063882
2017-02-10	3.21731979982
2017-02-11	3.21731979982
2017-02-12	3.18139713321
2017-02-13	1.42463443432
2017-02-14	-0.235155235185
2017-02-15	-0.173756250417
2017-02-16	0.520343508169
2017-02-17	-0.575058366435
2017-02-18	-0.575058366435
2017-02-19	-0.557661547756
2017-02-20	-0.822194058987
2017-02-21	-1.10719219181
2017-02-22	-1.28967929916
2017-02-23	-3.2413259583
2017-02-24	-2.25874632075
2017-02-25	-2.55794944539
2017-02-26	-2.73752203718
2017-02-27	-2.50347296844
2017-02-28	-2.15082939321
2017-03-01	-2.27841275885
2017-03-02	-2.42522116488
2017-03-03	
2017-03-04	
2017-03-05	-0.412606322528
2017-03-06	-0.494292562468
2017-03-07	0.456944901063
2017-03-08	-0.105147051006
2017-03-09	0.229654207204
2017-03-10	0.380628081588
2017-03-11	0.380628081588
2017-03-12	0.889749848088
2017-03-13	0.788234837156
2017-03-14	-0.229250591757
2017-03-15	-0.0173145507204
2017-03-16	-0.187552717158
2017-03-17	-0.487031219495
2017-03-18	-0.487031219495
2017-03-19	-0.108486391176
2017-03-20	-0.113251003685
2017-03-21	
2017-03-22	0.377779267996
2017-03-23	0.360236721356
2017-03-24	0.870084928939
2017-03-25	0.870084928939
2017-03-26	0.782331433973
2017-03-27	1.24667442577
2017-03-28	1.08573086812
2017-03-29	1.18890153715
2017-03-30	0.956100422419
2017-03-31	1.72658712544
2017-04-01	1.72658712544
2017-04-02	2.08752541309
2017-04-03	1.61323649167
2017-04-04	0.19548715818
2017-04-05	0.0282707884886
2017-04-06	0.0303161442907
2017-04-07	-0.287641916455
2017-04-08	-0.0692929410887
2017-04-09	-3.49698567542
2017-04-10	-3.50066313493
2017-04-11	
2017-04-12	
2017-04-13	
2017-04-14	
2017-04-15	
2017-04-16	
2017-04-17	
2017-04-18	
2017-04-19	
2017-04-20	
2017-04-21	
2017-04-22	
2017-04-23	
2017-04-24	
2017-04-25	
2017-04-26	
2017-04-27	1.51360226986
2017-04-28	1.21153340963
2017-04-29	0.909277976049
2017-04-30	0.909277976049
2017-05-01	0.838930074996
2017-05-02	1.01063594226
2017-05-03	1.30079889983
2017-05-04	0.822686857421
2017-05-05	0.828739600388
2017-05-06	0.714246017268
2017-05-07	0.714246017268
2017-05-08	0.766795047008
2017-05-09	-1.16001920814
2017-05-10	-1.61334559226
2017-05-11	-2.90421260464
2017-05-12	-2.90532305379
2017-05-13	-2.65980896144
2017-05-14	-2.65980896144
2017-05-15	-0.375670766046
2017-05-16	1.21844968904
2017-05-17	4.59823109472
2017-05-18	4.71073027437
2017-05-19	4.48980639132
2017-05-20	4.48980639132
2017-05-21	4.65602039716
2017-05-22	
2017-05-23	
2017-05-24	
2017-05-25	
2017-05-26	
2017-05-27	
2017-05-28	
2017-05-29	
2017-05-30	
2017-05-31	
2017-06-01	
2017-06-02	
2017-06-03	
2017-06-04	
2017-06-05	
2017-06-06	
2017-06-07	
2017-06-08	
2017-06-09	-2.12512632017
2017-06-10	-2.12512632017
2017-06-11	-2.16982044868
2017-06-12	-2.13454808283
2017-06-13	-1.73046842803
2017-06-14	0.208847841839
2017-06-15	-0.131789794115
2017-06-16	0.254234185447
2017-06-17	0.254234185447
2017-06-18	1.66765588705
2017-06-19	0.206644692464
2017-06-20	1.22366162317
2017-06-21	-1.98483692251
2017-06-22	-1.71747670006
2017-06-23	-1.89107717898
2017-06-24	-1.89107717898
2017-06-25	-1.89107717898
2017-06-26	-1.45945356669
2017-06-27	-1.41699801427
2017-06-28	-1.54508799714
2017-06-29	-1.9273300584
2017-06-30	-1.824668449
2017-07-01	-1.824668449
2017-07-02	-2.33423478375
2017-07-03	-3.04901469278
2017-07-04	-3.22480123218
2017-07-05	-2.68492602869
2017-07-06	
2017-07-07	
2017-07-08	
2017-07-09	
2017-07-10	-0.1934409203
2017-07-11	0.210524044296
2017-07-12	-0.159216403523
2017-07-13	-0.748380616601
2017-07-14	-1.1351214994
2017-07-15	-1.1351214994
2017-07-16	-2.16101625322
2017-07-17	-1.96112403158
2017-07-18	-1.90692128162
2017-07-19	-1.80325853529
2017-07-20	-1.49837181934
2017-07-21	-0.808119710274
2017-07-22	-1.04407201979
2017-07-23	-0.35488560537
2017-07-24	-0.437697529835
2017-07-25	0.0870011775467
2017-07-26	1.36957616015
2017-07-27	1.75103462117
2017-07-28	1.93545310627
2017-07-29	2.39820647688
2017-07-30	2.18197627993
2017-07-31	2.67026984112
2017-08-01	3.0738300959
2017-08-02	0.0418553427601
2017-08-03	0.143921624064
2017-08-04	-0.357713775657
2017-08-05	0.0227673246453
2017-08-06	0.0506360294716
2017-08-07	-2.73653341882
2017-08-08	-2.47529732865
2017-08-09	
2017-08-10	-1.85204144476
2017-08-11	-1.69071374078
2017-08-12	-2.13739630032
2017-08-13	-1.99467544421
2017-08-14	-1.80508965464
2017-08-15	-2.19612304881
2017-08-16	-2.24548772791
2017-08-17	-2.91236712751
2017-08-18	-3.5366038455
2017-08-19	-3.27837216739
2017-08-20	-2.67422904381
2017-08-21	-2.73090827618
2017-08-22	-2.47134420695
2017-08-23	-1.21954014714
2017-08-24	-1.26227352756
2017-08-25	-1.03929477103
2017-08-26	-1.03929477103
