Date	Germany
2017-01-01	-0.049026862437
2017-01-02	0.477701994437
2017-01-03	0.668823426714
2017-01-04	-3.3371448884
2017-01-05	
2017-01-06	
2017-01-07	
2017-01-08	
2017-01-09	-0.0617781974715
2017-01-10	-0.356936835256
2017-01-11	-1.08134549028
2017-01-12	-1.39309821367
2017-01-13	-1.50410044803
2017-01-14	-1.55394913654
2017-01-15	-1.64633560576
2017-01-16	-2.30802709127
2017-01-17	-2.88858085362
2017-01-18	-2.85164818767
2017-01-19	
2017-01-20	
2017-01-21	
2017-01-22	
2017-01-23	
2017-01-24	
2017-01-25	0.270117295895
2017-01-26	-0.0952684458236
2017-01-27	-0.135333862318
2017-01-28	-0.439089897469
2017-01-29	-1.28913822473
2017-01-30	-1.66767485309
2017-01-31	-1.67624730271
2017-02-01	-2.16573743474
2017-02-02	-1.48227741817
2017-02-03	-1.13306352971
2017-02-04	-1.09322877153
2017-02-05	-1.18961287151
2017-02-06	-0.710816597552
2017-02-07	-0.199487166056
2017-02-08	-0.570880820381
2017-02-09	-0.649303150269
2017-02-10	0.288673106635
2017-02-11	0.288673106635
2017-02-12	0.198839231288
2017-02-13	-0.128079004326
2017-02-14	-0.210396309093
2017-02-15	3.34314465137
2017-02-16	3.46219723614
2017-02-17	-2.68170219019
2017-02-18	-2.37793598068
2017-02-19	-2.30181403439
2017-02-20	-2.10228624468
2017-02-21	-0.305756128857
2017-02-22	-0.272231122225
2017-02-23	-0.849841522072
2017-02-24	-0.201595300949
2017-02-25	-0.333052694568
2017-02-26	0.0199437390038
2017-02-27	0.0554858924018
2017-02-28	-0.74949791888
2017-03-01	-0.893145129178
2017-03-02	-0.0902824330635
2017-03-03	-0.175572689626
2017-03-04	-0.475021898066
2017-03-05	-0.869257350156
2017-03-06	
2017-03-07	
2017-03-08	
2017-03-09	
2017-03-10	-0.603384106212
2017-03-11	0.0994285988188
2017-03-12	0.297042222765
2017-03-13	0.0924651814097
2017-03-14	-0.0102147706435
2017-03-15	-0.0328429751222
2017-03-16	-0.270686613599
2017-03-17	
2017-03-18	
2017-03-19	
2017-03-20	
2017-03-21	
2017-03-22	
2017-03-23	
2017-03-24	
2017-03-25	
2017-03-26	
2017-03-27	
2017-03-28	0.00342968359748
2017-03-29	-0.350433909909
2017-03-30	-0.456438454796
2017-03-31	-0.535028502498
2017-04-01	-1.0615467809
2017-04-02	-1.12172698637
2017-04-03	-1.29226473126
2017-04-04	-2.03739050744
2017-04-05	-2.08424512628
2017-04-06	-1.00547605532
2017-04-07	-1.50586328641
2017-04-08	-1.35329855991
2017-04-09	-1.4760221137
2017-04-10	-1.32406727672
2017-04-11	-1.08619019782
2017-04-12	-1.03913547824
2017-04-13	-1.04581738995
2017-04-14	-0.663169266278
2017-04-15	-0.888219536687
2017-04-16	-0.790149216783
2017-04-17	-1.14237744421
2017-04-18	-1.20780085061
2017-04-19	-1.2428402559
2017-04-20	-2.68774889995
2017-04-21	-2.74978627084
2017-04-22	
2017-04-23	
2017-04-24	
2017-04-25	
2017-04-26	
2017-04-27	
2017-04-28	
2017-04-29	
2017-04-30	
2017-05-01	
2017-05-02	
2017-05-03	
2017-05-04	
2017-05-05	
2017-05-06	
2017-05-07	
2017-05-08	
2017-05-09	
2017-05-10	
2017-05-11	
2017-05-12	
2017-05-13	
2017-05-14	
2017-05-15	-1.09474256878
2017-05-16	-0.473164178587
2017-05-17	-0.310789305941
2017-05-18	-0.150763494474
2017-05-19	-0.131685856734
2017-05-20	0.220654360276
2017-05-21	0.262916794483
2017-05-22	0.749840704463
2017-05-23	-2.48098593705
2017-05-24	-2.73900267236
2017-05-25	-3.00492447128
2017-05-26	-3.03695177446
2017-05-27	-3.63509155392
2017-05-28	-3.56522036848
2017-05-29	-2.68982751894
2017-05-30	-1.806873856
2017-05-31	-1.60548567692
2017-06-01	-1.75123798452
2017-06-02	-0.202460900171
2017-06-03	0.0804726936101
2017-06-04	0.118295279967
2017-06-05	-0.197830992717
2017-06-06	-0.180181043419
2017-06-07	-0.319190645224
2017-06-08	0.302615597327
2017-06-09	-1.55966735265
2017-06-10	-1.83259400602
2017-06-11	-1.74231551934
2017-06-12	-1.38739690463
2017-06-13	-1.38230005163
2017-06-14	-1.33331418863
2017-06-15	-1.37944043805
2017-06-16	-1.33675620448
2017-06-17	-1.47048366342
2017-06-18	-1.76761102689
2017-06-19	-1.90199806221
2017-06-20	-2.06358847998
2017-06-21	-2.13923675809
2017-06-22	-2.16866817677
2017-06-23	-2.14155676097
2017-06-24	-1.88449737156
2017-06-25	-1.45768761132
2017-06-26	-1.55830141538
2017-06-27	-1.57620797206
2017-06-28	-1.20456011084
2017-06-29	-1.67474258361
2017-06-30	-2.96287439587
2017-07-01	-3.02619590223
2017-07-02	-4.025750754
2017-07-03	-2.31907528842
2017-07-04	-1.53482886487
2017-07-05	-1.29203392443
2017-07-06	-0.492501544966
2017-07-07	1.43671482635
2017-07-08	1.71697570922
2017-07-09	2.78619991499
2017-07-10	1.01524280934
2017-07-11	-0.560246090099
2017-07-12	-0.874104574907
2017-07-13	-1.11373857101
2017-07-14	-1.40532530201
2017-07-15	-1.42199996581
2017-07-16	-1.94410066331
2017-07-17	
2017-07-18	-1.48151443733
2017-07-19	-1.44142069573
2017-07-20	-1.48502317825
2017-07-21	-1.31416518237
2017-07-22	-1.65691038058
2017-07-23	-1.19422543888
2017-07-24	-0.899908963072
2017-07-25	
2017-07-26	
2017-07-27	
2017-07-28	
2017-07-29	
2017-07-30	
2017-07-31	
2017-08-01	
2017-08-02	
2017-08-03	-1.30675563551
2017-08-04	-1.27062072447
2017-08-05	-1.15167887875
2017-08-06	-1.48381453096
2017-08-07	-1.43094701598
2017-08-08	-1.0100120137
2017-08-09	-0.72774240518
2017-08-10	-0.357235336561
2017-08-11	-0.797090298928
2017-08-12	-0.500089705782
2017-08-13	0.0583726230807
2017-08-14	1.51760626734
2017-08-15	1.50752977815
2017-08-16	1.33838845071
2017-08-17	1.06135589295
2017-08-18	1.98207298223
2017-08-19	1.6714944129
2017-08-20	1.48096568103
2017-08-21	0.665322578846
2017-08-22	-0.882049395311
2017-08-23	-2.14637922591
2017-08-24	-2.29309672752
2017-08-25	-2.69254051699
2017-08-26	-2.60325974398
2017-08-27	-3.0940560269
2017-08-28	-3.09184634035
2017-08-29	
2017-08-30	
2017-08-31	
2017-09-01	
2017-09-02	
2017-09-03	
2017-09-04	-3.52385487945
2017-09-05	-4.45121679569
2017-09-06	-4.26779575815
2017-09-07	-4.18657699507
2017-09-08	-3.9741294101
2017-09-09	-3.65480121743
2017-09-10	-3.56576960956
2017-09-11	-4.50584349467
2017-09-12	
2017-09-13	
2017-09-14	0.0562503817794
2017-09-15	0.195798108878
2017-09-16	0.841953529349
2017-09-17	1.44183284388
2017-09-18	1.45887445116
2017-09-19	1.83173864869
2017-09-20	1.42157052345
2017-09-21	1.27978874958
2017-09-22	0.00149688823961
2017-09-23	-0.105541555264
2017-09-24	0.0805313386632
2017-09-25	0.0674139073491
2017-09-26	-0.210438465741
2017-09-27	-0.549436538864
2017-09-28	-1.57137128369
2017-09-29	-0.311875884645
2017-09-30	-0.313839957603
2017-10-01	-0.265167265294
2017-10-02	
2017-10-03	
2017-10-04	
2017-10-05	
2017-10-06	0.98128412171
2017-10-07	1.28953950845
2017-10-08	1.1098888676
2017-10-09	1.1856171844
2017-10-10	1.20892425065
2017-10-11	1.11593090701
2017-10-12	0.260933576044
2017-10-13	-0.463299271413
2017-10-14	-0.707213908702
2017-10-15	-1.27864015431
2017-10-16	-1.12446702363
2017-10-17	-0.541825830977
2017-10-18	-0.248380161114
2017-10-19	-0.318707907609
2017-10-20	-0.139247125971
2017-10-21	-0.448188578278
2017-10-22	0.134942912836
2017-10-23	0.252016696196
2017-10-24	-0.799176533421
2017-10-25	-1.70959696221
2017-10-26	-1.6999310152
2017-10-27	-1.94320298639
2017-10-28	-1.36175001849
2017-10-29	-1.3406369045
2017-10-30	-1.4966508571
2017-10-31	-1.22507412078
2017-11-01	-1.5575206186
2017-11-02	-1.57846617734
2017-11-03	-1.43929201391
2017-11-04	-1.8580465938
2017-11-05	-2.28003360428
2017-11-06	-2.06640852968
2017-11-07	-2.08340719664
2017-11-08	-1.45465447323
2017-11-09	-1.07329020609
2017-11-10	-1.14079798366
2017-11-11	-1.25875946529
2017-11-12	-0.84890246275
2017-11-13	-0.787124776117
2017-11-14	-0.827100202101
2017-11-15	-0.872863764837
2017-11-16	-1.42780127889
2017-11-17	-1.36090664759
2017-11-18	-0.998356664007
2017-11-19	-0.34471436046
2017-11-20	-0.403359487438
2017-11-21	-0.947978611299
2017-11-22	-0.965365608584
2017-11-23	-0.691031876745
2017-11-24	-0.801393081408
2017-11-25	-1.00272322607
2017-11-26	-1.9328612393
2017-11-27	-2.33529934166
2017-11-28	-1.20847117149
2017-11-29	-1.33285679598
2017-11-30	-1.48802736834
2017-12-01	-1.56432102785
2017-12-02	-1.48035077163
2017-12-03	-1.23014213274
2017-12-04	-1.44856273843
2017-12-05	-1.64284942361
2017-12-06	-1.39543185224
2017-12-07	-1.16285440835
2017-12-08	-1.38686697543
2017-12-09	-1.44291342662
2017-12-10	-1.59027577637
2017-12-11	-1.49159876413
2017-12-12	-0.272323150061
2017-12-13	-0.389579633244
2017-12-14	0.139954887887
2017-12-15	0.415067567335
2017-12-16	0.517268175134
2017-12-17	0.300216957675
2017-12-18	-0.298633012489
2017-12-19	-1.14945033123
2017-12-20	-1.42248740158
2017-12-21	-1.46985519887
2017-12-22	-1.45894284117
2017-12-23	-1.48912892993
2017-12-24	-0.80197037388
2017-12-25	-0.536485599517
2017-12-26	
2017-12-27	
2017-12-28	
2017-12-29	
2017-12-30	
2017-12-31	
2018-01-01	
2018-01-02	-0.216222971804
2018-01-03	-0.130775100506
2018-01-04	0.276092185035
2018-01-05	-0.0413565071129
2018-01-06	-0.78486706256
2018-01-07	-1.08879096907
2018-01-08	-1.34892906674
2018-01-09	-1.29096262883
2018-01-10	-1.04964392165
2018-01-11	-1.18150372984
2018-01-12	-1.28912891853
2018-01-13	-0.912266162992
2018-01-14	-0.897986633962
2018-01-15	-0.632671389845
2018-01-16	-0.815945766807
