Date	Japan
2017-01-01	
2017-01-02	
2017-01-03	
2017-01-04	
2017-01-05	-2.46250139221
2017-01-06	-2.58372895439
2017-01-07	-2.48779857217
2017-01-08	-2.06511600911
2017-01-09	-1.717101374
2017-01-10	-2.02747292442
2017-01-11	-1.81830742911
2017-01-12	
2017-01-13	
2017-01-14	
2017-01-15	
2017-01-16	
2017-01-17	
2017-01-18	-2.11316213409
2017-01-19	-2.27989479673
2017-01-20	-2.45349012154
2017-01-21	-2.3274697992
2017-01-22	-2.32433167355
2017-01-23	-2.2388568031
2017-01-24	-2.29579153801
2017-01-25	
2017-01-26	
2017-01-27	
2017-01-28	
2017-01-29	
2017-01-30	0.654652227943
2017-01-31	0.735179948211
2017-02-01	0.891382626549
2017-02-02	1.25647322464
2017-02-03	-0.530160857056
2017-02-04	-0.251894021986
2017-02-05	-0.376368330215
2017-02-06	-2.62144144967
2017-02-07	-2.66633685825
2017-02-08	-2.85682603633
2017-02-09	-2.89096928314
2017-02-10	
2017-02-11	
2017-02-12	
2017-02-13	
2017-02-14	
2017-02-15	
2017-02-16	
2017-02-17	
2017-02-18	
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	-3.01729365517
2017-02-23	-3.08734363361
2017-02-24	-3.18021987557
2017-02-25	-3.16575584451
2017-02-26	-2.88551235057
2017-02-27	-2.75848021336
2017-02-28	-2.86699740596
2017-03-01	
2017-03-02	
2017-03-03	
2017-03-04	
2017-03-05	
2017-03-06	
2017-03-07	
2017-03-08	
2017-03-09	
2017-03-10	0.812521161142
2017-03-11	1.15658004243
2017-03-12	1.08866558663
2017-03-13	0.984937004187
2017-03-14	0.917813453747
2017-03-15	0.756367489742
2017-03-16	0.415439510045
2017-03-17	
2017-03-18	
2017-03-19	
2017-03-20	
2017-03-21	
2017-03-22	
2017-03-23	1.30632503048
2017-03-24	1.42697391331
2017-03-25	1.55420649943
2017-03-26	1.66548614625
2017-03-27	3.27401556636
2017-03-28	3.20198432085
2017-03-29	2.83721770623
2017-03-30	4.27365685166
2017-03-31	4.14755012867
2017-04-01	3.84235337569
2017-04-02	3.47720180706
2017-04-03	
2017-04-04	
2017-04-05	-0.818273751421
2017-04-06	-1.21996288505
2017-04-07	-0.881460123685
2017-04-08	-0.610727986261
2017-04-09	-0.642894977667
2017-04-10	-0.782430894869
2017-04-11	-0.789925330928
2017-04-12	-0.818620721839
2017-04-13	-0.325524331796
2017-04-14	
2017-04-15	
2017-04-16	
2017-04-17	
2017-04-18	
2017-04-19	
2017-04-20	2.09507019901
2017-04-21	1.95483957816
2017-04-22	1.7987403032
2017-04-23	1.85278718743
2017-04-24	1.55606294159
2017-04-25	1.48919924061
2017-04-26	1.34547705717
2017-04-27	
2017-04-28	
2017-04-29	
2017-04-30	
2017-05-01	
2017-05-02	
2017-05-03	
2017-05-04	
2017-05-05	-0.134427267924
2017-05-06	-0.116842289607
2017-05-07	-0.171436211925
2017-05-08	0.0346363982477
2017-05-09	0.160701679202
2017-05-10	0.322102733904
2017-05-11	0.798531876978
2017-05-12	
2017-05-13	
2017-05-14	
2017-05-15	
2017-05-16	
2017-05-17	-2.37865788078
2017-05-18	-2.24956137946
2017-05-19	-1.301353367
2017-05-20	-1.48575736617
2017-05-21	-0.95505456259
2017-05-22	-1.06321113904
2017-05-23	-0.992891968277
2017-05-24	-0.938582315532
2017-05-25	0.072713255848
2017-05-26	1.21654923484
2017-05-27	1.5614550699
2017-05-28	1.39270685041
2017-05-29	1.38828570436
2017-05-30	1.42510477657
2017-05-31	1.44385834481
2017-06-01	1.6567725196
2017-06-02	1.8597938165
2017-06-03	1.01012111069
2017-06-04	0.732229781401
2017-06-05	0.803236149654
2017-06-06	0.804135411139
2017-06-07	0.902012105891
2017-06-08	-0.835434426246
2017-06-09	-2.55839266053
2017-06-10	-1.91875710517
2017-06-11	-1.97812530827
2017-06-12	-1.98804352436
2017-06-13	-2.17144841795
2017-06-14	-2.08730386881
2017-06-15	-1.81002035634
2017-06-16	-1.95125196243
2017-06-17	-1.63122182653
2017-06-18	-1.89485023264
2017-06-19	-2.04742268788
2017-06-20	-2.04696972213
2017-06-21	
2017-06-22	
2017-06-23	
2017-06-24	
2017-06-25	2.36244329554
2017-06-26	2.43101448061
2017-06-27	2.59560842034
2017-06-28	2.6170349471
2017-06-29	2.3879080767
2017-06-30	2.40294182202
2017-07-01	1.88750441154
2017-07-02	
2017-07-03	
2017-07-04	
2017-07-05	
2017-07-06	-0.858184347463
2017-07-07	-1.38740732488
2017-07-08	-0.823695955926
2017-07-09	-1.16175057017
2017-07-10	-1.09043769647
2017-07-11	-1.06574689263
2017-07-12	-1.03752511232
2017-07-13	-1.64739643501
2017-07-14	
2017-07-15	
2017-07-16	
2017-07-17	
2017-07-18	
2017-07-19	
2017-07-20	
2017-07-21	
2017-07-22	
2017-07-23	
2017-07-24	
2017-07-25	
2017-07-26	
2017-07-27	
2017-07-28	
2017-07-29	
2017-07-30	
2017-07-31	
2017-08-01	
2017-08-02	
2017-08-03	-2.70863393183
2017-08-04	-1.74754680853
2017-08-05	-1.97198393828
2017-08-06	-1.49538186972
2017-08-07	-1.70569877716
2017-08-08	-1.56329436352
2017-08-09	-1.24026396299
2017-08-10	-0.0313498224124
2017-08-11	
2017-08-12	
2017-08-13	
2017-08-14	
2017-08-15	
2017-08-16	
2017-08-17	
2017-08-18	
2017-08-19	
2017-08-20	
2017-08-21	
2017-08-22	
2017-08-23	
2017-08-24	
2017-08-25	
2017-08-26	
2017-08-27	
2017-08-28	-1.70794630176
2017-08-29	-1.581258875
2017-08-30	-1.7596931955
2017-08-31	-2.17852430839
2017-09-01	-2.37998696021
2017-09-02	-2.42645338103
2017-09-03	-2.8932577098
2017-09-04	-3.26626435202
2017-09-05	-3.25481585334
2017-09-06	-3.04676315734
2017-09-07	
2017-09-08	
2017-09-09	
2017-09-10	
2017-09-11	
2017-09-12	
2017-09-13	
2017-09-14	
2017-09-15	
2017-09-16	
2017-09-17	
2017-09-18	
2017-09-19	
2017-09-20	3.27576668317
2017-09-21	3.27618462962
2017-09-22	3.3475053207
2017-09-23	4.00224019117
2017-09-24	4.28990202553
2017-09-25	4.68744049276
2017-09-26	4.92585372176
2017-09-27	
2017-09-28	
2017-09-29	
2017-09-30	
2017-10-01	
2017-10-02	
2017-10-03	
2017-10-04	
2017-10-05	-2.50306163125
2017-10-06	-2.56511022246
2017-10-07	-2.18777860967
2017-10-08	-1.92296168112
2017-10-09	-2.07073641135
2017-10-10	-2.00526421215
2017-10-11	-1.97735694825
2017-10-12	
2017-10-13	
2017-10-14	
2017-10-15	
2017-10-16	
2017-10-17	
2017-10-18	
2017-10-19	
2017-10-20	
2017-10-21	
2017-10-22	
2017-10-23	
2017-10-24	
2017-10-25	
2017-10-26	
2017-10-27	
2017-10-28	
2017-10-29	
2017-10-30	
2017-10-31	-3.19722044641
2017-11-01	-1.7814472877
2017-11-02	-1.76469379034
2017-11-03	-1.80673699101
2017-11-04	-2.3969897825
2017-11-05	-2.74932890622
2017-11-06	-2.91174943543
2017-11-07	-1.43020506156
2017-11-08	
2017-11-09	-0.580164852069
2017-11-10	-0.0998076571304
2017-11-11	0.460047120806
2017-11-12	0.779171660573
2017-11-13	0.903047036689
2017-11-14	1.03945208913
2017-11-15	1.18137450524
2017-11-16	
2017-11-17	
2017-11-18	
2017-11-19	
2017-11-20	
2017-11-21	
2017-11-22	
2017-11-23	
2017-11-24	
2017-11-25	
2017-11-26	
2017-11-27	
2017-11-28	
2017-11-29	-1.21541029043
2017-11-30	-0.764244212461
2017-12-01	-0.455245928691
2017-12-02	-0.511449451002
2017-12-03	-0.257075667289
2017-12-04	-0.418179624699
2017-12-05	-0.369627885813
2017-12-06	
2017-12-07	-2.55859063396
2017-12-08	-2.97181358736
2017-12-09	-2.95283057926
2017-12-10	-2.88391827803
2017-12-11	-3.11386166767
2017-12-12	-3.28660406802
2017-12-13	-3.44127526261
2017-12-14	
2017-12-15	
2017-12-16	
2017-12-17	
2017-12-18	
2017-12-19	
2017-12-20	
2017-12-21	
2017-12-22	
2017-12-23	
2017-12-24	
2017-12-25	
2017-12-26	
2017-12-27	
2017-12-28	
2017-12-29	
2017-12-30	
2017-12-31	
2018-01-01	
2018-01-02	
2018-01-03	
2018-01-04	-1.07124765469
2018-01-05	-1.11768963253
2018-01-06	-1.43930094991
2018-01-07	-1.61074379853
2018-01-08	-1.47345776919
2018-01-09	-1.68893144405
2018-01-10	-1.53194886254
2018-01-11	-2.93442413806
2018-01-12	-2.91220018084
2018-01-13	-3.13004111839
