Date	Japan
2017-01-01	
2017-01-02	
2017-01-03	
2017-01-04	
2017-01-05	
2017-01-06	
2017-01-07	
2017-01-08	
2017-01-09	
2017-01-10	
2017-01-11	-1.24009170675
2017-01-12	-1.08295448114
2017-01-13	-0.964786231
2017-01-14	-1.02140173371
2017-01-15	-1.09924263414
2017-01-16	-1.2587416276
2017-01-17	-1.12752922643
2017-01-18	
2017-01-19	
2017-01-20	
2017-01-21	
2017-01-22	
2017-01-23	
2017-01-24	
2017-01-25	
2017-01-26	
2017-01-27	
2017-01-28	
2017-01-29	
2017-01-30	
2017-01-31	
2017-02-01	
2017-02-02	
2017-02-03	
2017-02-04	
2017-02-05	
2017-02-06	
2017-02-07	
2017-02-08	
2017-02-09	
2017-02-10	
2017-02-11	
2017-02-12	
2017-02-13	
2017-02-14	
2017-02-15	
2017-02-16	
2017-02-17	
2017-02-18	
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	
2017-02-28	
2017-03-01	
2017-03-02	
2017-03-03	
2017-03-04	
2017-03-05	
2017-03-06	
2017-03-07	
2017-03-08	
2017-03-09	
2017-03-10	
2017-03-11	
2017-03-12	
2017-03-13	
2017-03-14	
2017-03-15	
2017-03-16	
2017-03-17	
2017-03-18	
2017-03-19	
2017-03-20	
2017-03-21	
2017-03-22	
2017-03-23	
2017-03-24	
2017-03-25	
2017-03-26	
2017-03-27	
2017-03-28	
2017-03-29	
2017-03-30	
2017-03-31	
2017-04-01	
2017-04-02	
2017-04-03	
2017-04-04	
2017-04-05	
2017-04-06	-2.30437481055
2017-04-07	-2.14854927504
2017-04-08	-1.87781713761
2017-04-09	-1.90998412902
2017-04-10	-2.04952004622
2017-04-11	-2.05701448228
2017-04-12	-1.9411389768
2017-04-13	
2017-04-14	
2017-04-15	
2017-04-16	
2017-04-17	
2017-04-18	
2017-04-19	
2017-04-20	
2017-04-21	
2017-04-22	
2017-04-23	
2017-04-24	
2017-04-25	
2017-04-26	
2017-04-27	
2017-04-28	
2017-04-29	
2017-04-30	
2017-05-01	
2017-05-02	
2017-05-03	
2017-05-04	
2017-05-05	
2017-05-06	
2017-05-07	
2017-05-08	
2017-05-09	
2017-05-10	
2017-05-11	
2017-05-12	
2017-05-13	
2017-05-14	
2017-05-15	
2017-05-16	
2017-05-17	
2017-05-18	-2.36670799197
2017-05-19	-0.81585706154
2017-05-20	-1.00026106071
2017-05-21	-0.469558257129
2017-05-22	-0.577714833575
2017-05-23	-0.507395662817
2017-05-24	-0.797936965587
2017-05-25	0.37044872447
2017-05-26	
2017-05-27	
2017-05-28	
2017-05-29	
2017-05-30	
2017-05-31	
2017-06-01	
2017-06-02	
2017-06-03	
2017-06-04	
2017-06-05	
2017-06-06	
2017-06-07	
2017-06-08	-2.11574366568
2017-06-09	-1.90087686131
2017-06-10	-1.26124130596
2017-06-11	-1.32060950906
2017-06-12	0.604194807036
2017-06-13	-0.00941695424544
2017-06-14	-0.149710818936
2017-06-15	0.636895460828
2017-06-16	0.495663854735
2017-06-17	0.815693990637
2017-06-18	0.940492602965
2017-06-19	0.198922174578
2017-06-20	1.04526098633
2017-06-21	1.16904695202
2017-06-22	1.20770265823
2017-06-23	1.33637849272
2017-06-24	0.999781371441
2017-06-25	0.279530350148
2017-06-26	0.34810153521
2017-06-27	
2017-06-28	
2017-06-29	
2017-06-30	
2017-07-01	
2017-07-02	
2017-07-03	
2017-07-04	
2017-07-05	-3.04933765199
2017-07-06	-0.786953821234
2017-07-07	-0.22258765203
2017-07-08	0.341123716926
2017-07-09	0.00306910267825
2017-07-10	0.0743819763774
2017-07-11	0.099072780222
2017-07-12	1.47500031867
2017-07-13	1.10470097847
2017-07-14	
2017-07-15	
2017-07-16	
2017-07-17	
2017-07-18	
2017-07-19	
2017-07-20	0.381333456339
2017-07-21	0.442306216342
2017-07-22	0.401010360302
2017-07-23	-1.85579762945
2017-07-24	-1.82650062245
2017-07-25	-1.99851588445
2017-07-26	-2.1849917062
2017-07-27	-4.05537591594
2017-07-28	-4.1000860978
2017-07-29	-4.01613395162
2017-07-30	
2017-07-31	
2017-08-01	
2017-08-02	
2017-08-03	-2.57800814254
2017-08-04	-2.28774016587
2017-08-05	-2.51217729562
2017-08-06	-2.03557522706
2017-08-07	-2.24589213449
2017-08-08	-2.10348772086
2017-08-09	-1.55357381558
2017-08-10	-1.00890592768
2017-08-11	-0.559593042834
2017-08-12	-0.165011985914
2017-08-13	0.0134373707777
2017-08-14	0.160696149293
2017-08-15	0.149616079005
2017-08-16	
2017-08-17	
2017-08-18	
2017-08-19	
2017-08-20	
2017-08-21	
2017-08-22	
2017-08-23	
2017-08-24	
2017-08-25	
2017-08-26	
2017-08-27	
2017-08-28	
2017-08-29	
2017-08-30	
2017-08-31	
2017-09-01	
2017-09-02	
2017-09-03	
2017-09-04	
2017-09-05	
2017-09-06	
2017-09-07	
2017-09-08	
2017-09-09	
2017-09-10	
2017-09-11	
2017-09-12	
2017-09-13	
2017-09-14	
2017-09-15	
2017-09-16	
2017-09-17	
2017-09-18	
2017-09-19	
2017-09-20	
2017-09-21	
2017-09-22	
2017-09-23	
2017-09-24	
2017-09-25	
2017-09-26	
2017-09-27	
2017-09-28	
2017-09-29	
2017-09-30	
2017-10-01	
2017-10-02	
2017-10-03	
2017-10-04	
2017-10-05	
2017-10-06	
2017-10-07	
2017-10-08	
2017-10-09	
2017-10-10	
2017-10-11	
2017-10-12	
2017-10-13	
2017-10-14	
2017-10-15	
2017-10-16	
2017-10-17	
2017-10-18	
2017-10-19	
2017-10-20	
2017-10-21	
2017-10-22	
2017-10-23	
2017-10-24	
2017-10-25	
2017-10-26	
2017-10-27	
2017-10-28	
2017-10-29	
2017-10-30	-2.36836285922
2017-10-31	-1.19561573791
2017-11-01	-0.894896159985
2017-11-02	-0.878142662625
2017-11-03	-0.920185863291
2017-11-04	-1.51043865479
2017-11-05	-1.8627777785
2017-11-06	-1.3773231816
2017-11-07	-1.40396667554
2017-11-08	
2017-11-09	
2017-11-10	
2017-11-11	
2017-11-12	-2.58241032205
2017-11-13	-2.45853494593
2017-11-14	-2.3221298935
2017-11-15	-2.18020747739
2017-11-16	-2.14209026606
2017-11-17	-1.64331302506
2017-11-18	-1.57131421673
2017-11-19	-1.02802823698
2017-11-20	-0.30335156459
2017-11-21	-0.581467491159
2017-11-22	-0.903081943979
2017-11-23	-1.24276681256
2017-11-24	-0.528897387818
2017-11-25	-0.674446394726
2017-11-26	-0.948231046372
2017-11-27	
2017-11-28	
2017-11-29	
2017-11-30	
2017-12-01	-3.01392488958
2017-12-02	-3.76883269838
2017-12-03	-2.96450805058
2017-12-04	-2.2988701411
2017-12-05	-2.27376217803
2017-12-06	-2.20544618193
2017-12-07	-2.22873460789
2017-12-08	-2.39470541439
2017-12-09	-1.52899352934
2017-12-10	-1.13639174388
2017-12-11	-2.64233853429
2017-12-12	
2017-12-13	
2017-12-14	
2017-12-15	
2017-12-16	
2017-12-17	
2017-12-18	
2017-12-19	
2017-12-20	
2017-12-21	
2017-12-22	
2017-12-23	
2017-12-24	
2017-12-25	
2017-12-26	
2017-12-27	
2017-12-28	
2017-12-29	
2017-12-30	
2017-12-31	
2018-01-01	
2018-01-02	
2018-01-03	
2018-01-04	
2018-01-05	
2018-01-06	-3.63957002174
2018-01-07	-3.81101287037
2018-01-08	-3.67372684103
2018-01-09	-3.88920051588
2018-01-10	-3.73221793438
2018-01-11	-3.40283835789
2018-01-12	-3.38061440067
2018-01-13	
2018-01-14	
2018-01-15	
2018-01-16	
2018-01-17	
2018-01-18	
2018-01-19	
2018-01-20	-2.58167984419
2018-01-21	-1.80607472183
2018-01-22	-1.80957371461
2018-01-23	-1.75141586275
2018-01-24	-1.88504498662
2018-01-25	-1.95750233883
2018-01-26	-2.32196743435
2018-01-27	
2018-01-28	
2018-01-29	
2018-01-30	
2018-01-31	
2018-02-01	
2018-02-02	
2018-02-03	
2018-02-04	
2018-02-05	
2018-02-06	-3.78662013897
2018-02-07	-3.64538236145
2018-02-08	-3.44444421574
2018-02-09	-3.39093156694
2018-02-10	-3.05574130924
2018-02-11	-2.77735148167
2018-02-12	-2.96040273771
2018-02-13	
2018-02-14	
2018-02-15	
2018-02-16	1.30627323571
2018-02-17	0.258453911235
2018-02-18	0.461070288884
2018-02-19	0.475958467241
2018-02-20	0.503216362565
2018-02-21	0.550962082333
2018-02-22	0.604438396397
2018-02-23	0.705739290209
2018-02-24	1.24781351835
2018-02-25	0.734523628473
2018-02-26	0.214862950825
