Date	US
2017-01-01	-1.64034019368
2017-01-02	-1.75408439539
2017-01-03	0.69138324174
2017-01-04	0.668054113005
2017-01-05	0.827297715871
2017-01-06	
2017-01-07	
2017-01-08	-1.78307444818
2017-01-09	-1.41381638951
2017-01-10	-1.11805827582
2017-01-11	-0.813763680406
2017-01-12	-0.782447573108
2017-01-13	-0.862267241589
2017-01-14	-0.656697543909
2017-01-15	-0.588534378698
2017-01-16	-0.520817818593
2017-01-17	-0.721832770215
2017-01-18	
2017-01-19	4.18944527937
2017-01-20	4.2709568515
2017-01-21	4.20853427835
2017-01-22	4.13030350719
2017-01-23	4.13498996932
2017-01-24	4.28525503868
2017-01-25	4.13807606332
2017-01-26	
2017-01-27	
2017-01-28	
2017-01-29	
2017-01-30	
2017-01-31	
2017-02-01	
2017-02-02	
2017-02-03	
2017-02-04	
2017-02-05	
2017-02-06	
2017-02-07	
2017-02-08	
2017-02-09	
2017-02-10	
2017-02-11	
2017-02-12	
2017-02-13	
2017-02-14	
2017-02-15	
2017-02-16	-0.763880486636
2017-02-17	-0.629102128218
2017-02-18	-0.526721784159
2017-02-19	-0.525659373952
2017-02-20	-0.438183193342
2017-02-21	-0.54598204778
2017-02-22	-0.512614461692
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	
2017-02-28	
2017-03-01	
2017-03-02	
2017-03-03	
2017-03-04	
2017-03-05	
2017-03-06	
2017-03-07	
2017-03-08	
2017-03-09	
2017-03-10	
2017-03-11	
2017-03-12	0.192943534476
2017-03-13	0.299206088491
2017-03-14	0.253964042372
2017-03-15	0.216962605879
2017-03-16	0.133193510932
2017-03-17	0.138244939481
2017-03-18	0.293673157814
2017-03-19	
2017-03-20	
2017-03-21	
2017-03-22	
2017-03-23	
2017-03-24	
2017-03-25	
2017-03-26	
2017-03-27	
2017-03-28	
2017-03-29	
2017-03-30	
2017-03-31	
2017-04-01	
2017-04-02	
2017-04-03	
2017-04-04	
2017-04-05	-3.47969430618
2017-04-06	-3.49442747029
2017-04-07	-3.32280197216
2017-04-08	-3.07171645322
2017-04-09	-2.90550945964
2017-04-10	-2.81250890462
2017-04-11	-2.78423491665
2017-04-12	
2017-04-13	
2017-04-14	
2017-04-15	
2017-04-16	
2017-04-17	
2017-04-18	
2017-04-19	
2017-04-20	
2017-04-21	
2017-04-22	
2017-04-23	
2017-04-24	
2017-04-25	
2017-04-26	
2017-04-27	
2017-04-28	
2017-04-29	
2017-04-30	
2017-05-01	
2017-05-02	
2017-05-03	
2017-05-04	
2017-05-05	
2017-05-06	
2017-05-07	
2017-05-08	
2017-05-09	
2017-05-10	-2.77470365372
2017-05-11	-2.7487675484
2017-05-12	-2.56397033393
2017-05-13	-2.57943173877
2017-05-14	-1.29728748601
2017-05-15	-1.29765119134
2017-05-16	-1.20416928539
2017-05-17	0.14656245435
2017-05-18	-0.609717047946
2017-05-19	-0.571393625567
2017-05-20	-0.542967899479
2017-05-21	-0.905089458502
2017-05-22	-0.56916401998
2017-05-23	-0.578356021238
2017-05-24	-0.587506676843
2017-05-25	-0.417462350606
2017-05-26	-0.522586766417
2017-05-27	-0.498709319824
2017-05-28	-0.360378411679
2017-05-29	-0.757425820037
2017-05-30	-0.825033795298
2017-05-31	-1.20512471435
2017-06-01	-1.37094160836
2017-06-02	-1.41981145172
2017-06-03	-2.01778188706
2017-06-04	-2.16503410254
2017-06-05	-2.0362456174
2017-06-06	-1.9639829819
2017-06-07	-3.16584066398
2017-06-08	-2.94693324476
2017-06-09	-2.88842137828
2017-06-10	-2.58556346224
2017-06-11	-2.48651842978
2017-06-12	-2.26164374849
2017-06-13	-1.65786024122
2017-06-14	-1.68072229416
2017-06-15	-1.37303454977
2017-06-16	-1.63575681552
2017-06-17	-1.40936255973
2017-06-18	-1.4378578674
2017-06-19	-1.38705765337
2017-06-20	-1.55355751918
2017-06-21	-1.58069398327
2017-06-22	-1.57749724483
2017-06-23	-1.00305290068
2017-06-24	-1.78251577423
2017-06-25	-1.64373772415
2017-06-26	
2017-06-27	
2017-06-28	
2017-06-29	
2017-06-30	
2017-07-01	
2017-07-02	
2017-07-03	
2017-07-04	
2017-07-05	-2.34326112628
2017-07-06	-2.77253216308
2017-07-07	-2.08378195758
2017-07-08	-2.10703976235
2017-07-09	-2.08323847465
2017-07-10	-2.07420528739
2017-07-11	-1.70630866399
2017-07-12	-1.63645955507
2017-07-13	-1.44785236163
2017-07-14	-1.69563417553
2017-07-15	-1.75045862521
2017-07-16	-1.56817832282
2017-07-17	-1.44465282868
2017-07-18	-1.9116678299
2017-07-19	-3.37672519889
2017-07-20	-1.858171641
2017-07-21	-1.71895669252
2017-07-22	-1.46601363119
2017-07-23	-1.53624179221
2017-07-24	-1.51075123947
2017-07-25	-1.25681950742
2017-07-26	-0.988608624458
2017-07-27	-1.17265053279
2017-07-28	-0.976065473193
2017-07-29	-0.933430615608
2017-07-30	0.315787882545
2017-07-31	0.271312328168
2017-08-01	
2017-08-02	
2017-08-03	-2.87611335151
2017-08-04	-2.53303121698
2017-08-05	-2.4400215859
2017-08-06	-1.98143196629
2017-08-07	-2.05100095251
2017-08-08	-2.19691654756
2017-08-09	-2.0659739491
2017-08-10	-1.64377722311
2017-08-11	-1.38399230296
2017-08-12	-2.33243282233
2017-08-13	-2.40399744387
2017-08-14	-2.48745798449
2017-08-15	-2.69127311262
2017-08-16	-2.74864483789
2017-08-17	-2.88276922522
2017-08-18	-2.90580449228
2017-08-19	-2.35640714811
2017-08-20	-3.41498327032
2017-08-21	
2017-08-22	
2017-08-23	
2017-08-24	
2017-08-25	
2017-08-26	
2017-08-27	
2017-08-28	-0.201200198067
2017-08-29	-0.241948116172
2017-08-30	-0.288803542733
2017-08-31	-0.338273762176
2017-09-01	-0.304475043527
2017-09-02	-2.68438691958
2017-09-03	-2.77062093038
2017-09-04	-4.0676688687
2017-09-05	-3.49483111062
2017-09-06	-3.51807816542
2017-09-07	-3.4794454479
2017-09-08	-3.35245795203
2017-09-09	-2.39248003243
2017-09-10	-1.97468669646
2017-09-11	-1.83480319258
2017-09-12	
2017-09-13	
2017-09-14	
2017-09-15	
2017-09-16	
2017-09-17	
2017-09-18	
2017-09-19	
2017-09-20	
2017-09-21	
2017-09-22	
2017-09-23	
2017-09-24	
2017-09-25	
2017-09-26	
2017-09-27	
2017-09-28	
2017-09-29	
2017-09-30	
2017-10-01	
2017-10-02	
2017-10-03	
2017-10-04	
2017-10-05	
2017-10-06	
2017-10-07	
2017-10-08	
2017-10-09	
2017-10-10	
2017-10-11	
2017-10-12	
2017-10-13	
2017-10-14	
2017-10-15	
2017-10-16	
2017-10-17	
2017-10-18	
2017-10-19	
2017-10-20	
2017-10-21	
2017-10-22	
2017-10-23	
2017-10-24	
2017-10-25	
2017-10-26	
2017-10-27	
2017-10-28	
2017-10-29	
2017-10-30	-1.05474167956
2017-10-31	-1.70884432445
2017-11-01	-1.53251437992
2017-11-02	-1.46001344929
2017-11-03	-1.41694082617
2017-11-04	-1.51458258885
2017-11-05	-2.00557391182
2017-11-06	-2.15233865758
2017-11-07	-1.94905170982
2017-11-08	-2.95561467472
2017-11-09	-2.85923404105
2017-11-10	-2.39000748609
2017-11-11	-2.36426719341
2017-11-12	-2.39301937062
2017-11-13	-2.36702112555
2017-11-14	-2.23421276818
2017-11-15	-2.05999874186
2017-11-16	-2.20783624882
2017-11-17	-1.94135316824
2017-11-18	-2.17773257449
2017-11-19	-1.92638885688
2017-11-20	-2.27444235756
2017-11-21	-2.40434200444
2017-11-22	-2.62535474441
2017-11-23	-2.70020667818
2017-11-24	-3.00192434645
2017-11-25	-2.90653356427
2017-11-26	-3.52900351967
2017-11-27	
2017-11-28	
2017-11-29	
2017-11-30	
2017-12-01	-3.76155069624
2017-12-02	-3.98536917518
2017-12-03	-3.24537895786
2017-12-04	-3.57924249969
2017-12-05	-3.4874339892
2017-12-06	-3.03332422289
2017-12-07	-2.98394303327
2017-12-08	-2.90516515531
2017-12-09	-2.55009694337
2017-12-10	-2.9445850943
2017-12-11	-1.86860170212
2017-12-12	-1.96792171681
2017-12-13	
2017-12-14	
2017-12-15	-3.2401300785
2017-12-16	-4.10174789073
2017-12-17	-3.82847133976
2017-12-18	-3.90310304601
2017-12-19	-3.9176788547
2017-12-20	-3.77606443221
2017-12-21	-3.74278497938
2017-12-22	-4.01932438164
2017-12-23	-2.90216066608
2017-12-24	-4.01313206779
2017-12-25	-4.03820418744
2017-12-26	-4.07022769873
2017-12-27	-4.11012714815
2017-12-28	-4.07319851237
2017-12-29	-3.72196313132
2017-12-30	-3.4978234905
2017-12-31	-3.92573498137
2018-01-01	-3.83093676019
2018-01-02	-3.83012254705
2018-01-03	-4.32250066445
2018-01-04	-4.50611303083
2018-01-05	-4.91634380269
2018-01-06	-5.49828577136
2018-01-07	-4.63387511454
2018-01-08	-3.96951857835
2018-01-09	-3.59788590668
