Date	US
2017-01-01	-1.64898715674
2017-01-02	-1.45679675361
2017-01-03	-1.74652826233
2017-01-04	-1.20928069353
2017-01-05	-1.06367174978
2017-01-06	-0.997757477423
2017-01-07	-1.09385849351
2017-01-08	-0.942077317679
2017-01-09	-0.949077793712
2017-01-10	-0.844438683797
2017-01-11	-0.968794019064
2017-01-12	-1.07764508558
2017-01-13	-1.18708282957
2017-01-14	-1.16167141966
2017-01-15	-1.16346301653
2017-01-16	-0.96147274907
2017-01-17	-1.12059111379
2017-01-18	-1.24718500061
2017-01-19	-0.977291457715
2017-01-20	-0.920099256207
2017-01-21	-0.984695966771
2017-01-22	-1.02483528025
2017-01-23	-1.03554358881
2017-01-24	-0.753873384199
2017-01-25	-0.644150942524
2017-01-26	-0.831480501805
2017-01-27	-0.776075865157
2017-01-28	-0.97333841382
2017-01-29	-0.890691040373
2017-01-30	-0.846723744482
2017-01-31	-0.878712246652
2017-02-01	-0.941384563563
2017-02-02	-1.04044107034
2017-02-03	-1.07215521437
2017-02-04	-0.567317164996
2017-02-05	-0.674287795181
2017-02-06	-0.954341728355
2017-02-07	-1.0804239905
2017-02-08	-0.47493015469
2017-02-09	-0.278744844782
2017-02-10	-0.308188913202
2017-02-11	-0.6977705725
2017-02-12	-0.715407654017
2017-02-13	-0.635752988445
2017-02-14	-0.658841776464
2017-02-15	-1.12538362472
2017-02-16	-1.03117404046
2017-02-17	-1.05869061448
2017-02-18	-0.882578458587
2017-02-19	-0.93104924841
2017-02-20	-1.01923762728
2017-02-21	-0.826842646847
2017-02-22	-1.03264400822
2017-02-23	-1.09480885356
2017-02-24	-1.21180685866
2017-02-25	-1.2236013376
2017-02-26	-1.32348329233
2017-02-27	-1.27834381056
2017-02-28	-1.43949983642
2017-03-01	-1.23984342629
2017-03-02	-1.16821453819
2017-03-03	-1.00388315156
2017-03-04	-0.690139888807
2017-03-05	-0.216715652739
2017-03-06	-0.241599376471
2017-03-07	-0.135529518202
2017-03-08	-0.270055425017
2017-03-09	-0.289061306711
2017-03-10	-0.356903999511
2017-03-11	-0.64032131425
2017-03-12	-1.02444828211
2017-03-13	-0.945056632797
2017-03-14	-1.14133113637
2017-03-15	-1.19363698783
2017-03-16	-1.30317608238
2017-03-17	-1.15965126554
2017-03-18	-1.08390492278
2017-03-19	-0.891501228577
2017-03-20	-0.947422290259
2017-03-21	-0.910263759672
2017-03-22	-1.1027098298
2017-03-23	-1.12752298485
2017-03-24	-1.21577661826
2017-03-25	-1.36775124847
2017-03-26	-1.49862951437
2017-03-27	-1.56011836269
2017-03-28	-1.43909768477
2017-03-29	-1.10493211668
2017-03-30	-0.894576265369
2017-03-31	-0.984673919307
2017-04-01	-0.99339256585
2017-04-02	-0.953679663716
2017-04-03	-0.746133816019
2017-04-04	-0.840952028678
2017-04-05	-1.0821031449
2017-04-06	-1.42091248004
2017-04-07	-1.33510848097
2017-04-08	-1.31595310108
2017-04-09	-1.2776084813
2017-04-10	-1.54633442917
2017-04-11	-1.65863609496
2017-04-12	-1.48968625119
2017-04-13	-1.36478141006
2017-04-14	-1.27172304122
2017-04-15	-1.12727831518
2017-04-16	-1.06903386325
2017-04-17	-0.780617469181
2017-04-18	-0.796051827057
2017-04-19	-0.857455572067
2017-04-20	-0.685357536384
2017-04-21	-0.823100627965
2017-04-22	-0.727750404599
2017-04-23	-0.672247549113
2017-04-24	-0.782554296785
2017-04-25	-0.712097057661
2017-04-26	-0.562103043639
2017-04-27	-0.633542279558
2017-04-28	-0.455559099292
2017-04-29	-0.565697673901
2017-04-30	-0.412458352816
2017-05-01	-0.351440609742
2017-05-02	-0.25617611024
2017-05-03	-0.553817271559
2017-05-04	-0.59332874167
2017-05-05	-0.775326599138
2017-05-06	-0.807438744127
2017-05-07	-0.964690049961
2017-05-08	-0.977131134833
2017-05-09	-0.977326715468
2017-05-10	-0.89156449483
2017-05-11	-0.874375218898
2017-05-12	-0.875925413839
2017-05-13	-0.589667629874
2017-05-14	-0.400129020108
2017-05-15	-0.327102422587
2017-05-16	-0.241294885488
2017-05-17	-0.158473786508
2017-05-18	-0.248567634105
2017-05-19	-0.142158407854
2017-05-20	-0.73475624306
2017-05-21	-0.773881922183
2017-05-22	-0.892988334136
2017-05-23	-1.05375042257
2017-05-24	-1.01664763728
2017-05-25	-0.934782676743
2017-05-26	-0.967251631331
2017-05-27	-0.604150295063
2017-05-28	-1.05791100366
2017-05-29	-1.25107818774
2017-05-30	-1.30419303531
2017-05-31	-1.19445301475
2017-06-01	-1.12228764844
2017-06-02	-1.11841058312
2017-06-03	-1.34778155826
2017-06-04	-1.27631899334
2017-06-05	-0.985640252635
2017-06-06	-0.877564121712
2017-06-07	-1.1514517722
2017-06-08	-1.29386234733
2017-06-09	-1.39639451025
2017-06-10	-1.38016544736
2017-06-11	-1.48196762586
2017-06-12	-1.59001714891
2017-06-13	-1.54304933736
2017-06-14	-1.4842125333
2017-06-15	-1.56782902568
2017-06-16	-1.60749880445
2017-06-17	-1.70033055703
2017-06-18	-1.30885418539
2017-06-19	-1.12397754645
2017-06-20	-1.36271263304
2017-06-21	-1.29548309979
2017-06-22	-1.25444670531
2017-06-23	-1.17352176771
2017-06-24	-1.00587663887
2017-06-25	-1.04611348741
2017-06-26	-1.1952447007
2017-06-27	-1.00860807623
2017-06-28	-0.908777904957
