Date	CHF
2017-01-01	-0.0905717625147
2017-01-02	-0.344246847255
2017-01-03	-0.450844909354
2017-01-04	-0.36913973555
2017-01-05	-0.136041401094
2017-01-06	
2017-01-07	
2017-01-08	
2017-01-09	
2017-01-10	
2017-01-11	
2017-01-12	
2017-01-13	
2017-01-14	
2017-01-15	
2017-01-16	
2017-01-17	
2017-01-18	
2017-01-19	
2017-01-20	-4.25066515923
2017-01-21	-4.34202263753
2017-01-22	-4.4629632658
2017-01-23	-4.64911237821
2017-01-24	-4.27854263178
2017-01-25	-4.6951438771
2017-01-26	-4.71049635524
2017-01-27	
2017-01-28	
2017-01-29	
2017-01-30	
2017-01-31	
2017-02-01	
2017-02-02	-3.36539011863
2017-02-03	-2.90707131577
2017-02-04	-2.47728506259
2017-02-05	-2.41052704915
2017-02-06	-2.73218813941
2017-02-07	-2.65401584662
2017-02-08	-2.0525823097
2017-02-09	-1.33566628747
2017-02-10	-0.522075136592
2017-02-11	-1.20717520816
2017-02-12	-0.763122256728
2017-02-13	-0.561084376743
2017-02-14	-0.594597349825
2017-02-15	0.843671719611
2017-02-16	0.917720691818
2017-02-17	
2017-02-18	
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	
2017-02-28	
2017-03-01	
2017-03-02	
2017-03-03	
2017-03-04	
2017-03-05	
2017-03-06	
2017-03-07	
2017-03-08	
2017-03-09	
2017-03-10	-3.14211781031
2017-03-11	-3.34704980269
2017-03-12	-2.9674876849
2017-03-13	-3.30374142788
2017-03-14	-3.40930074264
2017-03-15	-3.45995060024
2017-03-16	-3.32052182044
2017-03-17	-3.85943684385
2017-03-18	-4.10604202878
2017-03-19	-4.20591055403
2017-03-20	
2017-03-21	
2017-03-22	
2017-03-23	
2017-03-24	
2017-03-25	
2017-03-26	
2017-03-27	
2017-03-28	
2017-03-29	
2017-03-30	
2017-03-31	
2017-04-01	
2017-04-02	
2017-04-03	
2017-04-04	
2017-04-05	
2017-04-06	
2017-04-07	
2017-04-08	
2017-04-09	
2017-04-10	
2017-04-11	
2017-04-12	
2017-04-13	
2017-04-14	
2017-04-15	
2017-04-16	
2017-04-17	
2017-04-18	
2017-04-19	
2017-04-20	
2017-04-21	
2017-04-22	
2017-04-23	
2017-04-24	
2017-04-25	
2017-04-26	
2017-04-27	
2017-04-28	
2017-04-29	
2017-04-30	
2017-05-01	
2017-05-02	
2017-05-03	
2017-05-04	
2017-05-05	
2017-05-06	
2017-05-07	
2017-05-08	
2017-05-09	
2017-05-10	
2017-05-11	
2017-05-12	
2017-05-13	
2017-05-14	
2017-05-15	
2017-05-16	
2017-05-17	
2017-05-18	
2017-05-19	
2017-05-20	
2017-05-21	
2017-05-22	
2017-05-23	
2017-05-24	
2017-05-25	
2017-05-26	
2017-05-27	
2017-05-28	
2017-05-29	
2017-05-30	
2017-05-31	
2017-06-01	
2017-06-02	
2017-06-03	
2017-06-04	
2017-06-05	-4.68967831616
2017-06-06	-4.71311274235
2017-06-07	-4.60957169932
2017-06-08	-4.61733789017
2017-06-09	-4.83540757599
2017-06-10	-2.32982652484
2017-06-11	-1.30455168304
2017-06-12	0.370252292761
2017-06-13	0.462927971179
2017-06-14	0.37997012461
2017-06-15	0.491109017271
2017-06-16	0.564018797123
2017-06-17	-0.0775329939472
2017-06-18	
2017-06-19	
2017-06-20	
2017-06-21	
2017-06-22	
2017-06-23	
2017-06-24	
2017-06-25	
2017-06-26	
2017-06-27	
2017-06-28	
2017-06-29	
2017-06-30	
2017-07-01	
2017-07-02	
2017-07-03	
2017-07-04	-1.38735949283
2017-07-05	-2.68030829228
2017-07-06	-2.38176529855
2017-07-07	-2.54739959941
2017-07-08	-2.64539897371
2017-07-09	-2.63145213682
2017-07-10	-2.51523989733
2017-07-11	-3.83062062159
2017-07-12	
2017-07-13	
2017-07-14	
2017-07-15	
2017-07-16	
2017-07-17	
2017-07-18	
2017-07-19	
2017-07-20	
2017-07-21	
2017-07-22	
2017-07-23	
2017-07-24	
2017-07-25	
2017-07-26	
2017-07-27	
2017-07-28	
2017-07-29	
2017-07-30	
2017-07-31	
2017-08-01	
2017-08-02	
2017-08-03	
2017-08-04	
2017-08-05	
2017-08-06	
2017-08-07	
2017-08-08	
2017-08-09	
2017-08-10	
2017-08-11	
2017-08-12	
2017-08-13	
2017-08-14	
2017-08-15	
2017-08-16	
2017-08-17	
2017-08-18	
2017-08-19	
2017-08-20	
2017-08-21	
2017-08-22	
2017-08-23	
2017-08-24	-2.78810836369
2017-08-25	-2.96435389525
2017-08-26	-1.92040051352
2017-08-27	-2.197167716
2017-08-28	-2.08814697151
2017-08-29	-2.07710818202
2017-08-30	-2.97774912139
2017-08-31	-2.75755298725
2017-09-01	-2.87394765526
2017-09-02	-5.00194721363
2017-09-03	-3.91735181513
2017-09-04	-3.76166153606
2017-09-05	-3.64939731759
2017-09-06	-2.45444601728
2017-09-07	-2.32947860002
2017-09-08	-2.29996963947
2017-09-09	-2.15889410695
2017-09-10	
2017-09-11	
2017-09-12	-2.80336738162
2017-09-13	-2.98170855045
2017-09-14	-2.77816417687
2017-09-15	-2.65629756551
2017-09-16	-2.93558267037
2017-09-17	-3.28974834293
2017-09-18	-3.46410379525
2017-09-19	
2017-09-20	
2017-09-21	
2017-09-22	
2017-09-23	
2017-09-24	
2017-09-25	
2017-09-26	
2017-09-27	
2017-09-28	
2017-09-29	-0.939755019892
2017-09-30	-1.43832864418
2017-10-01	-1.75219718689
2017-10-02	-2.0681914875
2017-10-03	-2.15037093604
2017-10-04	-2.25488684571
2017-10-05	-2.25068528838
2017-10-06	
2017-10-07	
2017-10-08	
2017-10-09	
2017-10-10	
