Date	GBP
2017-01-01	-0.856798587055
2017-01-02	-1.84978578226
2017-01-03	-2.17649275823
2017-01-04	-1.87064308385
2017-01-05	-2.60868172424
2017-01-06	-2.60302960565
2017-01-07	-2.54470430268
2017-01-08	-2.46023838308
2017-01-09	-1.24847312117
2017-01-10	-0.433952434152
2017-01-11	-0.356562905366
2017-01-12	1.28891251273
2017-01-13	1.38980783876
2017-01-14	1.98780341055
2017-01-15	2.2632597966
2017-01-16	2.75544109307
2017-01-17	2.7347126374
2017-01-18	2.68957525626
2017-01-19	2.12237369529
2017-01-20	2.05669674154
2017-01-21	1.68026033286
2017-01-22	2.17996567626
2017-01-23	2.08209376315
2017-01-24	2.49581629378
2017-01-25	2.45008784
2017-01-26	2.71393244387
2017-01-27	2.506219699
2017-01-28	1.53560332265
2017-01-29	1.18288414837
2017-01-30	1.17222842961
2017-01-31	0.32159149032
2017-02-01	0.824312145957
2017-02-02	1.20280497033
2017-02-03	1.42515869526
2017-02-04	2.70922282929
2017-02-05	2.94263504628
2017-02-06	2.99946965491
2017-02-07	2.71887690227
2017-02-08	2.77650060397
2017-02-09	2.22678416654
2017-02-10	3.21146854523
2017-02-11	3.05559650539
2017-02-12	2.85639970814
2017-02-13	2.80056734137
2017-02-14	2.61014242659
2017-02-15	2.57894174418
2017-02-16	1.45673378056
2017-02-17	0.444250891353
2017-02-18	0.457235262878
2017-02-19	0.639498779485
2017-02-20	0.938258000887
2017-02-21	0.238175136623
2017-02-22	0.137525605235
2017-02-23	0.19334455921
2017-02-24	0.150971362635
2017-02-25	0.185086852395
2017-02-26	-0.0918386870606
2017-02-27	-0.65766914239
2017-02-28	-0.383100118386
2017-03-01	-0.191708587888
2017-03-02	-0.324223823615
2017-03-03	-0.314680313685
2017-03-04	0.0635505704615
2017-03-05	0.143114218711
2017-03-06	0.333047117647
2017-03-07	0.649999669297
2017-03-08	0.712881031159
2017-03-09	0.912054070943
2017-03-10	0.953701999237
2017-03-11	0.76019627599
2017-03-12	0.819212477851
2017-03-13	1.29866247704
2017-03-14	-0.249562507483
2017-03-15	-0.138782622505
2017-03-16	-0.0237950965849
2017-03-17	-0.230577321605
2017-03-18	-0.256124681339
2017-03-19	-0.249861450263
2017-03-20	-0.961484158022
2017-03-21	1.27759232248
2017-03-22	1.79906262803
2017-03-23	1.69992559827
2017-03-24	1.55037985395
2017-03-25	1.6028833418
2017-03-26	1.55433816385
2017-03-27	-0.452280300491
2017-03-28	-2.40027758803
2017-03-29	-2.33336319968
2017-03-30	-2.26885426843
2017-03-31	-2.16378373339
2017-04-01	-2.39893751618
2017-04-02	-2.37452286517
2017-04-03	
2017-04-04	2.49427770169
2017-04-05	2.42157510143
2017-04-06	2.33956490252
2017-04-07	-0.159787007484
2017-04-08	-0.168339718246
2017-04-09	-0.126137234855
2017-04-10	-0.155306091429
2017-04-11	-2.71165707423
2017-04-12	-2.7893896127
