Date	AUD
2017-01-01	0.943393491601
2017-01-02	1.12841677558
2017-01-03	1.08519938794
2017-01-04	1.1637351071
2017-01-05	0.898636744162
2017-01-06	0.166780880178
2017-01-07	-0.357675720657
2017-01-08	-0.584636993185
2017-01-09	-0.878713706463
2017-01-10	-1.61591795022
2017-01-11	-1.53526943353
2017-01-12	-1.40397610048
2017-01-13	-2.18779720022
2017-01-14	-2.59117554146
2017-01-15	-2.68055979481
2017-01-16	-2.45727567938
2017-01-17	
2017-01-18	
2017-01-19	
2017-01-20	
2017-01-21	
2017-01-22	
2017-01-23	
2017-01-24	
2017-01-25	
2017-01-26	
2017-01-27	
2017-01-28	
2017-01-29	
2017-01-30	
2017-01-31	-1.26173589001
2017-02-01	0.107144636768
2017-02-02	0.395341290042
2017-02-03	-0.318850924366
2017-02-04	-0.435770618913
2017-02-05	-0.355319653619
2017-02-06	-0.344306287164
2017-02-07	-0.330347298653
2017-02-08	-2.44544240986
2017-02-09	-2.4459395675
2017-02-10	
2017-02-11	
2017-02-12	
2017-02-13	
2017-02-14	
2017-02-15	
2017-02-16	
2017-02-17	
2017-02-18	
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	
2017-02-28	
2017-03-01	
2017-03-02	
2017-03-03	-2.70990921476
2017-03-04	-2.66442132527
2017-03-05	-2.80778212641
2017-03-06	-2.69620676984
2017-03-07	-2.55197160968
2017-03-08	-2.33357025335
2017-03-09	-2.11562649759
2017-03-10	
2017-03-11	
2017-03-12	
2017-03-13	
2017-03-14	
2017-03-15	
2017-03-16	
2017-03-17	
2017-03-18	
2017-03-19	
2017-03-20	
2017-03-21	
2017-03-22	
2017-03-23	
2017-03-24	
2017-03-25	
2017-03-26	4.99554535085
2017-03-27	3.00045947718
2017-03-28	2.86859336541
2017-03-29	2.62040899912
2017-03-30	2.36619959412
2017-03-31	2.26036978556
2017-04-01	2.37872260933
2017-04-02	-0.0806888769944
2017-04-03	
2017-04-04	
2017-04-05	
2017-04-06	
2017-04-07	-0.245596955735
2017-04-08	-0.450556800157
2017-04-09	-0.474392093993
2017-04-10	-0.695026459478
2017-04-11	-0.549806215569
2017-04-12	-0.396000983338
2017-04-13	-0.514614262052
2017-04-14	
2017-04-15	
2017-04-16	
2017-04-17	
2017-04-18	
2017-04-19	
2017-04-20	
2017-04-21	
2017-04-22	
2017-04-23	
2017-04-24	
2017-04-25	
2017-04-26	-1.0301576368
2017-04-27	-1.56025000137
2017-04-28	-1.42343194706
2017-04-29	-1.53726349201
2017-04-30	0.184440627754
2017-05-01	0.500244534595
2017-05-02	0.48242048043
2017-05-03	0.67335555427
2017-05-04	2.93688202524
2017-05-05	2.18001638973
2017-05-06	2.62314395606
2017-05-07	1.78547752707
2017-05-08	-0.315176618864
2017-05-09	-0.33551293619
2017-05-10	-0.410316112264
2017-05-11	-0.532098367345
2017-05-12	-2.51002413354
2017-05-13	-2.53008691444
2017-05-14	-2.31437599731
2017-05-15	
2017-05-16	
2017-05-17	
2017-05-18	
2017-05-19	-3.22026648709
2017-05-20	-3.35291485563
2017-05-21	-3.76381806543
2017-05-22	-3.67709636865
2017-05-23	-3.71924162816
2017-05-24	-3.70820570222
2017-05-25	-3.78320596826
2017-05-26	
2017-05-27	
2017-05-28	
2017-05-29	
2017-05-30	
2017-05-31	
2017-06-01	-0.308979448355
2017-06-02	-0.336016491473
2017-06-03	-0.398540227488
2017-06-04	-0.991262346399
2017-06-05	0.795905293403
2017-06-06	0.805763902941
2017-06-07	0.231969739265
2017-06-08	0.624242801235
2017-06-09	0.656038999244
2017-06-10	0.700766147988
2017-06-11	1.8009412792
2017-06-12	-0.715392557011
2017-06-13	-0.786850225234
2017-06-14	3.32387556707
2017-06-15	3.2726643434
2017-06-16	3.16424164094
