Date	JPY
2017-01-01	-1.42034449123
2017-01-02	-1.31766485767
2017-01-03	-1.33242185537
2017-01-04	-1.38230479089
2017-01-05	-1.54141685855
2017-01-06	-1.8503601195
2017-01-07	
2017-01-08	
2017-01-09	
2017-01-10	
2017-01-11	
2017-01-12	
2017-01-13	
2017-01-14	
2017-01-15	
2017-01-16	
2017-01-17	
2017-01-18	
2017-01-19	
2017-01-20	
2017-01-21	
2017-01-22	
2017-01-23	
2017-01-24	
2017-01-25	
2017-01-26	
2017-01-27	
2017-01-28	0.366787135785
2017-01-29	0.263150959053
2017-01-30	0.394256734702
2017-01-31	0.344418450528
2017-02-01	0.497036476303
2017-02-02	0.560716700068
2017-02-03	0.59102401247
2017-02-04	-0.958805354886
2017-02-05	-0.812304550721
2017-02-06	-0.981526117294
2017-02-07	-0.84491808942
2017-02-08	-0.832953197744
2017-02-09	-0.671802380969
2017-02-10	-0.70867065259
2017-02-11	
2017-02-12	
2017-02-13	
2017-02-14	
2017-02-15	
2017-02-16	
2017-02-17	
2017-02-18	
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	
2017-02-28	-0.903163100315
2017-03-01	-0.912271584408
2017-03-02	-0.810278481401
2017-03-03	-0.527882400626
2017-03-04	-0.375506112672
2017-03-05	-0.191146261206
2017-03-06	-0.36417355752
2017-03-07	
2017-03-08	
2017-03-09	
2017-03-10	
2017-03-11	0.238467500017
2017-03-12	0.118495180417
2017-03-13	0.167117047126
2017-03-14	0.231511036687
2017-03-15	0.102894228497
2017-03-16	-0.00842439093991
2017-03-17	0.0299488173218
2017-03-18	-0.848982725292
2017-03-19	-1.08061377099
2017-03-20	-0.980544850052
2017-03-21	-0.996167902142
2017-03-22	-1.14140374433
2017-03-23	-0.991580368012
2017-03-24	-1.02562533029
2017-03-25	
2017-03-26	
2017-03-27	
2017-03-28	
2017-03-29	
2017-03-30	
2017-03-31	
2017-04-01	
2017-04-02	
2017-04-03	
2017-04-04	
2017-04-05	
2017-04-06	
2017-04-07	
2017-04-08	
2017-04-09	
2017-04-10	
2017-04-11	
2017-04-12	
2017-04-13	
2017-04-14	
2017-04-15	-1.45824601335
2017-04-16	-1.40035176351
2017-04-17	-1.31586536
2017-04-18	-1.3223225302
2017-04-19	-1.32156526711
2017-04-20	-1.45668250786
2017-04-21	-1.61393450964
2017-04-22	
2017-04-23	
2017-04-24	
2017-04-25	
2017-04-26	
2017-04-27	
2017-04-28	
2017-04-29	
2017-04-30	
2017-05-01	
2017-05-02	
2017-05-03	
2017-05-04	
2017-05-05	
2017-05-06	
2017-05-07	
2017-05-08	
2017-05-09	
2017-05-10	
2017-05-11	
2017-05-12	
2017-05-13	
2017-05-14	
2017-05-15	
2017-05-16	
2017-05-17	
2017-05-18	
2017-05-19	
2017-05-20	
2017-05-21	
2017-05-22	
2017-05-23	
2017-05-24	
2017-05-25	
2017-05-26	
2017-05-27	1.24369904485
2017-05-28	0.956031745462
2017-05-29	1.08785203666
2017-05-30	1.0808235919
2017-05-31	1.02910097161
2017-06-01	0.927333005306
2017-06-02	0.950961489111
2017-06-03	-1.98685120145
2017-06-04	-1.62443492234
2017-06-05	-1.80614789668
2017-06-06	-1.78645028076
2017-06-07	-1.72937405771
2017-06-08	-1.57840280552
2017-06-09	-1.32319655074
2017-06-10	
2017-06-11	
2017-06-12	
2017-06-13	
2017-06-14	
2017-06-15	
2017-06-16	
2017-06-17	
2017-06-18	
2017-06-19	
2017-06-20	
2017-06-21	
2017-06-22	
2017-06-23	
2017-06-24	-1.63451124149
2017-06-25	-1.86087927511
2017-06-26	-1.79859320194
2017-06-27	-2.47278133313
2017-06-28	-2.43026982129
2017-06-29	-2.40500811375
2017-06-30	-2.31848989526
2017-07-01	-3.13572449965
2017-07-02	-2.87076049511
2017-07-03	-3.03321055812
2017-07-04	
2017-07-05	
2017-07-06	
2017-07-07	-0.0427149246794
2017-07-08	-0.206194427815
2017-07-09	-0.450306445732
2017-07-10	-0.488751686001
2017-07-11	-0.597182032831
2017-07-12	-0.549911321102
2017-07-13	-0.690889405862
2017-07-14	-0.811434077832
2017-07-15	5.1881174608
2017-07-16	5.07904592703
2017-07-17	5.14130887334
2017-07-18	5.25443208941
2017-07-19	5.19641981409
2017-07-20	5.21442516921
2017-07-21	5.25014275324
2017-07-22	
2017-07-23	
2017-07-24	
2017-07-25	-2.50583064037
2017-07-26	-2.68814909163
2017-07-27	-2.57846218599
2017-07-28	-2.62905101922
2017-07-29	-2.18571121884
2017-07-30	-2.11470067201
2017-07-31	-2.12840172977
2017-08-01	-1.307461591
2017-08-02	-1.11735939773
2017-08-03	-1.04958002976
2017-08-04	-0.889655472215
2017-08-05	0.671740171523
2017-08-06	0.737155806585
2017-08-07	0.087768747413
2017-08-08	0.458083993452
2017-08-09	0.693752426593
2017-08-10	0.841468324642
2017-08-11	0.971578754641
2017-08-12	0.840034841973
2017-08-13	0.908354928486
2017-08-14	1.50456428035
2017-08-15	-3.29058747694
2017-08-16	-3.60500227347
2017-08-17	-3.99906714889
2017-08-18	-4.0541819525
2017-08-19	-3.18860616651
2017-08-20	-3.31029952761
2017-08-21	-3.29117449056
2017-08-22	-2.48698810703
2017-08-23	-2.38851998256
2017-08-24	-2.34888113299
2017-08-25	-2.48870411875
2017-08-26	-2.21073611504
2017-08-27	-2.32578829584
2017-08-28	-2.38125925819
2017-08-29	-2.23502450374
2017-08-30	-2.21456526849
2017-08-31	-2.13230586623
2017-09-01	-2.19713255415
2017-09-02	
2017-09-03	
2017-09-04	
2017-09-05	
2017-09-06	-4.04190225384
2017-09-07	-4.08957713493
2017-09-08	-4.01938633487
2017-09-09	-2.71827564373
2017-09-10	-2.81701760918
2017-09-11	-2.85211438087
2017-09-12	-2.91561362546
2017-09-13	-1.5115906318
2017-09-14	-1.31221494166
2017-09-15	-0.157008846976
2017-09-16	-0.221817516294
2017-09-17	-0.245837774169
2017-09-18	-0.235177147652
2017-09-19	-0.208051840018
2017-09-20	-0.135256395495
2017-09-21	-0.269146326348
2017-09-22	-1.19862782034
2017-09-23	-1.71502871576
2017-09-24	-1.6561984468
2017-09-25	-1.6770631349
2017-09-26	-1.67907919545
2017-09-27	-1.77832158991
2017-09-28	-1.78762601362
2017-09-29	-2.93165757015
2017-09-30	-3.94617302394
2017-10-01	-4.17968876833
2017-10-02	-4.23423510672
2017-10-03	-4.39270333757
2017-10-04	-4.34167071514
2017-10-05	-4.45441619063
2017-10-06	-4.51734339436
2017-10-07	-2.45857744527
2017-10-08	-2.18250294129
2017-10-09	-1.69366036547
2017-10-10	-1.5885042058
2017-10-11	-1.66300451402
2017-10-12	-1.65351082903
2017-10-13	-1.75547757116
2017-10-14	-0.311149724421
2017-10-15	-0.378456716505
2017-10-16	0.375732293758
2017-10-17	0.319476984364
2017-10-18	0.382275016847
2017-10-19	0.510904765383
2017-10-20	0.614107069176
2017-10-21	
2017-10-22	
2017-10-23	
2017-10-24	
2017-10-25	
2017-10-26	
2017-10-27	
2017-10-28	
2017-10-29	
2017-10-30	
2017-10-31	
2017-11-01	
2017-11-02	
2017-11-03	
2017-11-04	-0.73235398646
2017-11-05	-0.748577150872
2017-11-06	-0.731831425544
2017-11-07	-0.70477285916
2017-11-08	-0.299370354105
2017-11-09	-0.339484134789
2017-11-10	-0.0812681020019
2017-11-11	
2017-11-12	
2017-11-13	
2017-11-14	
2017-11-15	
2017-11-16	
2017-11-17	
2017-11-18	
2017-11-19	
2017-11-20	-1.48500656683
2017-11-21	-1.55060799056
2017-11-22	-1.51697315824
2017-11-23	-1.49089559557
2017-11-24	-1.99473009803
2017-11-25	-1.86258604376
2017-11-26	-2.02420134026
2017-11-27	-2.43252689021
2017-11-28	-2.29259303671
2017-11-29	-2.3008211918
2017-11-30	-2.26872626994
2017-12-01	
2017-12-02	
2017-12-03	
2017-12-04	
2017-12-05	
2017-12-06	
2017-12-07	
2017-12-08	
2017-12-09	
2017-12-10	
2017-12-11	
2017-12-12	
2017-12-13	
2017-12-14	-2.51994798123
2017-12-15	-2.31352651187
2017-12-16	-2.31307814852
2017-12-17	-2.24036109266
2017-12-18	-2.07507511883
2017-12-19	-1.93119483118
2017-12-20	-1.91188697396
2017-12-21	-0.214696721371
2017-12-22	-0.307001100108
2017-12-23	-0.329235700613
2017-12-24	-0.322927098221
2017-12-25	-0.471905564837
2017-12-26	-0.521805495212
2017-12-27	1.88077810914
2017-12-28	4.11526885302
2017-12-29	4.14757522975
2017-12-30	4.41412932143
2017-12-31	4.24599964752
2018-01-01	4.29253562509
2018-01-02	4.29664858595
2018-01-03	1.87239521324
2018-01-04	1.25626427407
2018-01-05	1.30430509643
2018-01-06	0.32594614497
2018-01-07	0.51715449298
2018-01-08	0.619683743258
2018-01-09	0.638600706582
2018-01-10	0.0862673012365
2018-01-11	-0.175910424854
2018-01-12	-0.29515132725
2018-01-13	-0.93710374663
2018-01-14	-1.17462858903
2018-01-15	-1.15814782022
2018-01-16	-1.12443272493
2018-01-17	-1.4812196687
2018-01-18	-1.52311039848
2018-01-19	-1.29018309191
2018-01-20	-0.963674924648
2018-01-21	-0.706583234571
2018-01-22	-0.606883395339
2018-01-23	-0.757965953256
2018-01-24	-0.734823163796
2018-01-25	-0.768656842395
2018-01-26	
2018-01-27	
2018-01-28	
2018-01-29	
2018-01-30	
2018-01-31	
2018-02-01	
2018-02-02	-4.31523593775
2018-02-03	-4.01553561604
2018-02-04	-4.07365349213
2018-02-05	-4.09018703438
2018-02-06	-3.90617251248
2018-02-07	-3.90069748664
2018-02-08	-3.92042868476
2018-02-09	-3.80779614651
2018-02-10	
2018-02-11	
2018-02-12	
2018-02-13	
2018-02-14	
2018-02-15	
2018-02-16	-0.695551133251
2018-02-17	-0.647598281527
2018-02-18	-0.768283262842
2018-02-19	-0.728687857283
2018-02-20	-0.766155044956
2018-02-21	1.02192915217
2018-02-22	1.03223993266
2018-02-23	2.72185844979
2018-02-24	2.49180577224
2018-02-25	2.33504755561
2018-02-26	1.50020738136
2018-02-27	1.42501760399
2018-02-28	0.53223956648
2018-03-01	0.660130428945
2018-03-02	0.739049969815
2018-03-03	1.10903759981
2018-03-04	1.1815795328
2018-03-05	
2018-03-06	-0.53486649924
2018-03-07	-0.481456502938
2018-03-08	-0.703988023829
2018-03-09	-0.746033951672
2018-03-10	-0.974489790476
2018-03-11	-1.13916250656
2018-03-12	-1.223140143
2018-03-13	-1.2454275774
2018-03-14	-1.36414454363
2018-03-15	-1.32547407147
2018-03-16	
2018-03-17	
2018-03-18	
2018-03-19	
2018-03-20	
2018-03-21	
2018-03-22	
2018-03-23	-2.99911900932
2018-03-24	-2.27313817733
2018-03-25	-3.23784255474
2018-03-26	-3.27214500953
2018-03-27	-3.32966467601
2018-03-28	-3.37514846921
2018-03-29	-3.30772092483
2018-03-30	-3.73799260597
2018-03-31	-5.92164927141
2018-04-01	
2018-04-02	
2018-04-03	
2018-04-04	0.686708733281
2018-04-05	0.0435952783198
2018-04-06	0.320887544676
2018-04-07	0.573739814049
2018-04-08	0.615459587269
2018-04-09	0.636346040032
2018-04-10	0.567486592989
2018-04-11	-1.05478021395
2018-04-12	-2.39416796505
2018-04-13	-2.34035565032
2018-04-14	-2.23377872847
2018-04-15	-2.21381050191
2018-04-16	-2.29074979617
2018-04-17	-2.35622648759
2018-04-18	-2.88764832013
2018-04-19	
2018-04-20	
2018-04-21	
2018-04-22	
2018-04-23	
2018-04-24	
2018-04-25	
2018-04-26	
2018-04-27	
2018-04-28	
2018-04-29	
2018-04-30	
2018-05-01	
2018-05-02	
2018-05-03	
2018-05-04	
2018-05-05	
2018-05-06	
2018-05-07	
2018-05-08	-4.79458147894
2018-05-09	-2.26852695714
2018-05-10	-2.31697337672
2018-05-11	-2.29317427842
2018-05-12	-2.52653662125
2018-05-13	-2.3743784015
2018-05-14	-2.362547894
2018-05-15	-1.64421956902
2018-05-16	-3.29098191304
2018-05-17	-3.1041683246
2018-05-18	-3.1586084043
2018-05-19	-3.11887983432
2018-05-20	-3.1935392516
2018-05-21	-3.17001182437
2018-05-22	
2018-05-23	
2018-05-24	
2018-05-25	
2018-05-26	
2018-05-27	
2018-05-28	
2018-05-29	
2018-05-30	
2018-05-31	
2018-06-01	
2018-06-02	
2018-06-03	
2018-06-04	
2018-06-05	
2018-06-06	
2018-06-07	
2018-06-08	-4.40543318412
2018-06-09	-4.09610469275
2018-06-10	-4.12336418272
2018-06-11	-4.11423259092
2018-06-12	-4.16352051674
2018-06-13	-4.18682432063
2018-06-14	-4.13249700601
2018-06-15	
2018-06-16	
2018-06-17	
2018-06-18	
2018-06-19	
2018-06-20	
2018-06-21	
2018-06-22	
2018-06-23	
2018-06-24	
2018-06-25	
2018-06-26	
2018-06-27	-4.29846020632
2018-06-28	-4.28682506629
2018-06-29	-4.25756901673
2018-06-30	-4.18536346524
2018-07-01	-4.12625150315
2018-07-02	-4.1848174658
2018-07-03	-4.19524216172
2018-07-04	
2018-07-05	
2018-07-06	-3.15485611068
2018-07-07	-2.68635955427
2018-07-08	-2.94560356618
2018-07-09	-2.85603987355
2018-07-10	-2.66613195006
2018-07-11	-2.6129495065
2018-07-12	-2.66645808228
2018-07-13	-1.87688297631
2018-07-14	
2018-07-15	
2018-07-16	
2018-07-17	-2.07448078419
2018-07-18	-2.17769112886
2018-07-19	-2.16005028567
2018-07-20	-2.23606209492
2018-07-21	-2.20594694449
2018-07-22	-2.23611612319
2018-07-23	-2.26781475434
2018-07-24	
2018-07-25	
2018-07-26	
2018-07-27	
2018-07-28	
2018-07-29	
2018-07-30	
2018-07-31	-3.01964447995
2018-08-01	-2.91389556753
2018-08-02	-2.90260996883
2018-08-03	-2.97279669008
2018-08-04	-2.74088549815
2018-08-05	-2.81586946545
2018-08-06	-3.64539085699
2018-08-07	-1.80264035896
2018-08-08	-2.80766604614
2018-08-09	-2.85129691675
2018-08-10	-2.64701114553
2018-08-11	-3.48677359449
2018-08-12	-3.50847918875
2018-08-13	-2.91808320328
2018-08-14	-4.76267296271
2018-08-15	-5.03588873943
2018-08-16	-4.88277711551
2018-08-17	-5.00288188331
2018-08-18	
2018-08-19	
2018-08-20	
2018-08-21	
2018-08-22	
2018-08-23	
2018-08-24	
2018-08-25	
2018-08-26	
2018-08-27	
2018-08-28	
2018-08-29	
2018-08-30	
2018-08-31	
2018-09-01	
2018-09-02	
2018-09-03	
2018-09-04	
2018-09-05	0.279824271394
2018-09-06	0.403811329201
2018-09-07	0.39435178584
2018-09-08	1.0422595782
2018-09-09	0.962855876558
2018-09-10	0.955694743573
2018-09-11	1.0834155265
2018-09-12	
2018-09-13	-0.0265149678461
2018-09-14	0.0391834729134
2018-09-15	-0.159686927322
2018-09-16	-0.30575163148
2018-09-17	-0.258485641024
2018-09-18	-1.90745905784
2018-09-19	-1.56111744023
2018-09-20	-2.34855732104
2018-09-21	-2.37217754772
2018-09-22	-2.384795703
2018-09-23	-2.00465719897
2018-09-24	-2.02501068318
2018-09-25	-1.5099280741
2018-09-26	-1.7068291461
2018-09-27	-1.53204782596
2018-09-28	-1.65591533298
2018-09-29	-1.82075105405
2018-09-30	-1.84077620456
2018-10-01	-1.86050084252
2018-10-02	-1.78862249929
2018-10-03	
2018-10-04	
2018-10-05	-5.11171380548
2018-10-06	-4.63134097176
2018-10-07	-4.42924819734
2018-10-08	-4.3954145305
2018-10-09	-4.51488231215
2018-10-10	-4.3589291832
2018-10-11	-4.23426367061
2018-10-12	-3.71449200818
2018-10-13	
2018-10-14	
2018-10-15	
2018-10-16	-0.169476881973
2018-10-17	-1.27017804055
2018-10-18	-1.26157657009
2018-10-19	-2.5281795791
2018-10-20	-2.34249942464
2018-10-21	-2.065989327
2018-10-22	-2.14733292554
2018-10-23	-1.96394570584
2018-10-24	-2.00123603724
2018-10-25	-0.767510645663
