Date	AUD	CAD	CHF	EUR	GBP	JPY	NZD	USD
2017-01-01								
2017-01-02								
2017-01-03								
2017-01-04								
2017-01-05								
2017-01-06								
2017-01-07								
2017-01-08								
2017-01-09								
2017-01-10								
2017-01-11								
2017-01-12								
2017-01-13								
2017-01-14								
2017-01-15								
2017-01-16								
2017-01-17				-3.31061935128				
2017-01-18				-3.41664560833				
2017-01-19				-3.38755192607				
2017-01-20				-3.48596827016				
2017-01-21				-3.29654717141				
2017-01-22				-3.17563678478				
2017-01-23				-3.00299865332				
2017-01-24								
2017-01-25								
2017-01-26								
2017-01-27								
2017-01-28								
2017-01-29								
2017-01-30								
2017-01-31								
2017-02-01								
2017-02-02								
2017-02-03								
2017-02-04								
2017-02-05								
2017-02-06								
2017-02-07								
2017-02-08								
2017-02-09								
2017-02-10								
2017-02-11								
2017-02-12								
2017-02-13								
2017-02-14								
2017-02-15								
2017-02-16				-0.862825638501				
2017-02-17				-0.766922721196				
2017-02-18				-0.78754829235				
2017-02-19				-0.658123468233				
2017-02-20				-0.731948738463				
2017-02-21				-0.820100763684				
2017-02-22				-0.767946426112				
2017-02-23								
2017-02-24								
2017-02-25								
2017-02-26								
2017-02-27								
2017-02-28								
2017-03-01								
2017-03-02								
2017-03-03								
2017-03-04								
2017-03-05								
2017-03-06								
2017-03-07								
2017-03-08				2.6964157138				
2017-03-09				2.6662711711				
2017-03-10				2.62461498711				
2017-03-11				2.57259091687				
2017-03-12				2.67040509767				
2017-03-13				2.79427138225				
2017-03-14				2.76156935081				
2017-03-15								
2017-03-16				-2.64274955888				
2017-03-17				-2.56445714856				
2017-03-18				-2.51786095529				
2017-03-19				-2.58692128215				
2017-03-20				-2.66156600062				
2017-03-21				-2.6209507367				
2017-03-22				-2.18305783962				
2017-03-23				-1.76989605561				
2017-03-24				-1.98489707674				
2017-03-25				-2.18302235318				
2017-03-26				-2.23895964326				
2017-03-27				-2.15562702291				
2017-03-28				-2.16739262221				
2017-03-29				-2.42490198349				
2017-03-30				-2.23399294869				
2017-03-31								
2017-04-01								
2017-04-02								
2017-04-03								
2017-04-04								
2017-04-05								
2017-04-06								
2017-04-07								
2017-04-08								
2017-04-09								
2017-04-10								
2017-04-11								
2017-04-12								
2017-04-13								
2017-04-14								
2017-04-15								
2017-04-16								
2017-04-17								
2017-04-18								
2017-04-19								
2017-04-20								
2017-04-21								
2017-04-22								
2017-04-23								
2017-04-24								
2017-04-25								
2017-04-26								
2017-04-27								
2017-04-28								
2017-04-29								
2017-04-30								
2017-05-01								
2017-05-02								
2017-05-03								
2017-05-04								
2017-05-05								
2017-05-06								
2017-05-07								
2017-05-08								
2017-05-09								
2017-05-10								
2017-05-11								
2017-05-12								
2017-05-13								
2017-05-14								
2017-05-15				-1.63284074325				
2017-05-16				-1.57050404872				
2017-05-17				-1.81609417156				
2017-05-18				-1.72098451625				
2017-05-19				-1.90019801232				
2017-05-20				-2.04938740579				
2017-05-21				-2.09164040303				
2017-05-22								
2017-05-23								
2017-05-24								
2017-05-25								
2017-05-26								
2017-05-27								
2017-05-28				1.90164936106				
2017-05-29				1.84555113035				
2017-05-30				2.08319369198				
2017-05-31				2.18966702088				
2017-06-01				2.00385379801				
2017-06-02				2.07820576367				
2017-06-03				2.08214975726				
2017-06-04								
2017-06-05								
2017-06-06								
2017-06-07								
2017-06-08								
2017-06-09	0.174079960858							
2017-06-10	0.218807109602							
2017-06-11	0.216345057799							
2017-06-12	0.2067411635							
2017-06-13	0.135283495277							
2017-06-14	0.16076771652							
2017-06-15	0.109556492845							
2017-06-16								
2017-06-17								
2017-06-18								
2017-06-19								
2017-06-20								
2017-06-21								
2017-06-22								
2017-06-23								
2017-06-24								
2017-06-25								
2017-06-26								
2017-06-27								
2017-06-28								
2017-06-29								
2017-06-30								
2017-07-01								
2017-07-02								
2017-07-03								
2017-07-04								
2017-07-05								
2017-07-06								
2017-07-07		-3.1562920034						-2.25510292573
2017-07-08		-2.64763208989						-2.3543088518
2017-07-09		-2.66381707443						-2.37408038033
2017-07-10		-2.53987114439						-2.33913373571
2017-07-11		-2.67531647221						-2.26628970107
2017-07-12		-2.67857040429						-2.15823931263
2017-07-13		-2.8528932875						-2.19414991086
2017-07-14								
2017-07-15								
2017-07-16								
2017-07-17								
2017-07-18								
2017-07-19								
2017-07-20								
2017-07-21								
2017-07-22								
2017-07-23								
2017-07-24								
2017-07-25								
2017-07-26								
2017-07-27								
2017-07-28								
2017-07-29								
2017-07-30								
2017-07-31								
2017-08-01								
2017-08-02								
2017-08-03								
2017-08-04								
2017-08-05								
2017-08-06								
2017-08-07								
2017-08-08								
2017-08-09								
2017-08-10								
2017-08-11								
2017-08-12								
2017-08-13								
2017-08-14								
2017-08-15								
2017-08-16								
2017-08-17								
2017-08-18								
2017-08-19								
2017-08-20								
2017-08-21								
2017-08-22								
2017-08-23								
2017-08-24								
2017-08-25				-2.98643559557				
2017-08-26				-2.99481456291				
2017-08-27				-3.01138900379				
2017-08-28				-2.82684366991				
2017-08-29				-2.73363353756				
2017-08-30				-2.62712873395				
2017-08-31				-2.6722134468				
2017-09-01								
2017-09-02								
2017-09-03								
2017-09-04								
2017-09-05								
2017-09-06								
2017-09-07								
2017-09-08								
2017-09-09								
2017-09-10								
2017-09-11								
2017-09-12								
2017-09-13								
2017-09-14								
2017-09-15								
2017-09-16								
2017-09-17								
2017-09-18								
2017-09-19								
2017-09-20								
2017-09-21								
2017-09-22								
2017-09-23								
2017-09-24								
2017-09-25								
2017-09-26								
2017-09-27								
2017-09-28								
2017-09-29								
2017-09-30								
2017-10-01								
2017-10-02								
2017-10-03								
2017-10-04								
2017-10-05								
2017-10-06								
2017-10-07								
2017-10-08								
2017-10-09								
2017-10-10								
2017-10-11								
2017-10-12								
2017-10-13								
2017-10-14								
2017-10-15								
2017-10-16								
2017-10-17								
2017-10-18								
2017-10-19								
2017-10-20								
2017-10-21								
2017-10-22								
2017-10-23								
2017-10-24				0.213830950887				
2017-10-25				0.291649266991				
2017-10-26				0.320349567866				
2017-10-27				0.39477301374				
2017-10-28				0.416487002445				
2017-10-29				0.462885082402				
2017-10-30				0.427698384689				
2017-10-31								
2017-11-01								
2017-11-02								
2017-11-03								
2017-11-04								
2017-11-05								
2017-11-06								
2017-11-07								
2017-11-08								
2017-11-09								
2017-11-10								
2017-11-11								
2017-11-12								
2017-11-13								
2017-11-14								
2017-11-15								
2017-11-16								
2017-11-17								
2017-11-18								
2017-11-19								
2017-11-20								
2017-11-21								
2017-11-22				-1.54932561012				
2017-11-23				-1.57332824187				
2017-11-24				-1.62962076615				
2017-11-25				-1.83454153101				
2017-11-26				-1.95174704139				
2017-11-27				-1.93076235733				
2017-11-28				-1.90717708057				
2017-11-29								
2017-11-30								
2017-12-01								
2017-12-02								
2017-12-03								
2017-12-04								
2017-12-05								
2017-12-06								
2017-12-07								
2017-12-08								
2017-12-09								
2017-12-10								
2017-12-11								
2017-12-12								
2017-12-13								
2017-12-14								
2017-12-15								
2017-12-16								
2017-12-17								
2017-12-18								
2017-12-19								
2017-12-20								
2017-12-21								
2017-12-22								
2017-12-23				-1.42355670789				
2017-12-24				-1.41956939501				
2017-12-25				-1.35752807658				
2017-12-26				-1.12985733413				
2017-12-27				-1.044053434				
2017-12-28				-1.51604994617				
2017-12-29				-1.55496042463				
2017-12-30				-2.25996199259				
2017-12-31				-2.11126613912				
2018-01-01				-1.94384164658				
2018-01-02				-1.85716371146				
2018-01-03				-1.95891331893				
2018-01-04								
2018-01-05								
2018-01-06								
2018-01-07								
2018-01-08				-4.20316375207				
2018-01-09				-4.23944580798				
2018-01-10				-4.00433240765				
2018-01-11				-3.97891269622				
2018-01-12				-4.08312858561				
2018-01-13				-3.17089608027				
2018-01-14				-3.26222683605				
2018-01-15				-2.16046454393				
2018-01-16				-2.01675947515				
2018-01-17				-2.19002368428				
2018-01-18				-2.14726342738				
2018-01-19				-2.00961646701				
2018-01-20								
2018-01-21								
2018-01-22								
2018-01-23								
2018-01-24				-2.38245676076				
2018-01-25				-2.47489446756				
2018-01-26				-2.58551840081				
2018-01-27				-2.59853397465				
2018-01-28				-2.64924115964				
2018-01-29				-2.75013783507				
2018-01-30				-2.62222470822				
2018-01-31								
2018-02-01								
2018-02-02								
2018-02-03								
2018-02-04								
2018-02-05								
2018-02-06								
2018-02-07				-2.54534000514				
2018-02-08				-2.56763304928				
2018-02-09				-1.92153930005				
2018-02-10				-1.79511027444				
2018-02-11				-1.77209158143				
2018-02-12				-0.942261295181				
2018-02-13				-0.660847639693				
2018-02-14				-0.50411638135				
