Date	GBP
2017-01-01	
2017-01-02	
2017-01-03	-1.36221264357
2017-01-04	-1.42904685123
2017-01-05	-1.44304963976
2017-01-06	-1.43739752118
2017-01-07	-1.3790722182
2017-01-08	-1.2946062986
2017-01-09	-1.15115917545
2017-01-10	
2017-01-11	-0.742617990756
2017-01-12	-0.684152393249
2017-01-13	-0.583257067216
2017-01-14	-0.650269414936
2017-01-15	-0.374813028891
2017-01-16	-0.527834776427
2017-01-17	-0.548563232095
2017-01-18	
2017-01-19	-1.60386212702
2017-01-20	-1.66953908078
2017-01-21	-1.60744201501
2017-01-22	-1.7372043074
2017-01-23	-2.29359746102
2017-01-24	-2.307054236
2017-01-25	-2.35278268978
2017-01-26	-2.81166991132
2017-01-27	-3.01938265619
2017-01-28	-3.1219593763
2017-01-29	-3.20192217429
2017-01-30	
2017-01-31	
2017-02-01	0.782805601943
2017-02-02	0.735108955536
2017-02-03	0.957462680462
2017-02-04	1.14341740777
2017-02-05	1.37682962476
2017-02-06	1.17942658275
2017-02-07	1.12553813485
2017-02-08	0.949255322935
2017-02-09	0.610455036461
2017-02-10	0.524872126476
2017-02-11	0.369000086638
2017-02-12	0.169803289393
2017-02-13	
2017-02-14	0.355163479467
2017-02-15	0.323962797054
2017-02-16	0.429749659461
2017-02-17	0.594743909877
2017-02-18	0.607728281402
2017-02-19	0.789991798009
2017-02-20	0.865203853884
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	
2017-02-28	-0.84166130548
2017-03-01	-0.751568957715
2017-03-02	-0.884084193442
2017-03-03	-0.965372857183
2017-03-04	-0.781069140681
2017-03-05	-0.701505492431
2017-03-06	-0.599225793706
2017-03-07	
2017-03-08	-2.02132544247
2017-03-09	-0.32066725041
2017-03-10	-0.338179418879
2017-03-11	-0.461914590242
2017-03-12	-0.402898388381
2017-03-13	-0.352742259764
2017-03-14	-0.744012795095
2017-03-15	-0.307545715727
2017-03-16	-1.58399829376
2017-03-17	-1.36624489633
2017-03-18	-1.39179225606
2017-03-19	-1.38552902498
2017-03-20	-1.37965016169
2017-03-21	
2017-03-22	
2017-03-23	-2.99866859556
2017-03-24	-3.14821433988
2017-03-25	-3.09571085203
2017-03-26	-3.14425602999
2017-03-27	-3.13602696026
2017-03-28	-3.07256835163
2017-03-29	-3.00565396328
2017-03-30	
2017-03-31	
2017-04-01	
2017-04-02	-2.94056315086
2017-04-03	-3.03190354754
2017-04-04	-3.10430342948
2017-04-05	-3.17700602973
2017-04-06	-3.25901622864
2017-04-07	-2.88251041061
2017-04-08	-2.89106312137
2017-04-09	-2.16243280515
2017-04-10	-2.19160166172
2017-04-11	-2.46610224551
2017-04-12	-0.894337234215
2017-04-13	-0.744902665011
2017-04-14	-0.361773257543
2017-04-15	-0.277577710226
2017-04-16	0.2890489165
2017-04-17	0.195280559087
2017-04-18	0.551532847847
2017-04-19	-0.473216827549
2017-04-20	-0.823643408679
2017-04-21	-0.868504885817
2017-04-22	-0.675264684445
2017-04-23	-0.751441589493
2017-04-24	-1.78136958286
2017-04-25	
2017-04-26	
2017-04-27	
2017-04-28	
2017-04-29	
2017-04-30	
2017-05-01	
2017-05-02	
2017-05-03	
2017-05-04	-1.76780497335
2017-05-05	-1.28792767697
2017-05-06	-1.32657318092
2017-05-07	-1.32525081416
2017-05-08	-1.54891577679
2017-05-09	-1.22986644406
2017-05-10	-1.12796914671
2017-05-11	-0.704640176096
2017-05-12	-0.562213796759
2017-05-13	-0.626465612842
2017-05-14	-0.413279067704
2017-05-15	-0.256926683942
2017-05-16	-1.26562189231
2017-05-17	0.832606620799
2017-05-18	1.3000606616
2017-05-19	0.58590926749
2017-05-20	0.694014640303
2017-05-21	0.620988432547
2017-05-22	0.602560099068
2017-05-23	2.11336787979
2017-05-24	-0.721407375044
2017-05-25	-0.720115721989
2017-05-26	
2017-05-27	
2017-05-28	-1.1805240896
2017-05-29	-1.04262106078
2017-05-30	-1.08798884118
2017-05-31	-0.998283962252
2017-06-01	-0.90224281689
2017-06-02	-1.04108894415
2017-06-03	-1.12399218837
2017-06-04	
2017-06-05	
2017-06-06	-2.61986989335
2017-06-07	-2.65905925718
2017-06-08	-2.76694642927
2017-06-09	-2.48862662725
2017-06-10	-2.33374481145
2017-06-11	-2.32407516183
2017-06-12	-2.30846103588
2017-06-13	
2017-06-14	
2017-06-15	
2017-06-16	
2017-06-17	
2017-06-18	
2017-06-19	
2017-06-20	
2017-06-21	
2017-06-22	
2017-06-23	
2017-06-24	
2017-06-25	
2017-06-26	
2017-06-27	
2017-06-28	
2017-06-29	2.31759035685
2017-06-30	2.29261145607
2017-07-01	2.1717508054
2017-07-02	2.20681381122
2017-07-03	2.28971792939
2017-07-04	2.37533194958
2017-07-05	2.33276700384
2017-07-06	
2017-07-07	
2017-07-08	
2017-07-09	
2017-07-10	
2017-07-11	
2017-07-12	-0.38477065415
2017-07-13	-0.48210798262
2017-07-14	0.95471007519
2017-07-15	1.02993800805
2017-07-16	1.04548595441
2017-07-17	1.04101201603
2017-07-18	0.74809025728
2017-07-19	1.40868189129
2017-07-20	1.47475623148
2017-07-21	0.368420745611
2017-07-22	0.267889669997
2017-07-23	0.176035064216
2017-07-24	0.191593778918
2017-07-25	
2017-07-26	
2017-07-27	
2017-07-28	
2017-07-29	
2017-07-30	-1.78692859904
2017-07-31	-1.55785131711
2017-08-01	-1.42399320893
2017-08-02	-1.47495687997
2017-08-03	-1.7418102765
2017-08-04	-1.5786176489
2017-08-05	-1.43422739799
2017-08-06	-1.48034679237
2017-08-07	-2.18034799557
2017-08-08	-1.36885360241
2017-08-09	-1.20286159875
2017-08-10	-0.512148125065
2017-08-11	-0.581398199116
2017-08-12	-0.578946426016
2017-08-13	-0.471864029271
2017-08-14	-0.43387908939
2017-08-15	-2.61003571724
2017-08-16	-2.65267264638
2017-08-17	-2.74700394522
2017-08-18	-2.82459240698
2017-08-19	-2.87579006102
2017-08-20	-3.06496765702
2017-08-21	-3.06967764278
2017-08-22	
2017-08-23	
2017-08-24	1.76845178866
2017-08-25	1.82171424002
2017-08-26	1.90389300383
2017-08-27	1.97397319389
2017-08-28	1.96778184417
2017-08-29	1.98438101264
2017-08-30	2.01167946742
2017-08-31	
2017-09-01	
2017-09-02	
2017-09-03	
2017-09-04	-1.30799687089
2017-09-05	-1.49902591833
2017-09-06	-1.18489958949
2017-09-07	-1.14747517458
2017-09-08	-1.02656721565
2017-09-09	-1.00214153115
2017-09-10	-0.984225314323
2017-09-11	-0.91688547449
2017-09-12	-0.725361280404
2017-09-13	-0.950269398192
2017-09-14	-1.19948272362
2017-09-15	-0.0875660139664
2017-09-16	0.000750846432463
2017-09-17	0.471215862389
2017-09-18	0.442222588264
2017-09-19	0.457061533389
2017-09-20	1.91098967989
2017-09-21	1.87800507069
2017-09-22	
2017-09-23	
2017-09-24	
2017-09-25	
2017-09-26	
2017-09-27	
2017-09-28	
2017-09-29	
2017-09-30	
2017-10-01	
2017-10-02	
2017-10-03	
2017-10-04	
2017-10-05	
2017-10-06	
2017-10-07	
2017-10-08	
2017-10-09	
2017-10-10	
2017-10-11	
2017-10-12	
2017-10-13	
2017-10-14	
2017-10-15	
2017-10-16	
2017-10-17	
2017-10-18	
2017-10-19	
2017-10-20	
2017-10-21	
2017-10-22	
2017-10-23	
2017-10-24	
2017-10-25	
2017-10-26	
2017-10-27	
2017-10-28	
2017-10-29	
2017-10-30	
2017-10-31	
2017-11-01	
2017-11-02	
2017-11-03	
2017-11-04	
2017-11-05	
2017-11-06	
2017-11-07	
2017-11-08	
2017-11-09	-1.66530811624
2017-11-10	-1.90360151482
2017-11-11	-1.88094698997
2017-11-12	-2.03065347744
2017-11-13	-1.93532374715
2017-11-14	-1.96694254784
2017-11-15	-1.96379030321
2017-11-16	-2.060644909
2017-11-17	
2017-11-18	
2017-11-19	
2017-11-20	
2017-11-21	1.09248845637
2017-11-22	1.0415336847
2017-11-23	1.114140245
2017-11-24	0.486253686766
2017-11-25	0.361788495393
2017-11-26	0.154930359692
2017-11-27	0.0376948132915
2017-11-28	-0.545120582352
2017-11-29	0.208568820636
2017-11-30	-0.404843447654
2017-12-01	-0.25210342018
2017-12-02	-0.0908578901354
2017-12-03	-0.0282815011797
2017-12-04	0.0322729057567
2017-12-05	0.037108931713
2017-12-06	-1.22647708814
2017-12-07	
2017-12-08	
2017-12-09	
2017-12-10	
2017-12-11	
2017-12-12	
2017-12-13	
2017-12-14	
2017-12-15	
2017-12-16	
2017-12-17	
2017-12-18	
2017-12-19	
2017-12-20	
2017-12-21	
