Date	CHF
2017-01-01	
2017-01-02	
2017-01-03	
2017-01-04	
2017-01-05	
2017-01-06	
2017-01-07	
2017-01-08	
2017-01-09	
2017-01-10	
2017-01-11	
2017-01-12	
2017-01-13	
2017-01-14	
2017-01-15	
2017-01-16	
2017-01-17	
2017-01-18	
2017-01-19	
2017-01-20	
2017-01-21	
2017-01-22	
2017-01-23	
2017-01-24	
2017-01-25	
2017-01-26	
2017-01-27	
2017-01-28	
2017-01-29	
2017-01-30	
2017-01-31	
2017-02-01	
2017-02-02	
2017-02-03	
2017-02-04	
2017-02-05	
2017-02-06	
2017-02-07	
2017-02-08	
2017-02-09	
2017-02-10	
2017-02-11	
2017-02-12	
2017-02-13	2.24476162077
2017-02-14	0.137714607325
2017-02-15	0.379523864999
2017-02-16	0.453572837206
2017-02-17	0.580436318578
2017-02-18	1.25119348257
2017-02-19	1.06119571887
2017-02-20	-0.966975169376
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	
2017-02-28	
2017-03-01	
2017-03-02	
2017-03-03	
2017-03-04	
2017-03-05	
2017-03-06	0.327186172397
2017-03-07	2.12596590888
2017-03-08	2.17260090942
2017-03-09	2.22671844371
2017-03-10	2.30936276838
2017-03-11	2.104430776
2017-03-12	2.48399289379
2017-03-13	4.52673060558
2017-03-14	
2017-03-15	
2017-03-16	
2017-03-17	
2017-03-18	
2017-03-19	
2017-03-20	
2017-03-21	-2.80340268769
2017-03-22	-1.82296017147
2017-03-23	-1.98889159718
2017-03-24	-1.95939625719
2017-03-25	-1.89849680702
2017-03-26	-1.4465564048
2017-03-27	-1.82353612416
2017-03-28	-0.760933999386
2017-03-29	
2017-03-30	-1.58654313016
2017-03-31	-1.00080134209
2017-04-01	-1.32725049405
2017-04-02	-1.67243121181
2017-04-03	-1.68548214725
2017-04-04	-1.98606628541
2017-04-05	-1.49973001399
2017-04-06	-1.24898242
2017-04-07	-1.87887839695
2017-04-08	-2.04717376059
2017-04-09	-2.21474739755
2017-04-10	-2.17782471955
2017-04-11	-1.30619994304
2017-04-12	-1.31413634677
2017-04-13	-0.551879462566
2017-04-14	-0.375861909926
2017-04-15	-0.126208261011
2017-04-16	0.433734551599
2017-04-17	0.172147078041
2017-04-18	0.0264972249362
2017-04-19	-0.0598396158803
2017-04-20	-0.377425877795
2017-04-21	-0.545071835377
2017-04-22	-0.18014627874
2017-04-23	-0.621777650892
2017-04-24	-0.0710706822791
2017-04-25	0.449151519922
2017-04-26	-0.188141166358
2017-04-27	-1.14413849382
2017-04-28	-1.08102482337
2017-04-29	-1.23067276796
2017-04-30	-1.3296144528
2017-05-01	-1.26391414861
2017-05-02	-2.85336857681
2017-05-03	-2.99950945102
2017-05-04	-2.8612701205
2017-05-05	-2.84138933365
2017-05-06	-2.58781367198
2017-05-07	-2.46100921008
2017-05-08	-2.48544165006
2017-05-09	
2017-05-10	-1.18946725368
2017-05-11	-1.05661744082
2017-05-12	-1.02995522695
2017-05-13	-1.3218572754
2017-05-14	-1.63484452983
2017-05-15	0.240648193284
2017-05-16	1.43716356172
2017-05-17	1.06193395866
2017-05-18	0.971442383721
2017-05-19	1.27988323853
2017-05-20	1.13552867091
2017-05-21	0.194444440333
2017-05-22	-1.1911433289
2017-05-23	-2.9468093851
2017-05-24	-3.68299842519
2017-05-25	-3.72093153357
2017-05-26	-4.05562869801
2017-05-27	-4.15956898151
2017-05-28	-3.80146719125
2017-05-29	0.237456898326
2017-05-30	0.190482402298
2017-05-31	0.421793115468
2017-06-01	0.133720070546
2017-06-02	0.367246255171
2017-06-03	0.501861793329
2017-06-04	0.527527390303
2017-06-05	0.751796819291
2017-06-06	0.728362393106
2017-06-07	0.831903436128
2017-06-08	0.855253406158
2017-06-09	0.63718372034
2017-06-10	
2017-06-11	
2017-06-12	
2017-06-13	
2017-06-14	
2017-06-15	
2017-06-16	
2017-06-17	
2017-06-18	
2017-06-19	
2017-06-20	
2017-06-21	
2017-06-22	
2017-06-23	
2017-06-24	
2017-06-25	
2017-06-26	
2017-06-27	
2017-06-28	
2017-06-29	
2017-06-30	
2017-07-01	
2017-07-02	
2017-07-03	
2017-07-04	1.11639294145
2017-07-05	1.18872900141
2017-07-06	0.735224244364
2017-07-07	0.569589943504
2017-07-08	0.471590569207
2017-07-09	0.4855374061
2017-07-10	0.601749645585
2017-07-11	-0.231830734595
2017-07-12	-0.11316677126
2017-07-13	
2017-07-14	
2017-07-15	
2017-07-16	
2017-07-17	
2017-07-18	
2017-07-19	0.00902776141469
2017-07-20	0.115468070439
2017-07-21	0.148028761268
2017-07-22	0.00931322527594
2017-07-23	-0.162051770457
2017-07-24	0.150138505434
2017-07-25	0.0237781179545
2017-07-26	
2017-07-27	
2017-07-28	
2017-07-29	
2017-07-30	
2017-07-31	-1.80371005667
2017-08-01	-1.61730957517
2017-08-02	-1.68882698766
2017-08-03	-1.6305884546
2017-08-04	-1.69497455395
2017-08-05	-2.76142754587
2017-08-06	-2.72346166679
2017-08-07	-3.26059796691
2017-08-08	-3.05377992889
2017-08-09	-2.44471811627
2017-08-10	-2.3147274313
2017-08-11	-2.31688149137
2017-08-12	-2.14495110648
2017-08-13	-2.40828377157
2017-08-14	-2.5142327091
2017-08-15	-2.22707731889
2017-08-16	-2.03028417116
2017-08-17	-1.86538838344
2017-08-18	-1.75683761948
2017-08-19	-1.51324044306
2017-08-20	-0.83484973145
2017-08-21	-0.617258457328
2017-08-22	-0.432432365271
2017-08-23	-0.901712284344
2017-08-24	-1.16712601573
2017-08-25	-1.28875768594
2017-08-26	-1.32341116845
2017-08-27	-1.30249276936
2017-08-28	-1.84043405876
2017-08-29	-2.55039398851
2017-08-30	-1.88384826549
2017-08-31	-1.20612758901
2017-09-01	-1.01908661869
2017-09-02	-0.95540706003
2017-09-03	-0.941219287346
2017-09-04	-0.556382405176
2017-09-05	0.0188318020207
2017-09-06	-0.342718595156
2017-09-07	-0.462878331001
2017-09-08	-0.756573747122
2017-09-09	-0.89999941039
2017-09-10	-1.02586153891
2017-09-11	-1.1956426271
2017-09-12	-1.12591075622
2017-09-13	-1.00682552884
2017-09-14	-1.1083138603
2017-09-15	-0.965657779599
2017-09-16	-0.0789728594987
2017-09-17	0.690266221643
2017-09-18	0.768183173719
2017-09-19	0.258042628692
2017-09-20	0.168719282744
2017-09-21	1.0358444807
2017-09-22	1.08144559495
2017-09-23	0.155663967855
2017-09-24	-0.884914326417
2017-09-25	-0.754466072972
2017-09-26	-0.512452346352
2017-09-27	-0.613650124141
2017-09-28	-1.50914403779
2017-09-29	-1.49549055956
2017-09-30	-1.56959168484
2017-10-01	-1.35236609063
2017-10-02	-2.07955336292
2017-10-03	-2.31135899042
2017-10-04	-2.11663545942
2017-10-05	-2.2618250223
2017-10-06	-3.1594167841
2017-10-07	-3.49923465654
2017-10-08	-3.26879620612
2017-10-09	-0.0774839700674
2017-10-10	0.614368713756
2017-10-11	0.35317305286
2017-10-12	0.407570001265
2017-10-13	1.30922271507
2017-10-14	1.15708365475
2017-10-15	0.874029282752
2017-10-16	-0.30003700963
2017-10-17	-1.34001800834
2017-10-18	-1.90621047276
2017-10-19	-2.31625442998
2017-10-20	-2.24685557191
2017-10-21	-2.16389024537
2017-10-22	-2.17995101347
2017-10-23	-1.75533456232
2017-10-24	-1.40068435857
2017-10-25	-1.88779035961
2017-10-26	-1.52101506892
2017-10-27	-1.31701770321
2017-10-28	-1.2144712085
2017-10-29	-1.13314321561
2017-10-30	-1.56524433349
2017-10-31	-1.76723989511
2017-11-01	-1.30920779931
2017-11-02	-1.37237952717
2017-11-03	-1.64411592059
2017-11-04	-1.69585162216
2017-11-05	-1.51309514302
2017-11-06	-1.56164770394
2017-11-07	0.141326845937
2017-11-08	1.71990895842
2017-11-09	-0.00703203951428
2017-11-10	-0.0176782575753
2017-11-11	0.104726489234
2017-11-12	0.394026353762
2017-11-13	0.60133577991
2017-11-14	-1.03131914985
2017-11-15	-0.770917733907
2017-11-16	-1.24279706299
2017-11-17	-1.32640307789
2017-11-18	-1.33997156377
2017-11-19	-1.71298834453
2017-11-20	-1.49822547536
2017-11-21	-2.23437173923
2017-11-22	-2.56718324711
2017-11-23	-2.1174294702
2017-11-24	-2.36609794279
2017-11-25	-2.54015522006
2017-11-26	-2.30966254062
2017-11-27	-2.45012699198
2017-11-28	-2.20513155255
2017-11-29	-1.02239972672
2017-11-30	-1.38864402811
2017-12-01	-1.16927493037
2017-12-02	-0.602348724131
2017-12-03	-0.905115818986
2017-12-04	-0.222470069102
2017-12-05	-0.40076893266
