Date	Information Technology
2017-01-01	-0.176020356301
2017-01-02	-0.170002782094
2017-01-03	-0.162120508092
2017-01-04	-0.156105245385
2017-01-05	-0.136102892758
2017-01-06	-0.136007405042
2017-01-07	-0.139590142662
2017-01-08	-0.14400232853
2017-01-09	-0.151897813211
2017-01-10	-0.158089877789
2017-01-11	-0.17163460594
2017-01-12	-0.205639190695
2017-01-13	-0.215576794843
2017-01-14	-0.229892295575
2017-01-15	-0.196080167401
2017-01-16	-0.196746753126
2017-01-17	-0.204848649831
2017-01-18	-0.182646117031
2017-01-19	-0.169290477134
2017-01-20	-0.169114065009
2017-01-21	-0.169381479221
2017-01-22	-0.180176182995
2017-01-23	-0.202191750443
2017-01-24	-0.224450846623
2017-01-25	-0.215304953259
2017-01-26	-0.22736262135
2017-01-27	-0.219530785364
2017-01-28	-0.225886900514
2017-01-29	-0.203196004192
2017-01-30	-0.202317134669
2017-01-31	-0.201700168362
2017-02-01	-0.200154339893
2017-02-02	-0.213846653233
2017-02-03	-0.21058260722
2017-02-04	-0.243307209782
2017-02-05	-0.244987920626
2017-02-06	-0.239594745053
2017-02-07	-0.231968525619
2017-02-08	-0.228211763939
2017-02-09	-0.219470521423
2017-02-10	-0.20934408006
2017-02-11	-0.190716157294
2017-02-12	-0.19613783951
2017-02-13	-0.207036928853
2017-02-14	-0.212369515443
2017-02-15	-0.19771249955
2017-02-16	-0.181538767038
2017-02-17	-0.201937767269
2017-02-18	-0.206318882316
2017-02-19	-0.210269419171
2017-02-20	-0.212540434144
2017-02-21	-0.194974458432
2017-02-22	-0.175103712788
2017-02-23	-0.145953730533
2017-02-24	-0.137737477948
2017-02-25	-0.129803464902
2017-02-26	-0.149168520315
2017-02-27	-0.14588734337
2017-02-28	-0.157234874001
2017-03-01	-0.156223372823
2017-03-02	-0.16255244819
2017-03-03	-0.158538307535
2017-03-04	-0.158450730873
2017-03-05	-0.159302224803
2017-03-06	-0.137112672278
2017-03-07	-0.159306158988
2017-03-08	-0.168262892207
2017-03-09	-0.180769734176
2017-03-10	-0.183623342092
2017-03-11	-0.183284476797
2017-03-12	-0.190604500938
2017-03-13	-0.172921565254
2017-03-14	-0.170813065896
2017-03-15	-0.159929422532
2017-03-16	-0.156962525094
2017-03-17	-0.160100856364
2017-03-18	-0.167503421008
2017-03-19	-0.161091845799
2017-03-20	-0.158854347242
2017-03-21	-0.156622651726
2017-03-22	-0.14688506332
2017-03-23	-0.163300446369
2017-03-24	-0.171329543702
2017-03-25	-0.174288915811
2017-03-26	-0.183139299897
