Date	Materials
2017-01-01	
2017-01-02	
2017-01-03	-0.0564685214641
2017-01-04	-0.0623302080687
2017-01-05	-0.0668983915131
2017-01-06	-0.0747639247678
2017-01-07	-0.0830510130381
2017-01-08	-0.0816068471119
2017-01-09	-0.0706705903317
2017-01-10	
2017-01-11	
2017-01-12	
2017-01-13	
2017-01-14	
2017-01-15	
2017-01-16	
2017-01-17	
2017-01-18	
2017-01-19	
2017-01-20	
2017-01-21	
2017-01-22	
2017-01-23	
2017-01-24	
2017-01-25	
2017-01-26	
2017-01-27	
2017-01-28	
2017-01-29	
2017-01-30	
2017-01-31	-0.381316323946
2017-02-01	-0.274809024902
2017-02-02	-0.263973016019
2017-02-03	-0.24918946962
2017-02-04	-0.269847027516
2017-02-05	-0.260798904302
2017-02-06	-0.251425101224
2017-02-07	-0.146735333521
2017-02-08	
2017-02-09	0.503846000949
2017-02-10	0.488946391563
2017-02-11	0.482954462188
2017-02-12	0.469106257426
2017-02-13	0.469065063898
2017-02-14	0.46540223737
2017-02-15	0.444716498177
2017-02-16	0.316262408213
2017-02-17	0.309114563748
2017-02-18	0.315437009033
2017-02-19	0.337877701741
2017-02-20	0.340527929909
2017-02-21	0.338569277239
2017-02-22	0.343725706977
2017-02-23	
2017-02-24	-0.312406826743
2017-02-25	-0.296615533141
2017-02-26	-0.305025288587
2017-02-27	-0.364994941304
2017-02-28	-0.360121420292
2017-03-01	-0.300467361182
2017-03-02	-0.298271117978
2017-03-03	-0.297419007545
2017-03-04	-0.302978971746
2017-03-05	-0.307741069552
2017-03-06	-0.204721515913
2017-03-07	-0.210787477586
2017-03-08	
2017-03-09	
2017-03-10	
2017-03-11	
2017-03-12	
2017-03-13	
2017-03-14	
2017-03-15	
2017-03-16	
2017-03-17	
2017-03-18	
2017-03-19	
2017-03-20	
2017-03-21	
2017-03-22	
2017-03-23	-0.359834870403
2017-03-24	-0.356575788904
2017-03-25	-0.358548463734
2017-03-26	-0.357200238865
2017-03-27	-0.14767814059
2017-03-28	-0.10436045741
2017-03-29	-0.112053943901
2017-03-30	0.00935097777147
2017-03-31	-0.0462745522891
2017-04-01	-0.0337240577836
2017-04-02	-0.0326082323755
2017-04-03	-0.0752699368998
2017-04-04	-0.142334678524
2017-04-05	-0.1411010195
2017-04-06	-0.138557528916
2017-04-07	
2017-04-08	
2017-04-09	
2017-04-10	
2017-04-11	
2017-04-12	
2017-04-13	
2017-04-14	
2017-04-15	
2017-04-16	
2017-04-17	
2017-04-18	
2017-04-19	
2017-04-20	0.439659207273
2017-04-21	0.444047596095
2017-04-22	0.474457544132
2017-04-23	0.483948045084
2017-04-24	0.437701238715
2017-04-25	0.437677302508
2017-04-26	0.423539139722
2017-04-27	0.364689541897
2017-04-28	0.358032130059
2017-04-29	0.316595210721
2017-04-30	0.307135383242
2017-05-01	-0.470652055605
2017-05-02	-0.203979314315
2017-05-03	-0.369238394833
2017-05-04	-0.36052409629
2017-05-05	-0.356047706785
2017-05-06	-0.338409008251
2017-05-07	-0.350521515874
2017-05-08	-0.312232500723
2017-05-09	-0.715059844762
2017-05-10	
2017-05-11	
2017-05-12	
2017-05-13	-0.15710843615
2017-05-14	-0.139805142357
2017-05-15	-0.135880495294
2017-05-16	-0.142480756011
2017-05-17	-0.0473595163352
2017-05-18	-0.0509411260514
2017-05-19	-0.048743061605
2017-05-20	0.0575694829982
2017-05-21	0.0700941568077
2017-05-22	0.0735678411729
2017-05-23	0.0820420094327
2017-05-24	
2017-05-25	-0.192476438439
2017-05-26	-0.184906469613
2017-05-27	-0.177833977637
2017-05-28	-0.188971573053
2017-05-29	-0.178760036038
2017-05-30	-0.174094183794
2017-05-31	-0.174745009196
2017-06-01	
2017-06-02	
2017-06-03	
2017-06-04	
2017-06-05	0.138490392954
2017-06-06	0.142780843976
2017-06-07	0.144225502911
2017-06-08	0.10280025542
2017-06-09	0.0994184901767
2017-06-10	0.0790141154148
2017-06-11	0.0809928435107
2017-06-12	0.0464197358081
2017-06-13	0.046720871835
2017-06-14	0.0380217863221
2017-06-15	
2017-06-16	0.0667465067118
2017-06-17	0.0796508261923
2017-06-18	0.0665104086703
2017-06-19	0.0552189991177
2017-06-20	0.0482790808262
2017-06-21	0.058742414884
2017-06-22	0.0641346132629
2017-06-23	
2017-06-24	
2017-06-25	
2017-06-26	
2017-06-27	
2017-06-28	
2017-06-29	-0.0655039999815
2017-06-30	-0.0586383006695
2017-07-01	-0.0625710262347
2017-07-02	-0.060244794398
2017-07-03	-0.0654615316709
2017-07-04	-0.0659659703652
2017-07-05	-0.066336460522
2017-07-06	
2017-07-07	-0.272577946225
2017-07-08	-0.140704973757
2017-07-09	-0.151614627499
2017-07-10	-0.164906974362
2017-07-11	-0.172807250114
2017-07-12	-0.17110187014
2017-07-13	-0.295300762362
2017-07-14	-0.282913284991
2017-07-15	-0.533581201935
2017-07-16	-0.544123147419
2017-07-17	-0.543365373737
2017-07-18	-0.543375004429
2017-07-19	-0.545771105668
2017-07-20	
2017-07-21	
2017-07-22	
2017-07-23	
2017-07-24	
2017-07-25	
2017-07-26	
2017-07-27	
2017-07-28	
2017-07-29	
2017-07-30	
2017-07-31	
2017-08-01	
2017-08-02	
2017-08-03	
2017-08-04	
2017-08-05	-0.110956020535
2017-08-06	-0.101387967723
2017-08-07	0.00496664595543
2017-08-08	-0.00909606128547
2017-08-09	-0.0500799838839
2017-08-10	-0.0469108518355
2017-08-11	-0.047910723517
2017-08-12	-0.0176174583956
2017-08-13	-0.0290199074806
2017-08-14	-0.138690418508
2017-08-15	-0.13493025269
2017-08-16	
2017-08-17	
2017-08-18	
2017-08-19	-0.28525721889
2017-08-20	-0.264957367337
2017-08-21	-0.0261622309332
2017-08-22	-0.14213060165
2017-08-23	-0.140736476747
2017-08-24	-0.147410036819
2017-08-25	-0.146745164263
2017-08-26	-0.08322046334
2017-08-27	-0.0624089253441
2017-08-28	-0.154751301381
2017-08-29	0.0585230800147
2017-08-30	0.0648690576071
2017-08-31	0.0687869430349
2017-09-01	0.0542960043795
2017-09-02	0.0679001300541
2017-09-03	0.0796969493875
2017-09-04	0.29474884973
2017-09-05	-0.0569527923555
2017-09-06	-0.0629768049741
2017-09-07	-0.0617357350498
2017-09-08	-0.0510687187641
2017-09-09	-0.0469076392455
2017-09-10	-0.0611868370867
2017-09-11	-0.417504767306
2017-09-12	
2017-09-13	0.0277399919258
2017-09-14	0.0187707488234
2017-09-15	0.00831341231134
2017-09-16	-0.00709863702873
2017-09-17	-0.00952468092215
2017-09-18	-0.262463512324
2017-09-19	-0.269696908428
2017-09-20	-0.523953837077
2017-09-21	-0.530690285287
2017-09-22	-0.53557875162
2017-09-23	-0.545358758639
2017-09-24	-0.550501483138
2017-09-25	
2017-09-26	
2017-09-27	0.0748482037635
2017-09-28	0.0789501434922
2017-09-29	0.0712652486988
2017-09-30	0.0828051242895
2017-10-01	0.0781048605233
2017-10-02	0.168901279281
2017-10-03	0.167673463452
2017-10-04	0.215480896116
2017-10-05	0.362855833429
2017-10-06	0.371580058338
2017-10-07	0.372580221056
2017-10-08	0.360993382663
2017-10-09	
2017-10-10	
2017-10-11	
2017-10-12	
2017-10-13	
2017-10-14	
2017-10-15	
2017-10-16	
2017-10-17	
2017-10-18	
2017-10-19	
2017-10-20	
2017-10-21	
2017-10-22	
2017-10-23	
2017-10-24	
2017-10-25	
2017-10-26	
2017-10-27	
2017-10-28	
2017-10-29	
2017-10-30	
2017-10-31	
2017-11-01	
2017-11-02	-0.275421246714
2017-11-03	-0.279965434432
2017-11-04	-0.265456729942
2017-11-05	-0.265690212188
2017-11-06	-0.253614600912
2017-11-07	-0.25420017063
2017-11-08	-0.258219491211
2017-11-09	
2017-11-10	
2017-11-11	
2017-11-12	
2017-11-13	
2017-11-14	-0.0709206149365
2017-11-15	-0.0710920983508
2017-11-16	-0.0716117596445
2017-11-17	-0.0150747079147
2017-11-18	-0.00960389808783
2017-11-19	-0.00798778044837
2017-11-20	-0.0014239147666
2017-11-21	0.0486368927629
2017-11-22	0.0525954830902
2017-11-23	-0.148055404738
2017-11-24	-0.100293423627
2017-11-25	-0.0620468848971
2017-11-26	-0.0630990817747
2017-11-27	-0.066032807253
2017-11-28	-0.0645528842968
2017-11-29	-0.0766353224714
2017-11-30	0.169805195124
2017-12-01	
2017-12-02	
2017-12-03	
2017-12-04	
2017-12-05	
2017-12-06	0.0880083666427
2017-12-07	0.0819470621305
2017-12-08	0.0827189524636
2017-12-09	0.142772548042
2017-12-10	0.151291716585
2017-12-11	0.145036146576
2017-12-12	0.148474250834
2017-12-13	
