Date	Real Estate
2017-01-01	
2017-01-02	
2017-01-03	
2017-01-04	
2017-01-05	
2017-01-06	
2017-01-07	
2017-01-08	
2017-01-09	
2017-01-10	
2017-01-11	
2017-01-12	
2017-01-13	
2017-01-14	
2017-01-15	
2017-01-16	
2017-01-17	
2017-01-18	
2017-01-19	
2017-01-20	
2017-01-21	
2017-01-22	
2017-01-23	
2017-01-24	
2017-01-25	
2017-01-26	
2017-01-27	
2017-01-28	
2017-01-29	
2017-01-30	
2017-01-31	
2017-02-01	
2017-02-02	
2017-02-03	
2017-02-04	
2017-02-05	
2017-02-06	
2017-02-07	
2017-02-08	
2017-02-09	
2017-02-10	
2017-02-11	
2017-02-12	
2017-02-13	
2017-02-14	
2017-02-15	
2017-02-16	
2017-02-17	
2017-02-18	
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	
2017-02-28	0.483683187175
2017-03-01	0.482424995188
2017-03-02	0.480585653798
2017-03-03	0.483069061537
2017-03-04	0.480515802796
2017-03-05	0.481010222359
2017-03-06	0.482817870272
2017-03-07	0.477561958671
2017-03-08	0.472673807627
2017-03-09	0.471489389921
2017-03-10	0.473538798782
2017-03-11	0.469715847854
2017-03-12	0.464022911204
2017-03-13	0.466481193478
2017-03-14	0.471060887841
2017-03-15	0.347286920339
2017-03-16	0.349501755179
2017-03-17	0.356041017623
2017-03-18	0.353435267325
2017-03-19	0.355824550346
2017-03-20	0.361336564617
2017-03-21	0.359668398548
2017-03-22	0.353962259781
2017-03-23	0.356101768661
2017-03-24	0.357984089111
2017-03-25	0.360149680121
2017-03-26	0.364082364251
2017-03-27	0.365865509767
2017-03-28	0.365493239982
2017-03-29	0.3623693665
2017-03-30	0.239619245965
2017-03-31	0.238939976526
2017-04-01	0.240284901905
2017-04-02	0.240397886617
2017-04-03	0.23613301838
2017-04-04	0.233242457262
2017-04-05	0.232409927389
2017-04-06	0.230901926205
2017-04-07	0.23068169986
2017-04-08	0.228344123343
2017-04-09	0.222931449788
2017-04-10	0.228794545804
2017-04-11	0.234357916355
2017-04-12	0.23434468238
2017-04-13	0.233115418107
2017-04-14	
2017-04-15	
2017-04-16	
2017-04-17	
2017-04-18	-0.0615624842886
2017-04-19	-0.0613950423283
2017-04-20	-0.0602640989631
2017-04-21	-0.059307947762
2017-04-22	-0.0564695640972
2017-04-23	-0.0558649885025
2017-04-24	-0.0536925758999
2017-04-25	-0.058772994261
2017-04-26	-0.0577586928749
2017-04-27	-0.0597506279852
2017-04-28	-0.0591500871598
2017-04-29	-0.055826545276
2017-04-30	-0.0559952965234
2017-05-01	-0.0547701338736
2017-05-02	-0.0572369286383
2017-05-03	-0.0537601774067
2017-05-04	-0.0509704614866
2017-05-05	-0.0479678368382
2017-05-06	-0.0473863217299
2017-05-07	-0.0453265240235
2017-05-08	-0.043829786468
2017-05-09	-0.0415122378554
2017-05-10	-0.0439404467882
2017-05-11	-0.043532658909
2017-05-12	-0.0446577339605
2017-05-13	-0.0434257467513
2017-05-14	-0.0457177175432
2017-05-15	-0.0450073378958
2017-05-16	-0.0476807164679
2017-05-17	-0.0448481647883
2017-05-18	
2017-05-19	
2017-05-20	
2017-05-21	
2017-05-22	
2017-05-23	
2017-05-24	
2017-05-25	
2017-05-26	
2017-05-27	
2017-05-28	
2017-05-29	
2017-05-30	
2017-05-31	
2017-06-01	
2017-06-02	
2017-06-03	
2017-06-04	
2017-06-05	
2017-06-06	
2017-06-07	
2017-06-08	
2017-06-09	
2017-06-10	
2017-06-11	
2017-06-12	
2017-06-13	
2017-06-14	
2017-06-15	0.272643810681
2017-06-16	0.273966221447
2017-06-17	0.275508358433
2017-06-18	0.275970310073
2017-06-19	0.277421097325
2017-06-20	0.276939843119
2017-06-21	0.277381624233
2017-06-22	0.278096059154
2017-06-23	0.280420107724
2017-06-24	0.28033705217
2017-06-25	0.276793858672
2017-06-26	0.277542665678
2017-06-27	0.279979573091
2017-06-28	0.275502904092
2017-06-29	0.27496849455
2017-06-30	0.27632746702
2017-07-01	0.273854598261
2017-07-02	0.265768728411
2017-07-03	0.263102675167
2017-07-04	0.259794464989
2017-07-05	0.25933705432
2017-07-06	0.257302489871
2017-07-07	0.258196393839
2017-07-08	0.254137110759
2017-07-09	0.246371385454
2017-07-10	0.24295560278
2017-07-11	0.239352506813
2017-07-12	0.235896021277
2017-07-13	0.234859347258
2017-07-14	0.230642250799
2017-07-15	
2017-07-16	
2017-07-17	
2017-07-18	
2017-07-19	
2017-07-20	
2017-07-21	
2017-07-22	
2017-07-23	
2017-07-24	
2017-07-25	
2017-07-26	
2017-07-27	
2017-07-28	
2017-07-29	
2017-07-30	
2017-07-31	
2017-08-01	
2017-08-02	
2017-08-03	
2017-08-04	
2017-08-05	
2017-08-06	
2017-08-07	
2017-08-08	
2017-08-09	
2017-08-10	
2017-08-11	
2017-08-12	
2017-08-13	
2017-08-14	
2017-08-15	
2017-08-16	
2017-08-17	
2017-08-18	
2017-08-19	
2017-08-20	
2017-08-21	
2017-08-22	
2017-08-23	
2017-08-24	
2017-08-25	
2017-08-26	-0.213652599242
2017-08-27	-0.212288698877
2017-08-28	-0.204948810634
2017-08-29	-0.196759091946
2017-08-30	-0.194680753739
2017-08-31	-0.192277437149
2017-09-01	-0.193074830416
2017-09-02	-0.185726417991
2017-09-03	-0.184196356351
2017-09-04	-0.177934868847
2017-09-05	-0.171503505231
2017-09-06	-0.167248110476
2017-09-07	-0.168025549679
2017-09-08	-0.16561960533
2017-09-09	-0.159970965701
2017-09-10	-0.158880802917
2017-09-11	-0.152140047657
2017-09-12	-0.145362381424
2017-09-13	-0.146207882548
2017-09-14	-0.145826706707
2017-09-15	-0.146172814917
2017-09-16	-0.14328063071
2017-09-17	-0.14543049537
2017-09-18	-0.144461600193
2017-09-19	-0.14250576782
2017-09-20	-0.145670381832
2017-09-21	-0.146378089566
2017-09-22	-0.148193398846
2017-09-23	-0.149823916717
2017-09-24	-0.155620221754
2017-09-25	
2017-09-26	
2017-09-27	
2017-09-28	
2017-09-29	
2017-09-30	
2017-10-01	
2017-10-02	
2017-10-03	
2017-10-04	
2017-10-05	
2017-10-06	
2017-10-07	
2017-10-08	
2017-10-09	
2017-10-10	
2017-10-11	
2017-10-12	
2017-10-13	
2017-10-14	
2017-10-15	
2017-10-16	
2017-10-17	0.18030399232
2017-10-18	0.18081323478
2017-10-19	0.178056781452
2017-10-20	0.178449940408
2017-10-21	0.174434700365
2017-10-22	0.168604199597
2017-10-23	0.170835313595
2017-10-24	0.170647357139
2017-10-25	0.277995901012
2017-10-26	0.277046997607
2017-10-27	0.276019070824
2017-10-28	0.27826882733
2017-10-29	0.286334849487
2017-10-30	0.283471872281
2017-10-31	0.288080070733
2017-11-01	0.288580163711
2017-11-02	0.288763037677
2017-11-03	0.0446418991264
2017-11-04	0.0422743339743
2017-11-05	0.0419987123317
2017-11-06	0.0371097746325
2017-11-07	0.0426625874548
2017-11-08	0.0416142712766
2017-11-09	0.0345060087322
2017-11-10	0.0344974196668
2017-11-11	0.0297896964976
2017-11-12	0.0230263918846
2017-11-13	0.018803618683
2017-11-14	0.00208219754071
2017-11-15	-0.000935903017086
2017-11-16	-0.0555221700419
2017-11-17	-0.0584241532774
2017-11-18	-0.0510543263114
2017-11-19	-0.0500981971841
2017-11-20	-0.0449440953479
2017-11-21	-0.0417869074575
2017-11-22	-0.0424479027581
2017-11-23	-0.0394217850186
2017-11-24	-0.251435572277
2017-11-25	-0.244118268624
2017-11-26	-0.245063656328
2017-11-27	-0.247402478127
2017-11-28	-0.253168125894
2017-11-29	-0.255966851939
2017-11-30	-0.2585041417
2017-12-01	-0.25918126626
2017-12-02	-0.260246231047
2017-12-03	-0.044129620294
2017-12-04	-0.0397590922065
2017-12-05	-0.0407581967747
2017-12-06	-0.0433583825867
2017-12-07	-0.0444664936103
2017-12-08	-0.0448944892285
2017-12-09	-0.0334550984905
2017-12-10	-0.0327647239748
2017-12-11	-0.0291717720303
2017-12-12	-0.0212826703198
2017-12-13	-0.0183045747306
2017-12-14	
2017-12-15	
2017-12-16	
2017-12-17	
2017-12-18	
2017-12-19	
2017-12-20	
2017-12-21	
2017-12-22	
2017-12-23	
2017-12-24	0.185502966993
2017-12-25	0.174756976916
2017-12-26	0.178742407285
2017-12-27	0.177542216574
2017-12-28	0.177480696086
2017-12-29	0.177131060931
2017-12-30	0.183411874288
2017-12-31	0.184257171357
2018-01-01	0.188818553159
2018-01-02	0.189326431534
2018-01-03	0.191625451542
