Date	Health Care
2017-01-01	
2017-01-02	
2017-01-03	
2017-01-04	
2017-01-05	0.160056105813
2017-01-06	0.160065698605
2017-01-07	0.154613435719
2017-01-08	0.156993258397
2017-01-09	0.159811052266
2017-01-10	0.166498716884
2017-01-11	0.166221729178
2017-01-12	0.167825105004
2017-01-13	0.167482662283
2017-01-14	0.165834961535
2017-01-15	0.163688587956
2017-01-16	0.161496836514
2017-01-17	0.164047393077
2017-01-18	0.166155408856
2017-01-19	0.164565505862
2017-01-20	0.165345563332
2017-01-21	0.164972412048
2017-01-22	0.163005799489
2017-01-23	0.164697448511
2017-01-24	0.169405198741
2017-01-25	0.17294181393
2017-01-26	0.17128131266
2017-01-27	0.17302969104
2017-01-28	0.173393968216
2017-01-29	0.17006297762
2017-01-30	0.174404229267
2017-01-31	0.174900867005
2017-02-01	0.179046491399
2017-02-02	0.180583674722
2017-02-03	0.18261007436
2017-02-04	
2017-02-05	
2017-02-06	
2017-02-07	
2017-02-08	
2017-02-09	
2017-02-10	
2017-02-11	
2017-02-12	
2017-02-13	
2017-02-14	
2017-02-15	
2017-02-16	
2017-02-17	
2017-02-18	
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	
2017-02-28	
2017-03-01	
2017-03-02	
2017-03-03	
2017-03-04	
2017-03-05	
2017-03-06	-0.684692467636
2017-03-07	-0.683201844781
2017-03-08	-0.685394272781
2017-03-09	-0.688289193683
2017-03-10	-0.689178603166
2017-03-11	-0.689073181686
2017-03-12	-0.696049111681
2017-03-13	-0.691600917843
2017-03-14	-0.684889307704
2017-03-15	-0.688549184011
2017-03-16	-0.687489473709
2017-03-17	-0.686188591229
2017-03-18	-0.690836356145
2017-03-19	-0.687401763544
2017-03-20	-0.682759100376
2017-03-21	-0.681496807191
2017-03-22	-0.685685994045
2017-03-23	-0.68681005452
2017-03-24	-0.685488798248
2017-03-25	-0.681979733447
2017-03-26	-0.683879747344
2017-03-27	-0.677624698943
2017-03-28	-0.674908953465
2017-03-29	-0.675449184388
2017-03-30	-0.678704929271
2017-03-31	-0.679842179873
2017-04-01	-0.676369110687
2017-04-02	-0.673933104892
2017-04-03	-0.126383577497
2017-04-04	-0.128178228232
2017-04-05	0.414708841068
2017-04-06	0.41121255505
2017-04-07	0.409502244092
2017-04-08	0.41537669062
2017-04-09	0.414892292505
2017-04-10	0.413882775603
2017-04-11	0.416279883323
2017-04-12	0.420241063576
2017-04-13	0.419290756025
2017-04-14	0.422160141476
2017-04-15	0.420865180631
2017-04-16	0.421238186754
2017-04-17	0.425609066958
2017-04-18	0.422547946882
2017-04-19	0.422876939351
2017-04-20	0.424882961956
2017-04-21	0.425582501257
2017-04-22	0.428377960786
2017-04-23	0.42440352061
2017-04-24	0.423129173665
2017-04-25	0.421347778573
2017-04-26	0.420545663681
2017-04-27	0.417073059598
2017-04-28	0.416748127628
2017-04-29	0.417256894826
2017-04-30	0.417949309097
2017-05-01	0.416945874003
2017-05-02	0.413492269032
2017-05-03	
2017-05-04	
2017-05-05	
2017-05-06	
2017-05-07	
2017-05-08	
2017-05-09	
2017-05-10	
2017-05-11	
2017-05-12	
2017-05-13	
2017-05-14	
2017-05-15	
2017-05-16	
2017-05-17	
2017-05-18	
2017-05-19	
2017-05-20	
2017-05-21	
2017-05-22	
2017-05-23	
2017-05-24	
2017-05-25	
2017-05-26	
2017-05-27	
2017-05-28	
2017-05-29	
2017-05-30	
2017-05-31	
2017-06-01	
2017-06-02	
2017-06-03	
2017-06-04	
2017-06-05	
2017-06-06	
2017-06-07	
2017-06-08	
2017-06-09	
2017-06-10	
2017-06-11	
2017-06-12	
2017-06-13	
2017-06-14	
2017-06-15	
2017-06-16	
2017-06-17	
2017-06-18	
2017-06-19	
2017-06-20	
2017-06-21	
2017-06-22	
2017-06-23	
2017-06-24	
2017-06-25	
2017-06-26	
2017-06-27	
2017-06-28	
2017-06-29	
2017-06-30	
2017-07-01	
2017-07-02	
2017-07-03	
2017-07-04	
2017-07-05	
2017-07-06	
2017-07-07	
2017-07-08	
2017-07-09	
2017-07-10	
2017-07-11	
2017-07-12	
2017-07-13	
2017-07-14	
2017-07-15	
2017-07-16	
2017-07-17	
2017-07-18	
2017-07-19	
2017-07-20	
2017-07-21	
2017-07-22	
2017-07-23	
2017-07-24	
2017-07-25	
2017-07-26	
2017-07-27	
2017-07-28	
2017-07-29	
2017-07-30	
2017-07-31	
2017-08-01	
2017-08-02	
2017-08-03	
2017-08-04	
2017-08-05	
2017-08-06	
2017-08-07	
2017-08-08	
2017-08-09	
2017-08-10	
2017-08-11	
2017-08-12	
2017-08-13	
2017-08-14	
2017-08-15	
2017-08-16	
2017-08-17	
2017-08-18	
2017-08-19	
2017-08-20	
2017-08-21	
2017-08-22	
2017-08-23	
2017-08-24	
2017-08-25	
2017-08-26	
2017-08-27	
2017-08-28	
2017-08-29	
2017-08-30	
2017-08-31	0.222020464158
2017-09-01	0.222205990043
2017-09-02	0.226740642689
2017-09-03	0.228620198254
2017-09-04	0.235050130942
2017-09-05	0.238763572316
2017-09-06	0.241101965136
2017-09-07	0.242618324129
2017-09-08	0.243661797054
2017-09-09	0.245761171323
2017-09-10	0.246392844236
2017-09-11	0.250460770498
2017-09-12	0.257472331013
2017-09-13	0.258345688363
2017-09-14	0.260035919582
2017-09-15	0.260948647356
2017-09-16	0.262080484515
2017-09-17	0.260916291155
2017-09-18	0.263229095329
2017-09-19	0.263470398981
2017-09-20	0.261601903016
2017-09-21	0.260624380871
2017-09-22	0.258435318901
2017-09-23	0.257823307771
2017-09-24	0.255228703581
2017-09-25	0.252829800599
2017-09-26	0.251246711643
2017-09-27	0.250326137414
2017-09-28	0.246062833218
2017-09-29	0.245673773282
2017-09-30	
2017-10-01	
2017-10-02	
2017-10-03	
2017-10-04	
2017-10-05	
2017-10-06	
2017-10-07	
2017-10-08	
2017-10-09	
2017-10-10	
2017-10-11	
2017-10-12	
2017-10-13	
2017-10-14	
2017-10-15	
2017-10-16	
2017-10-17	
2017-10-18	
2017-10-19	
2017-10-20	
2017-10-21	
2017-10-22	
2017-10-23	
2017-10-24	
2017-10-25	
2017-10-26	
2017-10-27	
2017-10-28	
2017-10-29	
2017-10-30	
2017-10-31	
2017-11-01	
2017-11-02	
2017-11-03	
2017-11-04	
2017-11-05	
2017-11-06	
2017-11-07	
2017-11-08	
2017-11-09	
2017-11-10	
2017-11-11	
2017-11-12	
2017-11-13	
2017-11-14	
2017-11-15	
2017-11-16	
2017-11-17	
2017-11-18	
2017-11-19	
2017-11-20	
2017-11-21	
2017-11-22	
2017-11-23	
2017-11-24	
2017-11-25	
2017-11-26	
2017-11-27	
2017-11-28	
2017-11-29	
2017-11-30	
2017-12-01	
2017-12-02	
2017-12-03	
2017-12-04	
2017-12-05	
2017-12-06	
2017-12-07	
2017-12-08	
2017-12-09	
2017-12-10	
2017-12-11	
2017-12-12	
2017-12-13	
2017-12-14	
2017-12-15	
2017-12-16	
2017-12-17	
2017-12-18	
2017-12-19	
2017-12-20	
2017-12-21	
2017-12-22	
2017-12-23	
2017-12-24	
2017-12-25	
2017-12-26	
2017-12-27	
2017-12-28	
2017-12-29	
2017-12-30	
2017-12-31	
2018-01-01	
2018-01-02	
2018-01-03	
2018-01-04	
2018-01-05	
2018-01-06	
2018-01-07	
2018-01-08	
2018-01-09	
2018-01-10	
2018-01-11	
2018-01-12	
2018-01-13	
2018-01-14	
2018-01-15	
2018-01-16	
2018-01-17	
2018-01-18	
2018-01-19	
2018-01-20	
2018-01-21	
2018-01-22	
2018-01-23	
2018-01-24	
2018-01-25	
2018-01-26	
2018-01-27	
2018-01-28	
2018-01-29	
2018-01-30	
2018-01-31	
2018-02-01	
2018-02-02	
2018-02-03	
2018-02-04	
2018-02-05	
2018-02-06	
2018-02-07	
2018-02-08	
2018-02-09	
2018-02-10	
2018-02-11	
2018-02-12	
2018-02-13	
2018-02-14	
2018-02-15	
2018-02-16	
2018-02-17	
2018-02-18	
2018-02-19	
2018-02-20	
2018-02-21	
2018-02-22	
2018-02-23	
2018-02-24	
2018-02-25	
2018-02-26	
2018-02-27	
2018-02-28	
2018-03-01	
2018-03-02	
2018-03-03	
2018-03-04	
2018-03-05	
2018-03-06	
2018-03-07	
2018-03-08	
2018-03-09	
2018-03-10	
2018-03-11	
2018-03-12	
2018-03-13	
2018-03-14	
2018-03-15	
2018-03-16	
2018-03-17	
2018-03-18	
2018-03-19	
2018-03-20	
2018-03-21	
2018-03-22	
2018-03-23	
2018-03-24	
