Date	Utilities
2017-01-01	
2017-01-02	
2017-01-03	
2017-01-04	
2017-01-05	
2017-01-06	
2017-01-07	
2017-01-08	
2017-01-09	
2017-01-10	
2017-01-11	
2017-01-12	
2017-01-13	
2017-01-14	
2017-01-15	
2017-01-16	
2017-01-17	
2017-01-18	
2017-01-19	
2017-01-20	
2017-01-21	
2017-01-22	
2017-01-23	
2017-01-24	0.0451411929674
2017-01-25	0.0401906323489
2017-01-26	0.0383021776091
2017-01-27	0.0487789660848
2017-01-28	0.0569101301891
2017-01-29	0.0566943065014
2017-01-30	0.0606581005006
2017-01-31	
2017-02-01	
2017-02-02	
2017-02-03	
2017-02-04	
2017-02-05	
2017-02-06	
2017-02-07	
2017-02-08	
2017-02-09	
2017-02-10	
2017-02-11	
2017-02-12	
2017-02-13	
2017-02-14	
2017-02-15	
2017-02-16	
2017-02-17	
2017-02-18	
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	
2017-02-28	
2017-03-01	
2017-03-02	
2017-03-03	
2017-03-04	
2017-03-05	
2017-03-06	
2017-03-07	-0.543515168692
2017-03-08	-0.545249396132
2017-03-09	-0.546869228762
2017-03-10	-0.545050776216
2017-03-11	-0.546757001879
2017-03-12	-0.573815109717
2017-03-13	-0.579326042855
2017-03-14	
2017-03-15	
2017-03-16	
2017-03-17	
2017-03-18	
2017-03-19	
2017-03-20	
2017-03-21	
2017-03-22	
2017-03-23	
2017-03-24	
2017-03-25	
2017-03-26	
2017-03-27	0.309745476333
2017-03-28	0.300484222742
2017-03-29	0.284489853483
2017-03-30	0.271458055855
2017-03-31	0.261414149012
2017-04-01	0.263371747331
2017-04-02	0.27417763749
2017-04-03	0.236245692316
2017-04-04	0.226229736173
2017-04-05	
2017-04-06	
2017-04-07	
2017-04-08	
2017-04-09	
2017-04-10	
2017-04-11	
2017-04-12	
2017-04-13	
2017-04-14	
2017-04-15	
2017-04-16	
2017-04-17	
2017-04-18	
2017-04-19	
2017-04-20	
2017-04-21	
2017-04-22	
2017-04-23	
2017-04-24	
2017-04-25	
2017-04-26	
2017-04-27	
2017-04-28	
2017-04-29	
2017-04-30	
2017-05-01	
2017-05-02	
2017-05-03	
2017-05-04	
2017-05-05	
2017-05-06	
2017-05-07	
2017-05-08	
2017-05-09	
2017-05-10	
2017-05-11	
2017-05-12	
2017-05-13	
2017-05-14	
2017-05-15	
2017-05-16	
2017-05-17	
2017-05-18	
2017-05-19	
2017-05-20	
2017-05-21	
2017-05-22	
2017-05-23	-0.260583539814
2017-05-24	-0.259097437056
2017-05-25	-0.249771573006
2017-05-26	-0.255511189569
2017-05-27	-0.231446782902
2017-05-28	-0.252940397118
2017-05-29	-0.244916495188
2017-05-30	
2017-05-31	
2017-06-01	
2017-06-02	
2017-06-03	
2017-06-04	
2017-06-05	
2017-06-06	
2017-06-07	
2017-06-08	
2017-06-09	0.316021109311
2017-06-10	0.330206177568
2017-06-11	0.436152122735
2017-06-12	0.426943501471
2017-06-13	0.427452391811
2017-06-14	0.427148304625
2017-06-15	0.415884889892
2017-06-16	0.539452913593
2017-06-17	0.535609948907
2017-06-18	
2017-06-19	
2017-06-20	
2017-06-21	
2017-06-22	
2017-06-23	
2017-06-24	
2017-06-25	
2017-06-26	
2017-06-27	
2017-06-28	
2017-06-29	
2017-06-30	
2017-07-01	
2017-07-02	
2017-07-03	
2017-07-04	
2017-07-05	
2017-07-06	
2017-07-07	
2017-07-08	
2017-07-09	
2017-07-10	
2017-07-11	-0.209016509474
2017-07-12	-0.212829366957
2017-07-13	-0.290417641646
2017-07-14	-0.297817120406
2017-07-15	-0.269344618648
2017-07-16	-0.269819603715
2017-07-17	-0.266063571701
2017-07-18	-0.354255261725
2017-07-19	-0.347982005467
2017-07-20	
2017-07-21	
2017-07-22	
2017-07-23	
2017-07-24	
2017-07-25	
2017-07-26	
2017-07-27	
2017-07-28	
2017-07-29	
2017-07-30	
2017-07-31	
2017-08-01	
2017-08-02	
2017-08-03	
2017-08-04	
2017-08-05	
2017-08-06	
2017-08-07	-0.0164614545463
2017-08-08	-0.0244437482285
2017-08-09	-0.0314246157021
2017-08-10	-0.0283013052392
2017-08-11	-0.0385203526309
2017-08-12	-0.0327228193755
2017-08-13	-0.0587305812802
2017-08-14	
2017-08-15	
2017-08-16	
2017-08-17	
2017-08-18	
2017-08-19	
2017-08-20	
2017-08-21	
2017-08-22	
2017-08-23	
2017-08-24	
2017-08-25	
2017-08-26	
2017-08-27	
2017-08-28	
2017-08-29	
2017-08-30	
2017-08-31	
2017-09-01	
2017-09-02	
2017-09-03	
2017-09-04	
2017-09-05	
2017-09-06	0.124622372836
2017-09-07	0.123589591996
2017-09-08	0.121020706031
2017-09-09	0.117676407089
2017-09-10	0.116632533794
2017-09-11	0.106554843326
2017-09-12	0.11170918485
2017-09-13	
2017-09-14	
2017-09-15	
2017-09-16	
2017-09-17	
2017-09-18	
2017-09-19	
2017-09-20	0.360035232573
2017-09-21	0.360626047072
2017-09-22	0.364875701507
2017-09-23	0.36087212865
2017-09-24	0.337106913466
2017-09-25	0.338467669125
2017-09-26	0.336311200158
2017-09-27	
2017-09-28	
2017-09-29	
2017-09-30	
2017-10-01	
2017-10-02	
2017-10-03	
2017-10-04	
2017-10-05	
2017-10-06	
2017-10-07	
2017-10-08	
2017-10-09	
2017-10-10	
2017-10-11	
2017-10-12	
2017-10-13	
2017-10-14	
2017-10-15	
2017-10-16	
2017-10-17	
2017-10-18	
2017-10-19	
2017-10-20	
2017-10-21	
2017-10-22	
2017-10-23	
2017-10-24	-0.0153366554538
2017-10-25	-0.0184429053464
2017-10-26	0.339901346036
2017-10-27	0.332280228936
2017-10-28	0.313146511079
2017-10-29	0.290988776533
2017-10-30	0.29061114363
2017-10-31	0.652891384665
2017-11-01	0.660457568698
2017-11-02	
2017-11-03	
2017-11-04	
2017-11-05	
2017-11-06	
2017-11-07	
2017-11-08	
2017-11-09	
2017-11-10	0.152114992872
2017-11-11	0.12881920811
2017-11-12	0.124250298296
2017-11-13	0.119029614224
2017-11-14	0.123812941801
2017-11-15	0.126182360571
2017-11-16	0.138088990712
2017-11-17	
2017-11-18	
2017-11-19	
2017-11-20	
2017-11-21	
2017-11-22	
2017-11-23	
2017-11-24	
2017-11-25	
2017-11-26	
2017-11-27	
2017-11-28	
2017-11-29	0.258518416491
2017-11-30	0.259453121069
2017-12-01	0.266081538172
2017-12-02	0.229505559337
2017-12-03	0.275794609617
2017-12-04	0.290762683677
2017-12-05	0.3019447157
2017-12-06	
2017-12-07	
2017-12-08	
2017-12-09	
2017-12-10	
2017-12-11	
2017-12-12	
2017-12-13	
2017-12-14	
2017-12-15	
2017-12-16	
2017-12-17	
2017-12-18	
2017-12-19	
2017-12-20	
2017-12-21	
2017-12-22	
2017-12-23	
2017-12-24	
2017-12-25	
2017-12-26	
2017-12-27	
2017-12-28	
2017-12-29	
2017-12-30	
2017-12-31	
2018-01-01	
2018-01-02	
2018-01-03	
2018-01-04	0.0409460652619
2018-01-05	0.0566426865284
2018-01-06	0.101955609386
2018-01-07	0.0844217512903
2018-01-08	0.0585456058245
2018-01-09	0.0463770019716
2018-01-10	0.0352406115928
2018-01-11	
2018-01-12	
2018-01-13	
2018-01-14	
2018-01-15	
2018-01-16	
2018-01-17	
2018-01-18	
2018-01-19	
2018-01-20	
2018-01-21	
2018-01-22	
2018-01-23	
2018-01-24	
2018-01-25	
2018-01-26	
2018-01-27	
2018-01-28	
2018-01-29	
2018-01-30	
2018-01-31	
2018-02-01	
2018-02-02	
2018-02-03	
2018-02-04	
2018-02-05	
2018-02-06	
2018-02-07	
2018-02-08	
2018-02-09	
2018-02-10	
2018-02-11	
2018-02-12	
2018-02-13	
2018-02-14	
2018-02-15	
2018-02-16	
2018-02-17	
2018-02-18	
2018-02-19	
2018-02-20	
2018-02-21	
2018-02-22	
2018-02-23	
2018-02-24	
2018-02-25	
2018-02-26	
2018-02-27	
2018-02-28	
2018-03-01	
2018-03-02	
2018-03-03	
2018-03-04	
2018-03-05	
2018-03-06	
2018-03-07	
2018-03-08	
2018-03-09	
2018-03-10	
2018-03-11	
2018-03-12	
2018-03-13	
2018-03-14	0.730108183475
2018-03-15	0.692136159475
2018-03-16	0.672007858275
2018-03-17	0.729296151132
2018-03-18	0.741409374941
2018-03-19	0.74456340938
2018-03-20	0.737666137445
2018-03-21	
2018-03-22	
2018-03-23	
2018-03-24	
2018-03-25	
2018-03-26	-0.271321064268
2018-03-27	-0.268251315764
