Date	Consumer Discretionary
2017-01-01	
2017-01-02	
2017-01-03	
2017-01-04	
2017-01-05	
2017-01-06	
2017-01-07	
2017-01-08	
2017-01-09	
2017-01-10	
2017-01-11	
2017-01-12	
2017-01-13	
2017-01-14	
2017-01-15	
2017-01-16	
2017-01-17	
2017-01-18	
2017-01-19	
2017-01-20	
2017-01-21	
2017-01-22	
2017-01-23	
2017-01-24	
2017-01-25	
2017-01-26	
2017-01-27	
2017-01-28	
2017-01-29	
2017-01-30	
2017-01-31	
2017-02-01	
2017-02-02	
2017-02-03	
2017-02-04	
2017-02-05	
2017-02-06	0.10351502502
2017-02-07	0.106401917606
2017-02-08	0.107852171238
2017-02-09	0.108916539828
2017-02-10	0.109726550192
2017-02-11	0.103721383124
2017-02-12	0.101417797952
2017-02-13	0.104824776934
2017-02-14	0.10675911333
2017-02-15	0.110178211788
2017-02-16	0.111678880293
2017-02-17	0.111673104883
2017-02-18	0.108531783854
2017-02-19	0.108860226274
2017-02-20	0.111214284399
2017-02-21	0.112852425704
2017-02-22	0.112176475914
2017-02-23	0.11402550402
2017-02-24	0.118122219237
2017-02-25	0.113367448385
2017-02-26	0.113371437151
2017-02-27	0.113510546992
2017-02-28	0.116400687472
2017-03-01	0.115679588329
2017-03-02	0.114162467138
2017-03-03	0.113929719049
2017-03-04	0.110840124589
2017-03-05	0.109945148303
2017-03-06	0.161475606027
2017-03-07	0.161861731815
2017-03-08	0.210013679951
2017-03-09	0.208222346828
2017-03-10	0.20850871838
2017-03-11	0.206476702907
2017-03-12	0.20175550435
2017-03-13	0.208043892521
2017-03-14	0.211070614089
2017-03-15	0.208866063803
2017-03-16	0.209178027649
2017-03-17	0.209181931554
2017-03-18	0.203562160636
2017-03-19	0.202853836392
2017-03-20	0.20503471648
2017-03-21	0.205298360763
2017-03-22	0.203862738384
2017-03-23	0.203930666033
2017-03-24	0.204531310037
2017-03-25	0.203236079973
2017-03-26	0.200479621666
2017-03-27	0.2052418796
2017-03-28	0.20436915585
2017-03-29	0.202762035013
2017-03-30	0.0392892059721
2017-03-31	0.0382271039622
2017-04-01	0.0374410133564
2017-04-02	0.0375606547406
2017-04-03	0.0379038194599
2017-04-04	0.0172917967424
2017-04-05	-0.0739526073285
2017-04-06	-0.0746413749876
2017-04-07	-0.0765094047173
2017-04-08	-0.0769015457998
2017-04-09	-0.0795347161722
2017-04-10	-0.0791525435527
2017-04-11	-0.0772004909956
2017-04-12	-0.0775052268201
2017-04-13	-0.0791210543965
2017-04-14	-0.0778947723839
2017-04-15	-0.0782735551148
2017-04-16	-0.0795650774757
2017-04-17	-0.075207478167
2017-04-18	-0.0745703963541
2017-04-19	-0.0748485832738
2017-04-20	-0.0732303147481
2017-04-21	-0.0721684803081
2017-04-22	-0.067690482426
2017-04-23	-0.067442429076
2017-04-24	-0.0657356405821
2017-04-25	-0.0655787460911
2017-04-26	-0.0651718187329
2017-04-27	-0.0633464677808
2017-04-28	-0.0602934679406
2017-04-29	-0.00565466154337
2017-04-30	-0.00510748387657
2017-05-01	-0.00202252303822
2017-05-02	-0.00264567867027
2017-05-03	-0.00318997620812
2017-05-04	
2017-05-05	
2017-05-06	
2017-05-07	
2017-05-08	
2017-05-09	
2017-05-10	
2017-05-11	
2017-05-12	
2017-05-13	
2017-05-14	
2017-05-15	
2017-05-16	-0.217956297064
2017-05-17	-0.218465216378
2017-05-18	-0.218404027565
2017-05-19	-0.216774396775
2017-05-20	-0.216682133918
2017-05-21	-0.215762524644
2017-05-22	-0.218325592999
2017-05-23	-0.217868841093
2017-05-24	-0.217345666055
2017-05-25	-0.216209850801
2017-05-26	-0.214435002132
2017-05-27	-0.213422221165
2017-05-28	-0.2173758708
2017-05-29	-0.216121852354
2017-05-30	-0.216178847797
2017-05-31	-0.217059299925
2017-06-01	-0.215989428965
2017-06-02	-0.213400218799
2017-06-03	-0.210299911949
2017-06-04	-0.207951174154
2017-06-05	-0.204916022965
2017-06-06	-0.204960363604
2017-06-07	-0.202908124252
2017-06-08	-0.20104353825
2017-06-09	-0.199709261268
2017-06-10	-0.200588792671
2017-06-11	-0.200011111091
2017-06-12	-0.198216676652
2017-06-13	-0.197007526505
2017-06-14	-0.195602055027
2017-06-15	
2017-06-16	
2017-06-17	
2017-06-18	
2017-06-19	-0.139340913188
2017-06-20	-0.137538402593
2017-06-21	-0.137785931725
2017-06-22	-0.13783120015
2017-06-23	-0.137421839098
2017-06-24	-0.137531678508
2017-06-25	-0.139539013512
2017-06-26	-0.138586434584
2017-06-27	-0.134864694182
2017-06-28	-0.136769987368
2017-06-29	-0.136187953912
2017-06-30	-0.135148930983
2017-07-01	-0.13846292849
2017-07-02	-0.143951759268
2017-07-03	-0.233687259657
2017-07-04	-0.237125335682
2017-07-05	-0.236878530485
2017-07-06	-0.237141573265
2017-07-07	-0.238084022809
2017-07-08	-0.239904114148
2017-07-09	-0.24403700575
2017-07-10	-0.243447485561
2017-07-11	-0.244850642629
2017-07-12	-0.247529967627
2017-07-13	-0.24856116732
2017-07-14	-0.24980933095
2017-07-15	-0.253205826278
2017-07-16	-0.25872877219
2017-07-17	-0.258566964685
2017-07-18	-0.257579672169
2017-07-19	-0.347904906362
2017-07-20	-0.350948506981
2017-07-21	-0.350606259204
2017-07-22	-0.353567727439
2017-07-23	-0.357591237991
2017-07-24	-0.357227686965
2017-07-25	-0.355275964975
2017-07-26	-0.357560183371
2017-07-27	-0.358355153055
2017-07-28	-0.356990620558
2017-07-29	-0.358010540571
2017-07-30	-0.36454124131
2017-07-31	-0.36089737368
2017-08-01	-0.357181901119
2017-08-02	
2017-08-03	-0.254910181043
2017-08-04	-0.254846161686
2017-08-05	-0.25995307636
2017-08-06	-0.263679590718
2017-08-07	-0.259728095959
2017-08-08	-0.257275413492
2017-08-09	-0.256234314638
2017-08-10	-0.256518339773
2017-08-11	-0.255765940978
2017-08-12	-0.260362651396
2017-08-13	-0.264246205408
2017-08-14	-0.378998840238
2017-08-15	-0.37568618328
2017-08-16	-0.376006081262
2017-08-17	-0.377362401801
2017-08-18	-0.374383616699
2017-08-19	-0.375799689925
2017-08-20	-0.380478194296
2017-08-21	-0.376632318947
2017-08-22	-0.374072973196
2017-08-23	-0.372729763976
2017-08-24	-0.37333104488
2017-08-25	-0.371141086466
2017-08-26	-0.370370358424
2017-08-27	-0.370708981486
2017-08-28	-0.368884736324
2017-08-29	-0.362871751634
2017-08-30	-0.362789821593
2017-08-31	-0.362337230483
2017-09-01	-0.36195418895
2017-09-02	-0.473710672443
2017-09-03	-0.4731229181
2017-09-04	-0.467858646185
2017-09-05	-0.464348034444
2017-09-06	-0.467121695373
2017-09-07	-0.466229873349
2017-09-08	-0.465760328822
2017-09-09	-0.462750171111
2017-09-10	-0.461343689982
2017-09-11	-0.456815259644
2017-09-12	-0.452160747314
2017-09-13	
2017-09-14	
2017-09-15	
2017-09-16	
2017-09-17	
2017-09-18	
2017-09-19	
2017-09-20	
2017-09-21	
2017-09-22	
2017-09-23	
2017-09-24	
2017-09-25	
2017-09-26	
2017-09-27	
2017-09-28	
2017-09-29	
2017-09-30	
2017-10-01	
2017-10-02	
2017-10-03	
2017-10-04	
2017-10-05	
2017-10-06	
2017-10-07	
2017-10-08	
2017-10-09	
2017-10-10	
2017-10-11	
2017-10-12	
2017-10-13	
2017-10-14	
2017-10-15	
2017-10-16	
2017-10-17	-0.0277150187847
2017-10-18	-0.0283337766505
2017-10-19	-0.0283282488602
2017-10-20	-0.0267916371005
2017-10-21	-0.0270495594839
2017-10-22	-0.0268148142993
2017-10-23	-0.0245397860435
2017-10-24	-0.0234806764355
2017-10-25	-0.0237698489911
2017-10-26	-0.022905104766
2017-10-27	-0.0206574581182
2017-10-28	-0.0183844295359
2017-10-29	-0.0186014977579
2017-10-30	-0.0168947478501
2017-10-31	-0.0147168270712
2017-11-01	-0.0142353110402
2017-11-02	-0.0128059726891
2017-11-03	-0.010578764115
2017-11-04	-0.00730500283381
2017-11-05	-0.00740478062815
2017-11-06	-0.0100747821823
2017-11-07	-0.00540387142362
2017-11-08	-0.00600084567643
2017-11-09	-0.00546447437858
2017-11-10	-0.00371807760184
2017-11-11	-0.00581960866882
2017-11-12	-0.00685293410707
2017-11-13	-0.00516882406057
2017-11-14	-0.00434687535174
2017-11-15	-0.00513584661851
2017-11-16	
2017-11-17	
2017-11-18	
2017-11-19	
2017-11-20	
2017-11-21	
2017-11-22	
2017-11-23	
2017-11-24	
2017-11-25	
2017-11-26	
2017-11-27	
2017-11-28	
2017-11-29	
2017-11-30	
2017-12-01	
2017-12-02	
