Date	Financials
2017-01-01	
2017-01-02	
2017-01-03	
2017-01-04	
2017-01-05	
2017-01-06	
2017-01-07	
2017-01-08	
2017-01-09	
2017-01-10	
2017-01-11	
2017-01-12	
2017-01-13	
2017-01-14	
2017-01-15	
2017-01-16	
2017-01-17	
2017-01-18	
2017-01-19	
2017-01-20	
2017-01-21	
2017-01-22	
2017-01-23	
2017-01-24	
2017-01-25	
2017-01-26	
2017-01-27	
2017-01-28	
2017-01-29	
2017-01-30	
2017-01-31	
2017-02-01	
2017-02-02	
2017-02-03	
2017-02-04	
2017-02-05	
2017-02-06	
2017-02-07	
2017-02-08	
2017-02-09	
2017-02-10	
2017-02-11	
2017-02-12	
2017-02-13	
2017-02-14	
2017-02-15	
2017-02-16	
2017-02-17	
2017-02-18	
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	
2017-02-28	
2017-03-01	
2017-03-02	
2017-03-03	
2017-03-04	
2017-03-05	
2017-03-06	
2017-03-07	
2017-03-08	
2017-03-09	
2017-03-10	
2017-03-11	
2017-03-12	
2017-03-13	
2017-03-14	
2017-03-15	
2017-03-16	
2017-03-17	
2017-03-18	
2017-03-19	
2017-03-20	
2017-03-21	
2017-03-22	
2017-03-23	
2017-03-24	
2017-03-25	
2017-03-26	
2017-03-27	
2017-03-28	
2017-03-29	
2017-03-30	-0.379562448188
2017-03-31	-0.383278649319
2017-04-01	-0.37056258321
2017-04-02	-0.372554173811
2017-04-03	-0.380869657767
2017-04-04	-0.432224262725
2017-04-05	-0.429632182429
2017-04-06	-0.470877568795
2017-04-07	-0.471250480471
2017-04-08	-0.456243045957
2017-04-09	-0.465081171874
2017-04-10	-0.446840823342
2017-04-11	-0.359279043269
2017-04-12	-0.346559794664
2017-04-13	-0.215230986982
2017-04-14	-0.201310404167
2017-04-15	-0.218462169688
2017-04-16	-0.224392949228
2017-04-17	-0.0738485035527
2017-04-18	0.0701827693252
2017-04-19	-0.175653485436
2017-04-20	-0.21967146367
2017-04-21	-0.359361264966
2017-04-22	-0.356853274234
2017-04-23	-0.358476523297
2017-04-24	-0.51492496881
2017-04-25	-0.450262317823
2017-04-26	-0.316619251968
2017-04-27	-0.331875620833
2017-04-28	-0.249889743246
2017-04-29	-0.239066118833
2017-04-30	-0.187088978793
2017-05-01	-0.159008260404
2017-05-02	-0.239722093265
2017-05-03	-0.307141765598
2017-05-04	-0.301980593453
2017-05-05	-0.327370097899
2017-05-06	-0.340920812872
2017-05-07	-0.411326204764
2017-05-08	-0.572476651466
2017-05-09	
2017-05-10	
2017-05-11	
2017-05-12	
2017-05-13	
2017-05-14	
2017-05-15	
2017-05-16	-0.319388105916
2017-05-17	-0.308350932346
2017-05-18	-0.309554209037
2017-05-19	-0.312057490514
2017-05-20	-0.311749177614
2017-05-21	-0.303483687366
2017-05-22	-0.293611619076
2017-05-23	
2017-05-24	
2017-05-25	
2017-05-26	
2017-05-27	
2017-05-28	
2017-05-29	
2017-05-30	
2017-05-31	
2017-06-01	
2017-06-02	
2017-06-03	
2017-06-04	
2017-06-05	
2017-06-06	
2017-06-07	
2017-06-08	
2017-06-09	
2017-06-10	
2017-06-11	
2017-06-12	
2017-06-13	
2017-06-14	
2017-06-15	
2017-06-16	
2017-06-17	
2017-06-18	
2017-06-19	
2017-06-20	
2017-06-21	
2017-06-22	
2017-06-23	
2017-06-24	
2017-06-25	
2017-06-26	
2017-06-27	
2017-06-28	
2017-06-29	
2017-06-30	
2017-07-01	
2017-07-02	
2017-07-03	
2017-07-04	
2017-07-05	
2017-07-06	
2017-07-07	
2017-07-08	
2017-07-09	
2017-07-10	
2017-07-11	
2017-07-12	-0.416361173424
2017-07-13	-0.408860042887
2017-07-14	-0.403584297678
2017-07-15	-0.396209580475
2017-07-16	-0.393953903069
2017-07-17	-0.391222057415
2017-07-18	-0.385354960451
2017-07-19	
2017-07-20	
2017-07-21	
2017-07-22	
2017-07-23	
2017-07-24	
2017-07-25	
2017-07-26	
2017-07-27	
2017-07-28	
2017-07-29	
2017-07-30	
2017-07-31	
2017-08-01	
2017-08-02	
2017-08-03	
2017-08-04	
2017-08-05	
2017-08-06	
2017-08-07	
2017-08-08	
2017-08-09	
2017-08-10	
2017-08-11	
2017-08-12	
2017-08-13	
2017-08-14	
2017-08-15	
2017-08-16	
2017-08-17	
2017-08-18	
2017-08-19	
2017-08-20	
2017-08-21	-0.532978155773
2017-08-22	-0.525357593828
2017-08-23	-0.384333682729
2017-08-24	-0.442613273417
2017-08-25	-0.440041938309
2017-08-26	-0.414581558843
2017-08-27	-0.393488773842
2017-08-28	-0.354163111969
2017-08-29	-0.355022372229
2017-08-30	-0.433178949803
2017-08-31	-0.350410013074
2017-09-01	-0.494872524071
2017-09-02	-0.481852491235
2017-09-03	-0.47174011508
2017-09-04	-0.477672581466
2017-09-05	-0.282999920842
2017-09-06	-0.213822056003
2017-09-07	-0.136199746972
2017-09-08	0.0335519555664
2017-09-09	0.0275130998888
2017-09-10	0.0152994942832
2017-09-11	0.0156430483888
2017-09-12	-0.0235344939322
2017-09-13	0.0796475424844
2017-09-14	
2017-09-15	
2017-09-16	
2017-09-17	
2017-09-18	
2017-09-19	
2017-09-20	
2017-09-21	
2017-09-22	
2017-09-23	
2017-09-24	
2017-09-25	
2017-09-26	
2017-09-27	
2017-09-28	
2017-09-29	
2017-09-30	
2017-10-01	
2017-10-02	-0.33631653405
2017-10-03	-0.349683475307
2017-10-04	-0.34960053509
2017-10-05	-0.348167713816
2017-10-06	-0.345882388698
2017-10-07	-0.322842550252
2017-10-08	-0.323636560172
2017-10-09	
2017-10-10	
2017-10-11	
2017-10-12	
2017-10-13	
2017-10-14	
2017-10-15	
2017-10-16	
2017-10-17	
2017-10-18	
2017-10-19	
2017-10-20	
2017-10-21	
2017-10-22	
2017-10-23	
2017-10-24	
2017-10-25	
2017-10-26	
2017-10-27	
2017-10-28	
2017-10-29	
2017-10-30	
2017-10-31	
2017-11-01	
2017-11-02	
2017-11-03	
2017-11-04	
2017-11-05	
2017-11-06	
2017-11-07	
2017-11-08	
2017-11-09	
2017-11-10	
2017-11-11	
2017-11-12	
2017-11-13	
2017-11-14	
2017-11-15	
2017-11-16	
2017-11-17	
2017-11-18	
2017-11-19	
2017-11-20	
2017-11-21	
2017-11-22	
2017-11-23	
2017-11-24	
2017-11-25	
2017-11-26	
2017-11-27	
2017-11-28	
2017-11-29	0.0133873683373
2017-11-30	0.00297825064869
2017-12-01	-0.241376455407
2017-12-02	-0.264191545675
2017-12-03	-0.259163629216
2017-12-04	-0.249222447083
2017-12-05	-0.254030210184
2017-12-06	-0.494117852343
2017-12-07	-0.513589985344
2017-12-08	-0.336585616144
2017-12-09	-0.233974840731
2017-12-10	-0.232076266355
2017-12-11	-0.250008209773
2017-12-12	-0.242036458468
2017-12-13	-0.240407456891
2017-12-14	-0.110499554383
2017-12-15	-0.0850302490942
2017-12-16	
2017-12-17	
2017-12-18	
2017-12-19	
2017-12-20	
2017-12-21	-0.0245951554162
2017-12-22	-0.0254329723042
2017-12-23	-0.0243945111655
2017-12-24	-0.0242665906039
2017-12-25	-0.0191702041795
2017-12-26	-0.0128327614279
2017-12-27	-0.0144347293373
2017-12-28	-0.0084149958017
2017-12-29	
2017-12-30	
2017-12-31	
2018-01-01	
2018-01-02	
2018-01-03	
2018-01-04	
2018-01-05	
2018-01-06	
2018-01-07	
2018-01-08	
2018-01-09	
2018-01-10	
2018-01-11	-0.236111861269
2018-01-12	-0.221048028091
2018-01-13	-0.209104587433
2018-01-14	-0.180258731063
2018-01-15	-0.0628755813345
2018-01-16	-0.133316866475
2018-01-17	-0.233528389763
2018-01-18	-0.243081173275
2018-01-19	-0.256108915147
2018-01-20	-0.252670872823
2018-01-21	-0.178136434728
2018-01-22	-0.23411094522
2018-01-23	-0.236512322372
2018-01-24	-0.176154751244
2018-01-25	-0.148136198503
2018-01-26	-0.122090797436
2018-01-27	-0.135803205595
2018-01-28	-0.234426825702
2018-01-29	-0.191094202388
2018-01-30	-0.111261957778
2018-01-31	-0.114698192754
2018-02-01	-0.1054416051
2018-02-02	-0.0895002244995
2018-02-03	-0.106452789803
2018-02-04	-0.114688090836
2018-02-05	-0.101658065502
2018-02-06	-0.09379587387
2018-02-07	-0.0793046340977
2018-02-08	-0.0949943217306
2018-02-09	-0.204594150027
2018-02-10	-0.316445603008
2018-02-11	-0.304363815705
2018-02-12	-0.304020123353
2018-02-13	-0.314847031007
2018-02-14	-0.314110289636
2018-02-15	-0.311185464827
