Date	Health Care
2017-01-01	
2017-01-02	
2017-01-03	
2017-01-04	
2017-01-05	
2017-01-06	
2017-01-07	
2017-01-08	
2017-01-09	
2017-01-10	
2017-01-11	
2017-01-12	
2017-01-13	
2017-01-14	
2017-01-15	
2017-01-16	
2017-01-17	
2017-01-18	
2017-01-19	
2017-01-20	
2017-01-21	
2017-01-22	
2017-01-23	
2017-01-24	
2017-01-25	
2017-01-26	
2017-01-27	
2017-01-28	
2017-01-29	
2017-01-30	
2017-01-31	
2017-02-01	
2017-02-02	
2017-02-03	
2017-02-04	
2017-02-05	
2017-02-06	
2017-02-07	
2017-02-08	
2017-02-09	
2017-02-10	
2017-02-11	
2017-02-12	
2017-02-13	
2017-02-14	
2017-02-15	
2017-02-16	
2017-02-17	
2017-02-18	
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	0.332669656594
2017-02-23	0.330755177429
2017-02-24	0.0897248359499
2017-02-25	0.0841289907
2017-02-26	0.0812118633213
2017-02-27	0.0803775743856
2017-02-28	0.0854126131184
2017-03-01	0.0832481516767
2017-03-02	0.0802055180855
2017-03-03	0.0790776205111
2017-03-04	0.0726671698207
2017-03-05	0.070039650817
2017-03-06	0.0737368887132
2017-03-07	0.0752275115677
2017-03-08	0.0730350835682
2017-03-09	0.0701401626656
2017-03-10	0.0692507531827
2017-03-11	0.0693561746629
2017-03-12	0.0623802446675
2017-03-13	0.0668284385062
2017-03-14	0.0735400486449
2017-03-15	0.0698801723373
2017-03-16	0.0709398826394
2017-03-17	0.0722407651197
2017-03-18	0.0675930002038
2017-03-19	0.0710275928048
2017-03-20	0.0756702559732
2017-03-21	0.0769325491577
2017-03-22	0.0727433623039
2017-03-23	0.0716193018283
2017-03-24	-0.171590491452
2017-03-25	-0.168081426651
2017-03-26	
2017-03-27	
2017-03-28	
2017-03-29	
2017-03-30	
2017-03-31	
2017-04-01	
2017-04-02	
2017-04-03	
2017-04-04	
2017-04-05	
2017-04-06	
2017-04-07	
2017-04-08	
2017-04-09	
2017-04-10	
2017-04-11	
2017-04-12	
2017-04-13	
2017-04-14	
2017-04-15	
2017-04-16	
2017-04-17	
2017-04-18	
2017-04-19	
2017-04-20	
2017-04-21	
2017-04-22	
2017-04-23	
2017-04-24	-0.0521461161069
2017-04-25	-0.110698688683
2017-04-26	-0.0692303411283
2017-04-27	-0.09642595137
2017-04-28	-0.0967508833404
2017-04-29	-0.0962421161418
2017-04-30	-0.0731735402738
2017-05-01	-0.107087966153
2017-05-02	-0.110541571124
2017-05-03	-0.111281444372
2017-05-04	-0.11046854993
2017-05-05	-0.113951079845
2017-05-06	-0.107493636192
2017-05-07	-0.107353699763
2017-05-08	-0.113644331125
2017-05-09	-0.115664342229
2017-05-10	-0.115769067492
2017-05-11	-0.114651953232
2017-05-12	-0.116568419834
2017-05-13	-0.117236484969
2017-05-14	-0.118126812959
2017-05-15	-0.118412370614
2017-05-16	-0.11883440258
2017-05-17	-0.121275886092
2017-05-18	-0.121742415196
2017-05-19	-0.140083911024
2017-05-20	-0.138608678529
2017-05-21	-0.136152045236
2017-05-22	-0.137604603319
2017-05-23	-0.134290034629
2017-05-24	-0.145503790632
2017-05-25	-0.139384854976
2017-05-26	-0.165886309525
2017-05-27	-0.158707970916
2017-05-28	-0.157002605598
2017-05-29	-0.152835909396
2017-05-30	-0.276189221221
2017-05-31	-0.280597425723
2017-06-01	-0.278543171161
2017-06-02	-0.276244984992
2017-06-03	-0.274238076303
2017-06-04	-0.349509275488
2017-06-05	-0.352480788199
2017-06-06	-0.350403280963
2017-06-07	-0.346080163603
2017-06-08	-0.343515489807
2017-06-09	-0.337211052413
2017-06-10	-0.336616402885
2017-06-11	-0.335311590796
2017-06-12	-0.331752836736
2017-06-13	-0.32899906312
2017-06-14	-0.326046735308
2017-06-15	-0.324320155234
2017-06-16	-0.320051179932
2017-06-17	-0.318869968178
2017-06-18	-0.43189010236
2017-06-19	-0.433714558427
2017-06-20	-0.435067746697
2017-06-21	-0.434351734728
2017-06-22	-0.433684425701
2017-06-23	-0.432008373057
2017-06-24	-0.432068936155
2017-06-25	-0.434497245862
2017-06-26	-0.436455236808
2017-06-27	-0.433924362148
2017-06-28	-0.437416561614
2017-06-29	
2017-06-30	
2017-07-01	
2017-07-02	
2017-07-03	
2017-07-04	
2017-07-05	
2017-07-06	
2017-07-07	-0.0626851615213
2017-07-08	-0.0624267270528
2017-07-09	-0.0694335917589
2017-07-10	-0.069505867183
2017-07-11	-0.0713715318077
2017-07-12	-0.0765364168803
2017-07-13	-0.0782317925094
2017-07-14	-0.0795276802645
2017-07-15	-0.0822756246599
2017-07-16	-0.0894877043278
2017-07-17	-0.089930679062
2017-07-18	-0.089367251475
2017-07-19	-0.0911021349313
2017-07-20	-0.0924263409199
2017-07-21	-0.092589466244
2017-07-22	-0.0962000935265
2017-07-23	-0.0984787615205
2017-07-24	-0.0977864859972
2017-07-25	-0.0933732571516
2017-07-26	-0.0931487059158
2017-07-27	-0.0941916907914
2017-07-28	-0.336366406146
2017-07-29	-0.339989266066
2017-07-30	-0.346927179561
2017-07-31	-0.349497273318
2017-08-01	-0.345020774775
2017-08-02	-0.345048641715
2017-08-03	-0.341264039849
2017-08-04	-0.340589366424
2017-08-05	-0.344078431881
2017-08-06	-0.591207228855
2017-08-07	-0.591616849583
2017-08-08	-0.589287275656
2017-08-09	-0.588516907587
2017-08-10	-0.586545644091
2017-08-11	-0.584423848709
2017-08-12	-0.587324433454
2017-08-13	-0.593370847855
2017-08-14	-0.592305131175
2017-08-15	-0.589351285179
2017-08-16	-0.590046761617
2017-08-17	-0.590451707005
2017-08-18	-0.587878301412
2017-08-19	-0.590117102564
2017-08-20	-0.593275526017
2017-08-21	-0.588579230546
2017-08-22	-0.586720246052
2017-08-23	-0.343619585685
2017-08-24	-0.374528669244
2017-08-25	-0.374212804259
2017-08-26	-0.37269068494
2017-08-27	-0.267734941701
2017-08-28	-0.263987053759
2017-08-29	-0.257375129138
2017-08-30	-0.255490586385
2017-08-31	-0.254633394709
2017-09-01	-0.254447868825
2017-09-02	-0.249913216178
2017-09-03	-0.248033660613
2017-09-04	-0.241603727925
2017-09-05	-0.136778162644
2017-09-06	-0.0849717987361
2017-09-07	-0.111182279119
2017-09-08	-0.110138806194
2017-09-09	-0.108039431925
2017-09-10	-0.107407759012
2017-09-11	-0.10333983275
2017-09-12	-0.0963282722352
2017-09-13	-0.095454914885
2017-09-14	-0.0937646836653
2017-09-15	-0.0928519558916
2017-09-16	-0.091720118733
2017-09-17	-0.0928843120925
2017-09-18	-0.0905715079192
2017-09-19	-0.0903302042665
2017-09-20	-0.092198700232
2017-09-21	-0.0931762223772
2017-09-22	-0.105569147343
2017-09-23	-0.0140368586806
2017-09-24	-0.0166314628699
2017-09-25	-0.0190303658525
2017-09-26	-0.0206134548085
2017-09-27	-0.0215340290373
2017-09-28	-0.0257973332336
2017-09-29	-0.0261863931694
2017-09-30	-0.0281891224373
2017-10-01	-0.0325345575816
2017-10-02	-0.0400449340272
2017-10-03	-0.0451852382512
2017-10-04	-0.0503118909537
2017-10-05	-0.101201570268
2017-10-06	-0.247354876146
2017-10-07	
2017-10-08	
2017-10-09	
2017-10-10	
2017-10-11	
2017-10-12	
2017-10-13	
2017-10-14	
2017-10-15	
2017-10-16	
2017-10-17	
2017-10-18	
2017-10-19	
2017-10-20	
2017-10-21	
2017-10-22	
2017-10-23	
2017-10-24	
2017-10-25	
2017-10-26	
2017-10-27	
2017-10-28	
2017-10-29	
2017-10-30	0.281999397473
2017-10-31	0.285063775989
2017-11-01	0.287714100222
2017-11-02	0.289857161944
2017-11-03	0.292005123521
2017-11-04	0.292660731072
2017-11-05	0.294230179659
2017-11-06	0.291494286652
2017-11-07	0.291103566475
2017-11-08	0.288321157442
2017-11-09	0.284201146765
2017-11-10	0.283555869673
2017-11-11	0.286127394353
2017-11-12	0.285861403478
2017-11-13	0.281431646664
2017-11-14	0.281789422716
2017-11-15	0.281396486479
2017-11-16	0.28151457091
2017-11-17	0.278084421247
2017-11-18	0.281517992423
2017-11-19	0.281173152606
2017-11-20	0.277483218164
2017-11-21	0.278174433113
2017-11-22	0.274961780571
2017-11-23	0.276150110558
2017-11-24	0.276731019441
2017-11-25	0.27823904052
2017-11-26	0.275275475084
2017-11-27	0.272336754763
2017-11-28	0.268290438601
2017-11-29	-0.0146940973386
2017-11-30	-0.0158352218695
2017-12-01	-0.0156604330834
2017-12-02	-0.0177356852083
2017-12-03	-0.0181951288458
2017-12-04	-0.184977189415
2017-12-05	-0.18955314107
