Date	Communication Services
2017-01-01	0.0154865213294
2017-01-02	-0.00535874335191
2017-01-03	-0.0200542898251
2017-01-04	-0.0145828514674
2017-01-05	-0.0295990110011
2017-01-06	-0.0172632231111
2017-01-07	-0.0221984914787
2017-01-08	-0.0204655017709
2017-01-09	-0.0562019924219
2017-01-10	-0.0319145289497
2017-01-11	-0.0371278751475
2017-01-12	-0.0452392196035
2017-01-13	-0.0742725608217
2017-01-14	-0.0502484826486
2017-01-15	-0.0431809635094
2017-01-16	-0.0501021659418
2017-01-17	-0.050153222229
2017-01-18	-0.091362203404
2017-01-19	-0.0869299862955
2017-01-20	-0.104658051476
2017-01-21	-0.0974197878537
2017-01-22	-0.131416215177
2017-01-23	-0.171183226972
2017-01-24	-0.15313821284
2017-01-25	-0.141327110835
2017-01-26	-0.169013133188
2017-01-27	-0.169775050485
2017-01-28	-0.183524266886
2017-01-29	-0.189724756737
2017-01-30	-0.189015985014
2017-01-31	-0.190993870395
2017-02-01	-0.16958953955
2017-02-02	-0.121416221415
2017-02-03	-0.119212058351
2017-02-04	-0.122690309355
2017-02-05	-0.154174412459
2017-02-06	-0.14984353677
2017-02-07	-0.182219603217
2017-02-08	-0.130317885571
2017-02-09	-0.156607839561
2017-02-10	-0.152865695885
2017-02-11	-0.155100126644
2017-02-12	-0.159798003354
2017-02-13	-0.159216290973
2017-02-14	-0.173736198039
2017-02-15	-0.180672907637
2017-02-16	-0.157162109482
2017-02-17	-0.122850477608
2017-02-18	-0.144761219837
2017-02-19	-0.123423950629
2017-02-20	-0.146138457382
2017-02-21	-0.146027286004
2017-02-22	-0.160047622544
2017-02-23	-0.183549045076
2017-02-24	-0.198572767346
2017-02-25	-0.19690460848
2017-02-26	-0.198482060413
2017-02-27	-0.201981610483
2017-02-28	-0.180435753188
2017-03-01	-0.181316503445
2017-03-02	-0.216344723178
2017-03-03	-0.217516707834
2017-03-04	-0.263048623334
2017-03-05	-0.264218024104
2017-03-06	-0.259333799736
2017-03-07	-0.187148667104
2017-03-08	-0.180630981518
2017-03-09	-0.140962836253
2017-03-10	-0.154559478639
2017-03-11	-0.155954759527
2017-03-12	-0.162734565566
2017-03-13	-0.161483090006
2017-03-14	-0.186963920207
2017-03-15	-0.204856538236
2017-03-16	-0.191774970689
2017-03-17	-0.182500958689
2017-03-18	-0.225691559492
2017-03-19	-0.230978859364
2017-03-20	-0.198435363503
2017-03-21	-0.196348317543
2017-03-22	-0.199535054003
2017-03-23	-0.201074545805
