Date	Materials
2017-01-01	-0.191407665979
2017-01-02	
2017-01-03	
2017-01-04	
2017-01-05	-0.279789896979
2017-01-06	-0.287655430234
2017-01-07	-0.295942518504
2017-01-08	-0.294498352578
2017-01-09	-0.283562095798
2017-01-10	-0.274579878679
2017-01-11	-0.273607222073
2017-01-12	
2017-01-13	
2017-01-14	
2017-01-15	
2017-01-16	
2017-01-17	
2017-01-18	
2017-01-19	
2017-01-20	
2017-01-21	
2017-01-22	
2017-01-23	-0.635098333992
2017-01-24	-0.643091099737
2017-01-25	-0.643710058224
2017-01-26	-0.556179312981
2017-01-27	-0.55139480304
2017-01-28	-0.551914640421
2017-01-29	-0.441495020357
2017-01-30	-0.340113866235
2017-01-31	-0.329960018929
2017-02-01	-0.328368061337
2017-02-02	-0.324142011364
2017-02-03	-0.324930324979
2017-02-04	-0.345587882875
2017-02-05	-0.40837722325
2017-02-06	-0.444812956023
2017-02-07	-0.445538001243
2017-02-08	-0.439992146538
2017-02-09	-0.456499469419
2017-02-10	-0.530169649503
2017-02-11	-0.536161578878
2017-02-12	-0.55000978364
2017-02-13	-0.518993607984
2017-02-14	-0.522656434512
2017-02-15	-0.543342173705
2017-02-16	-0.527201991408
2017-02-17	
2017-02-18	
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	
2017-02-28	
2017-03-01	-0.199525278283
2017-03-02	-0.197329035079
2017-03-03	-0.199226155407
2017-03-04	-0.204786119608
2017-03-05	-0.209548217414
2017-03-06	-0.213401285991
2017-03-07	-0.219467247663
2017-03-08	
2017-03-09	
2017-03-10	
2017-03-11	
2017-03-12	
2017-03-13	
2017-03-14	
2017-03-15	
2017-03-16	
2017-03-17	0.478891607037
2017-03-18	0.473965544539
2017-03-19	0.50773529082
2017-03-20	0.514609584423
2017-03-21	0.512953159486
2017-03-22	-0.0347243876474
2017-03-23	-0.028453240702
2017-03-24	-0.58436613986
2017-03-25	-0.58633881469
2017-03-26	-0.584990589821
2017-03-27	-0.587550998733
2017-03-28	-0.599279929403
2017-03-29	-0.377879232799
2017-03-30	-0.391294576052
2017-03-31	-0.393828861844
2017-04-01	-0.381278367339
2017-04-02	-0.38016254193
2017-04-03	-0.384622872601
2017-04-04	-0.38397144482
2017-04-05	
2017-04-06	
2017-04-07	-0.170880725838
2017-04-08	-0.155886903201
2017-04-09	-0.180017156287
2017-04-10	-0.172505674702
2017-04-11	-0.170223528808
2017-04-12	-0.174012752685
2017-04-13	-0.156739291114
2017-04-14	
2017-04-15	
2017-04-16	
2017-04-17	
2017-04-18	
2017-04-19	-0.772912984237
2017-04-20	-0.774189838176
2017-04-21	-0.605381674263
2017-04-22	-0.574971726227
2017-04-23	-0.565481225275
2017-04-24	-0.567790548826
2017-04-25	-0.567814485033
2017-04-26	-0.4159846334
2017-04-27	-0.429445700194
2017-04-28	
2017-04-29	
2017-04-30	
2017-05-01	
2017-05-02	
2017-05-03	
2017-05-04	
2017-05-05	
2017-05-06	
2017-05-07	
2017-05-08	
2017-05-09	
2017-05-10	
2017-05-11	
2017-05-12	
2017-05-13	
2017-05-14	-0.614560786484
2017-05-15	-0.610636139421
2017-05-16	-0.617236400138
2017-05-17	-0.619493054209
2017-05-18	-0.623074663926
2017-05-19	-0.620876599479
2017-05-20	-0.248805829651
2017-05-21	0.130488065768
2017-05-22	0.133961750133
2017-05-23	0.142435918393
2017-05-24	0.153244497572
2017-05-25	0.158851998134
2017-05-26	0.16642196696
2017-05-27	
2017-05-28	
2017-05-29	
2017-05-30	
2017-05-31	
2017-06-01	
2017-06-02	
2017-06-03	
2017-06-04	
2017-06-05	
2017-06-06	
2017-06-07	
2017-06-08	
2017-06-09	
2017-06-10	
2017-06-11	
2017-06-12	
2017-06-13	
2017-06-14	
2017-06-15	
2017-06-16	
2017-06-17	
2017-06-18	
2017-06-19	
