Date	Information Technology
2017-01-01	-0.0449584798163
2017-01-02	-0.062727338485
2017-01-03	-0.062860151461
2017-01-04	-0.0874704416852
2017-01-05	-0.130186921647
2017-01-06	-0.17807864523
2017-01-07	-0.183319735669
2017-01-08	-0.18983292766
2017-01-09	-0.189112056502
2017-01-10	-0.183548125057
2017-01-11	-0.175757137275
2017-01-12	-0.165695802668
2017-01-13	-0.156490179853
2017-01-14	-0.149589829227
2017-01-15	-0.152343417116
2017-01-16	-0.165707754294
2017-01-17	-0.160385494698
2017-01-18	-0.132826682563
2017-01-19	-0.141119027407
2017-01-20	-0.157864914849
2017-01-21	-0.14840658331
2017-01-22	-0.137497811326
2017-01-23	-0.13574746872
2017-01-24	-0.102479029726
2017-01-25	-0.0986742105147
2017-01-26	-0.135577725224
2017-01-27	-0.156857958773
2017-01-28	-0.148667843716
2017-01-29	-0.179835044684
2017-01-30	-0.183656395079
2017-01-31	-0.186674558748
2017-02-01	-0.176247393147
2017-02-02	-0.181491934239
2017-02-03	-0.158737213571
2017-02-04	-0.137234432397
2017-02-05	-0.145746529025
2017-02-06	-0.139532122656
2017-02-07	-0.158938331643
2017-02-08	-0.144647544685
2017-02-09	-0.150197229456
2017-02-10	-0.190027078786
2017-02-11	-0.203923645805
2017-02-12	-0.207678202236
2017-02-13	-0.205609781354
2017-02-14	-0.179641067018
2017-02-15	-0.176428506709
2017-02-16	-0.192135303209
2017-02-17	-0.209543849825
2017-02-18	-0.209454488165
2017-02-19	-0.213405025021
2017-02-20	-0.203414922396
2017-02-21	-0.181969811201
2017-02-22	-0.183837153094
2017-02-23	-0.224338008501
2017-02-24	-0.228835148383
2017-02-25	-0.225598137547
2017-02-26	-0.227752848179
2017-02-27	-0.227906103759
2017-02-28	-0.2126722159
2017-03-01	-0.158734750888
2017-03-02	-0.170393681348
2017-03-03	-0.14959204643
2017-03-04	-0.139205218158
2017-03-05	-0.129182336744
2017-03-06	-0.123370329967
2017-03-07	-0.100513120222
2017-03-08	-0.103863320569
2017-03-09	-0.0776816640457
2017-03-10	-0.102038984278
2017-03-11	-0.0771955426758
2017-03-12	-0.116267599002
2017-03-13	-0.113488425063
2017-03-14	-0.126999302239
2017-03-15	-0.117953206787
2017-03-16	-0.160048910869
2017-03-17	-0.171827820162
2017-03-18	-0.161968432764
2017-03-19	-0.177285738378
