Date	Energy
2017-01-01	-0.457209708631
2017-01-02	-0.491981255977
2017-01-03	-0.32789308419
2017-01-04	-0.13108172504
2017-01-05	-0.14075019825
2017-01-06	-0.144996452911
2017-01-07	-0.148356721368
2017-01-08	-0.150731320287
2017-01-09	0.0586079309095
2017-01-10	0.24907347435
2017-01-11	-0.196055980696
2017-01-12	-0.182029523409
2017-01-13	-0.175908369268
2017-01-14	-0.174120576332
2017-01-15	-0.190609990596
2017-01-16	-0.206821679481
2017-01-17	-0.203156813516
2017-01-18	
2017-01-19	
2017-01-20	
2017-01-21	
2017-01-22	
2017-01-23	
2017-01-24	
2017-01-25	
2017-01-26	
2017-01-27	
2017-01-28	
2017-01-29	
2017-01-30	
2017-01-31	
2017-02-01	-0.291568864744
2017-02-02	-0.252324157934
2017-02-03	-0.206934330091
2017-02-04	-0.223847134816
2017-02-05	-0.218509236459
2017-02-06	-0.16200143316
2017-02-07	-0.16378412505
2017-02-08	-0.124710005492
2017-02-09	-0.0869180690462
2017-02-10	-0.207032874458
2017-02-11	-0.215506831532
2017-02-12	-0.288765030158
2017-02-13	-0.415455007715
2017-02-14	-0.433183273031
2017-02-15	-0.449187558368
2017-02-16	-0.437183338873
2017-02-17	-0.414791424628
2017-02-18	-0.408451893177
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	
2017-02-28	-0.378291500838
2017-03-01	-0.379879461584
2017-03-02	-0.381925609713
2017-03-03	-0.390409375496
2017-03-04	-0.378962816857
2017-03-05	-0.365415689839
2017-03-06	-0.395585555276
2017-03-07	-0.429316340665
2017-03-08	-0.427556622228
2017-03-09	-0.423146807364
2017-03-10	-0.226355540352
2017-03-11	-0.229164992518
2017-03-12	-0.261482396118
2017-03-13	-0.0730571088281
2017-03-14	-0.0623339500695
2017-03-15	-0.0655676551895
2017-03-16	-0.069781754263
2017-03-17	
2017-03-18	
2017-03-19	
2017-03-20	
2017-03-21	
2017-03-22	
2017-03-23	
2017-03-24	
2017-03-25	
2017-03-26	
2017-03-27	
2017-03-28	
2017-03-29	
2017-03-30	
2017-03-31	
2017-04-01	
2017-04-02	
2017-04-03	-0.073695991947
2017-04-04	-0.0691640165809
2017-04-05	-0.0688139557369
2017-04-06	-0.0742216729158
2017-04-07	-0.0749330137947
2017-04-08	-0.0926729382406
2017-04-09	-0.0891692219116
2017-04-10	
2017-04-11	
2017-04-12	
2017-04-13	
2017-04-14	
2017-04-15	
2017-04-16	
2017-04-17	
2017-04-18	
2017-04-19	
2017-04-20	
2017-04-21	
2017-04-22	
2017-04-23	
2017-04-24	
2017-04-25	
2017-04-26	
2017-04-27	
2017-04-28	-0.74802750779
2017-04-29	-0.758828763126
2017-04-30	-0.763842255863
2017-05-01	-0.471568435813
2017-05-02	-0.403215001167
2017-05-03	-0.350898488973
2017-05-04	-0.345146313176
2017-05-05	-0.202788515353
2017-05-06	-0.193937775461
2017-05-07	-0.189351171845
2017-05-08	-0.222116231507
2017-05-09	-0.195234222099
2017-05-10	
2017-05-11	
2017-05-12	
2017-05-13	
2017-05-14	
2017-05-15	-0.321423712743
2017-05-16	-0.302076451543
2017-05-17	-0.310527671187
2017-05-18	-0.31214238818
2017-05-19	-0.305696530525
2017-05-20	-0.31021210544
2017-05-21	-0.299594471373
2017-05-22	-0.284675757069
2017-05-23	-0.286818430526
2017-05-24	-0.282161455407
2017-05-25	-0.272917140139
2017-05-26	-0.26151693652
2017-05-27	-0.254612267098
2017-05-28	
2017-05-29	
2017-05-30	
2017-05-31	
2017-06-01	
2017-06-02	0.356142184638
2017-06-03	0.357729862972
2017-06-04	0.364057887441
2017-06-05	0.124094994735
2017-06-06	0.126755887468
2017-06-07	0.135281760634
2017-06-08	0.134626012411
2017-06-09	-0.0968083885923
2017-06-10	-0.10233955263
2017-06-11	-0.102202612691
2017-06-12	
2017-06-13	
2017-06-14	
2017-06-15	
2017-06-16	
2017-06-17	
2017-06-18	
2017-06-19	
2017-06-20	
2017-06-21	
2017-06-22	
2017-06-23	
2017-06-24	
2017-06-25	
2017-06-26	
2017-06-27	
2017-06-28	
2017-06-29	
2017-06-30	
2017-07-01	
2017-07-02	
2017-07-03	-0.0520342021479
2017-07-04	-0.0636314004164
2017-07-05	-0.235091457818
2017-07-06	-0.22949803755
2017-07-07	-0.230871333556
2017-07-08	-0.24158910624
2017-07-09	-0.25385155395
2017-07-10	-0.447329991776
2017-07-11	-0.436342105857
2017-07-12	
2017-07-13	
2017-07-14	
2017-07-15	
2017-07-16	
2017-07-17	-0.256239545272
2017-07-18	-0.264249434508
2017-07-19	0.00751260950306
2017-07-20	0.00555127410575
2017-07-21	0.108222505441
2017-07-22	0.0863473711554
2017-07-23	0.106627988384
2017-07-24	0.293091379872
2017-07-25	0.294878660062
