Date	Information Technology
2017-01-01	-0.162424164145
2017-01-02	-0.168073254793
2017-01-03	-0.171804094132
2017-01-04	-0.176489022061
2017-01-05	-0.18648111409
2017-01-06	-0.188040959858
2017-01-07	-0.198502515036
2017-01-08	-0.194792151917
2017-01-09	-0.200369444465
2017-01-10	-0.201926170729
2017-01-11	-0.207159130562
2017-01-12	-0.213890785814
2017-01-13	-0.21298752791
2017-01-14	-0.21169260875
2017-01-15	-0.212764251064
2017-01-16	-0.217257145479
2017-01-17	-0.237165225763
2017-01-18	-0.244360596129
2017-01-19	-0.250203503366
2017-01-20	-0.243990888182
2017-01-21	-0.232033168526
2017-01-22	-0.249689535454
2017-01-23	-0.275587553562
2017-01-24	-0.270470334476
2017-01-25	-0.269560768343
2017-01-26	-0.270550918202
2017-01-27	-0.26820470972
2017-01-28	-0.278071715271
2017-01-29	-0.283920638725
2017-01-30	-0.310601675538
2017-01-31	-0.314706985118
2017-02-01	-0.314556715651
2017-02-02	-0.312953583638
2017-02-03	-0.318171701344
2017-02-04	-0.313563542323
2017-02-05	-0.322505624441
2017-02-06	-0.32108924474
2017-02-07	-0.329079576108
2017-02-08	-0.331361215075
2017-02-09	-0.32825926253
2017-02-10	-0.327982801375
2017-02-11	-0.33778686678
2017-02-12	-0.347693223278
2017-02-13	-0.347371586159
2017-02-14	-0.352802645635
2017-02-15	-0.354014869146
2017-02-16	-0.354486182298
2017-02-17	-0.352176977813
2017-02-18	-0.352940051513
2017-02-19	-0.344973913147
2017-02-20	-0.341501090648
2017-02-21	-0.328728505846
2017-02-22	-0.334159078271
2017-02-23	-0.335351674196
2017-02-24	-0.339704473999
2017-02-25	-0.328706662639
2017-02-26	-0.319774744559
2017-02-27	-0.30711589267
2017-02-28	-0.29251659587
2017-03-01	-0.285269613656
2017-03-02	-0.285335461363
2017-03-03	-0.276712083795
2017-03-04	-0.273497110112
2017-03-05	-0.260952992911
2017-03-06	-0.250599423772
2017-03-07	-0.237932124628
2017-03-08	-0.231224172443
2017-03-09	-0.222917456551
2017-03-10	-0.212964328925
2017-03-11	-0.210453452373
2017-03-12	-0.210885394174
2017-03-13	-0.190164402105
2017-03-14	-0.17646144985
2017-03-15	-0.160978798099
2017-03-16	-0.158660841497
2017-03-17	-0.152350924954
2017-03-18	-0.150674214205
2017-03-19	-0.143885926832
2017-03-20	-0.146835212133
2017-03-21	-0.153063514587
2017-03-22	-0.160668379724
2017-03-23	-0.163538363537
2017-03-24	-0.151608554796
