Date	Energy
2017-01-01	
2017-01-02	
2017-01-03	
2017-01-04	
2017-01-05	
2017-01-06	
2017-01-07	
2017-01-08	
2017-01-09	
2017-01-10	
2017-01-11	-0.196055980696
2017-01-12	-0.182029523409
2017-01-13	-0.175908369268
2017-01-14	-0.174120576332
2017-01-15	-0.190609990596
2017-01-16	-0.206821679481
2017-01-17	-0.203156813516
2017-01-18	-0.439368391109
2017-01-19	-0.445326594757
2017-01-20	-0.444105172226
2017-01-21	-0.433616862485
2017-01-22	-0.428577099448
2017-01-23	-0.411337753743
2017-01-24	-0.421646411301
2017-01-25	
2017-01-26	
2017-01-27	
2017-01-28	
2017-01-29	
2017-01-30	
2017-01-31	
2017-02-01	
2017-02-02	
2017-02-03	
2017-02-04	
2017-02-05	
2017-02-06	
2017-02-07	
2017-02-08	
2017-02-09	
2017-02-10	
2017-02-11	
2017-02-12	
2017-02-13	
2017-02-14	
2017-02-15	
2017-02-16	
2017-02-17	
2017-02-18	
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	-0.636218526864
2017-02-28	-0.633679428346
2017-03-01	-0.635267389092
2017-03-02	-0.637313537221
2017-03-03	-0.64787278708
2017-03-04	-0.64747362301
2017-03-05	-0.633926495992
2017-03-06	
2017-03-07	
2017-03-08	
2017-03-09	
2017-03-10	
2017-03-11	
2017-03-12	
2017-03-13	
2017-03-14	
2017-03-15	
2017-03-16	
2017-03-17	
2017-03-18	
2017-03-19	
2017-03-20	
2017-03-21	0.361315503788
2017-03-22	0.367956700177
2017-03-23	0.365936613352
2017-03-24	0.361646479692
2017-03-25	0.360305180761
2017-03-26	0.361844461741
2017-03-27	0.352141838787
2017-03-28	
2017-03-29	
2017-03-30	
2017-03-31	
2017-04-01	
2017-04-02	
2017-04-03	
2017-04-04	
2017-04-05	
2017-04-06	
2017-04-07	
2017-04-08	
2017-04-09	
2017-04-10	-0.00776058355399
2017-04-11	-0.00876428257753
2017-04-12	0.0130325858336
2017-04-13	0.0283167215283
2017-04-14	0.0193030957052
2017-04-15	0.0315210729636
2017-04-16	0.00652946179527
2017-04-17	
2017-04-18	
2017-04-19	
2017-04-20	
2017-04-21	
2017-04-22	
2017-04-23	
2017-04-24	
2017-04-25	
2017-04-26	
2017-04-27	
2017-04-28	
2017-04-29	
2017-04-30	
2017-05-01	-0.17879319425
2017-05-02	-0.177213843974
2017-05-03	-0.176098972379
2017-05-04	-0.170346796581
2017-05-05	-0.165597490322
2017-05-06	-0.15674675043
2017-05-07	-0.152160146814
2017-05-08	
2017-05-09	
2017-05-10	
2017-05-11	
2017-05-12	
2017-05-13	
2017-05-14	
2017-05-15	
2017-05-16	
2017-05-17	
2017-05-18	
2017-05-19	
2017-05-20	
2017-05-21	
2017-05-22	
2017-05-23	
2017-05-24	
2017-05-25	
2017-05-26	
2017-05-27	
2017-05-28	
2017-05-29	
2017-05-30	
2017-05-31	-0.124811507852
2017-06-01	-0.1213963473
2017-06-02	-0.125877677421
2017-06-03	-0.124289999088
2017-06-04	-0.117961974619
2017-06-05	-0.123840865297
2017-06-06	-0.121179972565
2017-06-07	
2017-06-08	
2017-06-09	
2017-06-10	
2017-06-11	
2017-06-12	
2017-06-13	
2017-06-14	
2017-06-15	
2017-06-16	
2017-06-17	
2017-06-18	
2017-06-19	
2017-06-20	
2017-06-21	
2017-06-22	
2017-06-23	
2017-06-24	
2017-06-25	
2017-06-26	
2017-06-27	
2017-06-28	
2017-06-29	
2017-06-30	
2017-07-01	
2017-07-02	
2017-07-03	
2017-07-04	0.413105440956
2017-07-05	0.42757037848
2017-07-06	0.433163798747
2017-07-07	0.431790502741
2017-07-08	0.421072730057
2017-07-09	0.408810282347
2017-07-10	0.238060405359
2017-07-11	0.0862597228747
2017-07-12	-0.266116367559
2017-07-13	-0.26393426588
2017-07-14	-0.270079926065
2017-07-15	-0.260766217931
2017-07-16	-0.267718176147
2017-07-17	-0.598421779336
2017-07-18	-0.606431668573
2017-07-19	
2017-07-20	
2017-07-21	
2017-07-22	
2017-07-23	
2017-07-24	-0.218922933158
2017-07-25	-0.217135652968
2017-07-26	-0.216331367882
2017-07-27	-0.219558199838
2017-07-28	-0.216101316115
2017-07-29	-0.188703467929
2017-07-30	-0.207747893019
2017-07-31	
2017-08-01	
2017-08-02	
2017-08-03	
2017-08-04	
2017-08-05	
2017-08-06	
2017-08-07	
2017-08-08	
2017-08-09	
2017-08-10	
2017-08-11	
2017-08-12	
2017-08-13	
2017-08-14	0.0183681002373
2017-08-15	-0.203615218144
2017-08-16	-0.202150435893
2017-08-17	-0.198962249062
2017-08-18	-0.202758448568
2017-08-19	-0.185488844302
2017-08-20	-0.186690267089
2017-08-21	-0.258300536544
2017-08-22	-0.126409033357
2017-08-23	-0.115958482553
2017-08-24	-0.113455977253
2017-08-25	-0.106959042016
2017-08-26	-0.0826552118421
2017-08-27	-0.0560927290804
2017-08-28	
2017-08-29	
2017-08-30	
2017-08-31	
2017-09-01	
2017-09-02	
2017-09-03	
2017-09-04	
2017-09-05	
2017-09-06	0.42969340879
2017-09-07	0.423279973591
2017-09-08	0.428628779127
2017-09-09	0.423856839495
2017-09-10	0.403352211514
2017-09-11	0.408533219231
2017-09-12	0.407455750035
2017-09-13	
2017-09-14	
2017-09-15	
2017-09-16	
2017-09-17	
2017-09-18	
2017-09-19	
2017-09-20	
2017-09-21	
2017-09-22	
2017-09-23	
2017-09-24	
2017-09-25	
2017-09-26	
2017-09-27	
2017-09-28	
2017-09-29	
2017-09-30	
2017-10-01	
2017-10-02	
2017-10-03	
2017-10-04	
2017-10-05	
2017-10-06	
2017-10-07	
2017-10-08	
2017-10-09	0.166022754566
2017-10-10	0.183609178881
2017-10-11	0.195041381863
2017-10-12	0.188191569281
2017-10-13	0.183340027275
2017-10-14	0.167619021565
2017-10-15	0.179266433837
2017-10-16	
2017-10-17	
2017-10-18	
2017-10-19	
2017-10-20	
2017-10-21	
2017-10-22	
2017-10-23	
2017-10-24	
2017-10-25	0.410170573686
2017-10-26	0.413235323599
2017-10-27	0.406712710701
2017-10-28	0.401681648064
2017-10-29	0.393112867182
2017-10-30	0.36849732839
2017-10-31	0.373687138341
2017-11-01	
2017-11-02	
2017-11-03	
2017-11-04	
2017-11-05	
2017-11-06	
2017-11-07	
2017-11-08	
2017-11-09	
2017-11-10	
2017-11-11	
2017-11-12	
2017-11-13	
2017-11-14	
2017-11-15	
2017-11-16	
2017-11-17	
2017-11-18	
2017-11-19	
2017-11-20	
2017-11-21	
2017-11-22	
2017-11-23	
2017-11-24	
2017-11-25	
2017-11-26	
2017-11-27	
2017-11-28	
2017-11-29	
2017-11-30	
2017-12-01	
2017-12-02	
2017-12-03	
2017-12-04	
2017-12-05	
2017-12-06	
2017-12-07	
2017-12-08	0.337575974732
2017-12-09	0.35233411649
2017-12-10	0.344543492178
2017-12-11	0.0979208123978
2017-12-12	0.148173014856
2017-12-13	0.143739160239
2017-12-14	0.079046699098
2017-12-15	-0.000624277089345
2017-12-16	0.0091277104623
2017-12-17	0.00481314282804
2017-12-18	0.0761858811143
2017-12-19	0.159572431785
2017-12-20	0.0922530895073
2017-12-21	0.195979459507
2017-12-22	0.183309980149
2017-12-23	0.163752110722
2017-12-24	0.172283723296
2017-12-25	0.167277659725
2017-12-26	-0.0564089201014
2017-12-27	
2017-12-28	
2017-12-29	
2017-12-30	
2017-12-31	
2018-01-01	
2018-01-02	
2018-01-03	
2018-01-04	
2018-01-05	
2018-01-06	
2018-01-07	
2018-01-08	
2018-01-09	
2018-01-10	0.267584884308
2018-01-11	0.266246752165
2018-01-12	0.261994238627
2018-01-13	-0.0531415597897
2018-01-14	-0.0504051821189
2018-01-15	-0.0586367925762
2018-01-16	-0.0529428209952
2018-01-17	-0.125099977649
2018-01-18	-0.18978622558
2018-01-19	-0.178065511575
2018-01-20	-0.0684650157465
2018-01-21	-0.0559591584562
2018-01-22	-0.0927790258382
2018-01-23	-0.0924596392644
2018-01-24	-0.235195629447
2018-01-25	-0.191564175429
2018-01-26	-0.189032687653
2018-01-27	-0.203181084509
2018-01-28	-0.209756847856
2018-01-29	
2018-01-30	
2018-01-31	
2018-02-01	
2018-02-02	
2018-02-03	
2018-02-04	
2018-02-05	
2018-02-06	
2018-02-07	
2018-02-08	-0.293445873581
2018-02-09	-0.303135042455
2018-02-10	-0.308862887207
2018-02-11	-0.313352225663
2018-02-12	-0.318226478927
2018-02-13	-0.330696718733
2018-02-14	-0.327836687376
2018-02-15	
2018-02-16	
2018-02-17	
