Date	Financials
2017-01-01	
2017-01-02	
2017-01-03	
2017-01-04	
2017-01-05	
2017-01-06	
2017-01-07	
2017-01-08	
2017-01-09	
2017-01-10	-0.522234846318
2017-01-11	-0.519656833401
2017-01-12	-0.516244064228
2017-01-13	-0.505938182858
2017-01-14	-0.502471633976
2017-01-15	-0.510715188503
2017-01-16	-0.431451157755
2017-01-17	-0.334001956241
2017-01-18	-0.376809112052
2017-01-19	-0.411272542431
2017-01-20	-0.412246249034
2017-01-21	-0.406235244368
2017-01-22	-0.411489880282
2017-01-23	-0.444781676338
2017-01-24	-0.271542332209
2017-01-25	-0.203347554865
2017-01-26	0.0679329201764
2017-01-27	0.0663130416287
2017-01-28	0.0692471442946
2017-01-29	0.0690626723262
2017-01-30	0.0714971150415
2017-01-31	
2017-02-01	
2017-02-02	-0.0707587395647
2017-02-03	-0.058306934546
2017-02-04	-0.0685856072207
2017-02-05	-0.0568415002089
2017-02-06	-0.0567823555353
2017-02-07	-0.0626091099375
2017-02-08	-0.0374745160266
2017-02-09	-0.0247047820096
2017-02-10	-0.034941356161
2017-02-11	-0.0527066487202
2017-02-12	-0.085948961769
2017-02-13	-0.090891112293
2017-02-14	-0.0926807727033
2017-02-15	
2017-02-16	
2017-02-17	
2017-02-18	
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	
2017-02-28	
2017-03-01	
2017-03-02	
2017-03-03	
2017-03-04	
2017-03-05	
2017-03-06	
2017-03-07	-0.11411899625
2017-03-08	-0.118251377979
2017-03-09	-0.14133313483
2017-03-10	-0.143491323721
2017-03-11	-0.12830179339
2017-03-12	-0.150376952002
2017-03-13	-0.152886107794
2017-03-14	-0.17464358253
2017-03-15	-0.182918855292
2017-03-16	
2017-03-17	
2017-03-18	
2017-03-19	
2017-03-20	
2017-03-21	
2017-03-22	-0.447864964726
2017-03-23	-0.449301572509
2017-03-24	-0.444310935042
2017-03-25	-0.457431237782
2017-03-26	-0.463687260339
2017-03-27	-0.464076825486
2017-03-28	-0.472099028031
2017-03-29	
2017-03-30	
2017-03-31	
2017-04-01	
2017-04-02	
2017-04-03	
2017-04-04	-0.366661131409
2017-04-05	-0.194892884873
2017-04-06	-0.200354205261
2017-04-07	-0.200727116936
2017-04-08	-0.185719682422
2017-04-09	-0.194557808339
2017-04-10	-0.176317459808
2017-04-11	0.00325051742728
2017-04-12	
2017-04-13	
2017-04-14	0.00151087637968
2017-04-15	-0.0156408891419
2017-04-16	-0.0215716686813
2017-04-17	-0.0189868931126
2017-04-18	-0.300796982465
2017-04-19	-0.295932576007
2017-04-20	-0.296783437364
2017-04-21	-0.601972008696
2017-04-22	-0.599464017963
2017-04-23	-0.591487175167
2017-04-24	-0.592796027786
2017-04-25	
2017-04-26	0.668311508623
2017-04-27	0.653055139757
2017-04-28	0.654674503334
2017-04-29	0.665498127747
2017-04-30	0.675621183452
2017-05-01	0.581613281138
2017-05-02	0.438800218343
2017-05-03	0.321275946148
2017-05-04	0.326437118293
2017-05-05	0.327421431037
2017-05-06	0.313870716064
2017-05-07	0.309462955537
2017-05-08	0.131983698416
2017-05-09	
2017-05-10	
2017-05-11	0.361033199427
2017-05-12	0.320346127164
2017-05-13	0.326438019944
2017-05-14	0.326350835843
2017-05-15	0.119943429248
2017-05-16	0.135830661167
2017-05-17	0.146867834737
2017-05-18	0.0713980449913
2017-05-19	-0.0371758740867
2017-05-20	-0.0368675611868
2017-05-21	-0.0286020709392
2017-05-22	0.208740944701
2017-05-23	0.196675889963
2017-05-24	0.194528435098
2017-05-25	0.196851004609
2017-05-26	0.208420065144
2017-05-27	0.206845291154
2017-05-28	0.19804540227
2017-05-29	
2017-05-30	
2017-05-31	
2017-06-01	
2017-06-02	
2017-06-03	
2017-06-04	
2017-06-05	
2017-06-06	
2017-06-07	-0.378451408904
2017-06-08	-0.374059267255
2017-06-09	-0.372335375351
2017-06-10	-0.370142547556
2017-06-11	-0.370284085913
2017-06-12	-0.365043753637
2017-06-13	-0.237159596799
2017-06-14	-0.113542503898
2017-06-15	-0.223211030989
2017-06-16	-0.224965632469
2017-06-17	-0.242601637213
2017-06-18	-0.248556834874
2017-06-19	-0.255465393601
2017-06-20	-0.358100538988
2017-06-21	-0.35520397062
2017-06-22	-0.478101381737
2017-06-23	-0.477270042242
2017-06-24	-0.469835767474
2017-06-25	-0.461226073962
2017-06-26	-0.45863287501
2017-06-27	-0.456958193944
2017-06-28	-0.467763264821
2017-06-29	
2017-06-30	
2017-07-01	
2017-07-02	-0.540056195795
2017-07-03	-0.546398447264
2017-07-04	-0.547732399823
2017-07-05	-0.529859401126
2017-07-06	-0.533042117449
2017-07-07	-0.535399955383
2017-07-08	-0.548466211333
2017-07-09	
2017-07-10	
2017-07-11	
2017-07-12	
2017-07-13	
2017-07-14	
2017-07-15	
2017-07-16	
2017-07-17	0.151137119775
2017-07-18	0.157004216738
2017-07-19	-0.0681200515243
2017-07-20	-0.0733579077643
2017-07-21	-0.0734464494165
2017-07-22	-0.0852759908349
2017-07-23	-0.0831555227523
2017-07-24	-0.313948661429
2017-07-25	-0.323327463147
2017-07-26	
2017-07-27	
2017-07-28	-0.247277328877
2017-07-29	-0.247753735951
2017-07-30	-0.259476919626
2017-07-31	-0.034531152812
2017-08-01	-0.0342895738924
2017-08-02	-0.0362658848014
2017-08-03	-0.0455618950222
2017-08-04	0.182966476085
2017-08-05	0.184463150487
2017-08-06	0.189036843858
2017-08-07	
2017-08-08	
2017-08-09	
2017-08-10	
2017-08-11	
2017-08-12	
2017-08-13	
2017-08-14	
2017-08-15	
2017-08-16	
2017-08-17	
2017-08-18	
2017-08-19	0.10604961044
2017-08-20	0.117158814396
2017-08-21	-0.0150015766406
2017-08-22	0.0998120184925
2017-08-23	0.116017635987
2017-08-24	0.118965813733
2017-08-25	0.121537148841
2017-08-26	0.13089348508
2017-08-27	0.151986270081
2017-08-28	0.389234541504
2017-08-29	
2017-08-30	
2017-08-31	
2017-09-01	
2017-09-02	
2017-09-03	
2017-09-04	
2017-09-05	
2017-09-06	
2017-09-07	
2017-09-08	
2017-09-09	
2017-09-10	
2017-09-11	
2017-09-12	
2017-09-13	
2017-09-14	
2017-09-15	
2017-09-16	
2017-09-17	
2017-09-18	
2017-09-19	
2017-09-20	
2017-09-21	
2017-09-22	
2017-09-23	
2017-09-24	
2017-09-25	
2017-09-26	
2017-09-27	
2017-09-28	0.394421705675
2017-09-29	0.391003376219
2017-09-30	0.373787415907
2017-10-01	0.363974750747
2017-10-02	0.234775931682
2017-10-03	0.221408990426
2017-10-04	0.221491930643
2017-10-05	0.0833430536722
2017-10-06	0.0856283787901
2017-10-07	0.108668217237
2017-10-08	0.107874207316
2017-10-09	
2017-10-10	
2017-10-11	
2017-10-12	
2017-10-13	
2017-10-14	
2017-10-15	
2017-10-16	
2017-10-17	
2017-10-18	
2017-10-19	
2017-10-20	
2017-10-21	
2017-10-22	
2017-10-23	
2017-10-24	-0.00579204407005
2017-10-25	-0.0150801615691
2017-10-26	-0.0226943833208
2017-10-27	-0.0304676620647
2017-10-28	-0.0435751731924
2017-10-29	-0.0303994782493
2017-10-30	-0.0405586189866
2017-10-31	-0.0515223332484
2017-11-01	-0.047319331136
2017-11-02	-0.0443813571917
2017-11-03	-0.0358838388312
2017-11-04	-0.0238488050507
2017-11-05	-0.0216086389558
2017-11-06	-0.0174221437741
2017-11-07	-0.0947915263161
2017-11-08	-0.0971408446586
2017-11-09	-0.105796150106
2017-11-10	-0.108692024453
2017-11-11	-0.122403538138
2017-11-12	-0.124213009164
2017-11-13	-0.125164204545
2017-11-14	
2017-11-15	
2017-11-16	
2017-11-17	
2017-11-18	
2017-11-19	
2017-11-20	
2017-11-21	-0.30565620296
2017-11-22	-0.299476439816
2017-11-23	-0.288254927202
2017-11-24	-0.285075292041
2017-11-25	-0.280145507398
2017-11-26	-0.296663772761
2017-11-27	-0.098608527277
2017-11-28	0.10091146136
2017-11-29	0.096266985019
2017-11-30	0.0858578673303
2017-12-01	0.0792995692965
2017-12-02	0.0564844790282
2017-12-03	0.0615123954879
2017-12-04	-0.19893827823
2017-12-05	-0.203746041331
2017-12-06	-0.206416199605
2017-12-07	-0.212476667552
2017-12-08	-0.299733936225
2017-12-09	-0.280379109761
2017-12-10	-0.278480535385
2017-12-11	-0.384826698519
2017-12-12	-0.376854947213
2017-12-13	-0.52281368051
2017-12-14	-0.412740518389
2017-12-15	-0.43362701436
2017-12-16	-0.436582228332
2017-12-17	-0.439302407885
