Date	Information Technology
2017-01-01	-0.0243126876824
2017-01-02	-0.0410297726612
2017-01-03	-0.034850375867
2017-01-04	-0.033895497033
2017-01-05	-0.0453235260412
2017-01-06	-0.0361705158291
2017-01-07	-0.0231680323112
2017-01-08	-0.0228441155842
2017-01-09	-0.0221232444258
2017-01-10	-0.0182892238492
2017-01-11	-0.0486432405732
2017-01-12	-0.0177430498638
2017-01-13	-0.0428716464053
2017-01-14	-0.0444451535156
2017-01-15	-0.00202147307606
2017-01-16	-0.00268805880085
2017-01-17	-0.00234806932782
2017-01-18	0.0286865438697
2017-01-19	-0.0285707624925
2017-01-20	-0.0283943503675
2017-01-21	0.0142259563085
2017-01-22	0.0127208323477
2017-01-23	0.0144711749533
2017-01-24	-0.0233908500182
2017-01-25	-0.0663389074663
2017-01-26	-0.0602710603773
2017-01-27	-0.103958870914
2017-01-28	-0.104353781447
2017-01-29	-0.106542616954
2017-01-30	-0.147957751368
2017-01-31	-0.144640080164
2017-02-01	-0.146318911022
2017-02-02	-0.163521228908
2017-02-03	-0.177579499219
2017-02-04	-0.162063516208
2017-02-05	-0.163744227052
2017-02-06	-0.209061835362
2017-02-07	-0.207446545111
2017-02-08	-0.163721548313
2017-02-09	-0.0894477816349
2017-02-10	-0.0875739065855
2017-02-11	-0.0910467435002
2017-02-12	-0.0948012999313
2017-02-13	-0.0927328790491
2017-02-14	-0.081998064692
2017-02-15	-0.0787855043837
2017-02-16	-0.0781593697342
2017-02-17	-0.0793223859028
2017-02-18	-0.0632545247728
2017-02-19	-0.0672050616281
2017-02-20	-0.065930483923
2017-02-21	-0.0658920026819
2017-02-22	-0.0738099614656
2017-02-23	-0.0740777010567
2017-02-24	-0.071145854418
2017-02-25	-0.0801580601672
2017-02-26	-0.108553889807
2017-02-27	-0.108707145387
2017-02-28	-0.162970977884
2017-03-01	-0.110989434166
2017-03-02	-0.113345556447
2017-03-03	-0.0859611529116
2017-03-04	-0.0891981079354
2017-03-05	-0.0916832036054
2017-03-06	-0.0885339790924
2017-03-07	-0.0865903756444
2017-03-08	-0.0881082834422
2017-03-09	-0.0632289361716
2017-03-10	-0.0957816182019
2017-03-11	-0.217189908999
2017-03-12	-0.163278561094
2017-03-13	-0.15945414209
2017-03-14	-0.155818648615
2017-03-15	-0.106331918732
2017-03-16	-0.118238493175
2017-03-17	-0.117106286994
2017-03-18	-0.119274313894
2017-03-19	-0.118143447951
2017-03-20	-0.115905949394
2017-03-21	-0.112683500647
2017-03-22	-0.114868592422
2017-03-23	-0.114338727046
2017-03-24	-0.168597619464
2017-03-25	-0.171556991573
2017-03-26	-0.174178405004
2017-03-27	-0.168958415114
2017-03-28	-0.100153882305
2017-03-29	-0.0819197845865
2017-03-30	0.0479115311727
2017-03-31	-0.0586672194399
2017-04-01	-0.0602828640293
2017-04-02	-0.0609816442724
2017-04-03	-0.0624942354136
2017-04-04	-0.0649090270915
2017-04-05	-0.0653123528772
2017-04-06	-0.0664262367058
2017-04-07	-0.06725275136
2017-04-08	-0.0973578507484
2017-04-09	-0.0984965056703
2017-04-10	-0.0985433858757
2017-04-11	-0.200279604935
2017-04-12	-0.164177803788
2017-04-13	-0.165394144776
2017-04-14	-0.232865884086
2017-04-15	-0.154679252197
2017-04-16	-0.156977219411
2017-04-17	-0.155254770443
2017-04-18	-0.121710332345
2017-04-19	-0.120862698574
2017-04-20	-0.119569374379
2017-04-21	-0.138812515773
2017-04-22	-0.136240681039
2017-04-23	-0.0867893459556
2017-04-24	-0.0833106433599
2017-04-25	-0.0833253492988
2017-04-26	-0.0832894154037
2017-04-27	-0.0379356414826
2017-04-28	-0.0719330230073
2017-04-29	-0.149664772335
2017-04-30	-0.0622907556917
2017-05-01	-0.0847337951509
2017-05-02	-0.107212827171
2017-05-03	-0.105292857771
2017-05-04	-0.103665539293
2017-05-05	-0.140801354844
2017-05-06	-0.136852294187
2017-05-07	-0.135839098501
2017-05-08	-0.0954834516635
2017-05-09	-0.095594728998
2017-05-10	-0.0953840069601
2017-05-11	-0.0706628868858
2017-05-12	-0.0816515770494
2017-05-13	-0.0770291817714
2017-05-14	-0.0758063070618
2017-05-15	-0.112980274629
2017-05-16	-0.112795485587
2017-05-17	-0.11303950472
2017-05-18	-0.151786772534
2017-05-19	-0.163154006014
2017-05-20	-0.16279918078
2017-05-21	-0.152599223534
2017-05-22	-0.153545474977
2017-05-23	-0.154658996152
2017-05-24	-0.153878471675
2017-05-25	-0.158028213504
2017-05-26	-0.1093058601
2017-05-27	-0.143295968792
2017-05-28	-0.134849758156
2017-05-29	-0.0426206267097
2017-05-30	-0.0975254864382
2017-05-31	-0.0798875459465
2017-06-01	-0.0850512672125
2017-06-02	-0.100513498549
2017-06-03	-0.100784137653
2017-06-04	-0.0544495779264
2017-06-05	-0.0498720419373
2017-06-06	-0.0704121969154
2017-06-07	-0.126832168855
2017-06-08	-0.124809875455
2017-06-09	-0.121914493205
2017-06-10	-0.12077861232
2017-06-11	-0.120467323539
2017-06-12	-0.119957815817
2017-06-13	-0.118039643363
2017-06-14	-0.116319461038
2017-06-15	-0.11180048664
2017-06-16	-0.108985203517
2017-06-17	-0.0909990648366
2017-06-18	-0.0676723711882
2017-06-19	-0.067333864869
2017-06-20	-0.0749488142387
2017-06-21	-0.0450249321473
2017-06-22	-0.062890199344
2017-06-23	-0.0953637498107
2017-06-24	-0.086511351987
2017-06-25	-0.152649070554
2017-06-26	-0.183471600115
2017-06-27	-0.206044324788
2017-06-28	-0.286022052655
2017-06-29	-0.25976321729
2017-06-30	-0.25665902848
2017-07-01	-0.246715849088
2017-07-02	-0.250302420135
2017-07-03	-0.248591098204
2017-07-04	-0.246553257433
2017-07-05	-0.195914722062
2017-07-06	-0.19045087712
2017-07-07	-0.190254607879
2017-07-08	-0.192230615617
2017-07-09	-0.19594732933
2017-07-10	-0.195790374221
2017-07-11	-0.197350782566
2017-07-12	-0.226026656548
2017-07-13	-0.226897849596
2017-07-14	-0.228231032628
2017-07-15	-0.230929738582
2017-07-16	-0.235519835672
2017-07-17	-0.233855156242
2017-07-18	-0.233079124
2017-07-19	-0.234474938522
