Date	Real Estate
2017-01-01	-0.0776671854889
2017-01-02	-0.0767904087305
2017-01-03	-0.0650257903697
2017-01-04	-0.0665789428625
2017-01-05	-0.0254573122486
2017-01-06	-0.0264169481623
2017-01-07	-0.0344072636606
2017-01-08	-0.0291732296618
2017-01-09	-0.0293043515724
2017-01-10	-0.0172549129638
2017-01-11	-0.0191564669483
2017-01-12	-0.0185869967794
2017-01-13	-0.0152122191177
2017-01-14	-0.016255331944
2017-01-15	0.000772140278321
2017-01-16	-0.00108334060822
2017-01-17	-0.000627063291435
2017-01-18	-0.0307466156574
2017-01-19	-0.0338473840849
2017-01-20	-0.0620744321942
2017-01-21	-0.0625433083481
2017-01-22	-0.0631642442838
2017-01-23	-0.061594593085
2017-01-24	-0.0603721295091
2017-01-25	-0.0700767634559
2017-01-26	-0.074373519473
2017-01-27	-0.0746868647224
2017-01-28	-0.0580690558731
2017-01-29	-0.0756976749328
2017-01-30	-0.088099844018
2017-01-31	-0.0872536108867
2017-02-01	-0.134618138516
2017-02-02	-0.146163042177
2017-02-03	-0.15375698383
2017-02-04	-0.156502597876
2017-02-05	-0.155784139437
2017-02-06	-0.150866711742
2017-02-07	-0.134509679594
2017-02-08	-0.135251280076
2017-02-09	-0.152497689777
2017-02-10	-0.150522914639
2017-02-11	-0.152591820875
2017-02-12	-0.172847368241
2017-02-13	-0.172134732134
2017-02-14	-0.173820654942
2017-02-15	-0.17720479911
2017-02-16	-0.175840169157
2017-02-17	-0.169736969308
2017-02-18	-0.17325980684
2017-02-19	-0.152458497233
2017-02-20	-0.150561616665
2017-02-21	-0.150055453349
2017-02-22	-0.152681022906
2017-02-23	-0.181683404408
2017-02-24	-0.178411894131
2017-02-25	-0.177362451108
2017-02-26	-0.177499258583
2017-02-27	-0.211831929973
2017-02-28	-0.126176306402
2017-03-01	-0.110247403785
2017-03-02	-0.112086745175
2017-03-03	-0.000172915099129
2017-03-04	-0.00272617383929
2017-03-05	-0.00223175427688
2017-03-06	-0.000424106363841
2017-03-07	0.0412379649195
2017-03-08	0.00734408866771
2017-03-09	-0.00897499243193
2017-03-10	-0.00692558357095
2017-03-11	-0.0107485344995
2017-03-12	-0.0164414711489
2017-03-13	-0.0139831888753
2017-03-14	0.0691661591535
2017-03-15	0.0676208175495
2017-03-16	0.069835652389
2017-03-17	0.0763749148334
2017-03-18	0.0737691645353
2017-03-19	0.0761584475561
2017-03-20	0.0816704618273
2017-03-21	0.0800022957578
2017-03-22	0.152568855704
2017-03-23	0.154708364583
2017-03-24	0.156590685034
2017-03-25	0.158756276043
2017-03-26	0.162688960174
2017-03-27	0.164472105689
2017-03-28	0.251053050932
2017-03-29	0.248873240281
2017-03-30	0.201604951694
2017-03-31	0.200925682256
2017-04-01	0.202270607634
2017-04-02	0.202383592346
2017-04-03	0.198118724109
2017-04-04	0.013801353205
2017-04-05	0.012968823332
2017-04-06	0.0114608221487
2017-04-07	0.0755137081096
2017-04-08	0.0731761315925
2017-04-09	0.0677634580372
2017-04-10	0.0736265540528
2017-04-11	0.0791899246039
2017-04-12	0.0791766906295
2017-04-13	-0.0259961839771
2017-04-14	-0.0229639461678
2017-04-15	-0.0236151703219
2017-04-16	-0.0262896065652
2017-04-17	-0.0279223551445
2017-04-18	-0.0302193702869
2017-04-19	-0.0300519283266
2017-04-20	-0.0289209849614
2017-04-21	-0.1895881968
2017-04-22	-0.186749813135
2017-04-23	-0.186145237541
2017-04-24	-0.183972824938
2017-04-25	-0.314405103946
2017-04-26	-0.31339080256
2017-04-27	-0.31538273767
2017-04-28	-0.311906721134
2017-04-29	-0.30858317925
2017-04-30	-0.308751930498
2017-05-01	-0.307526767848
2017-05-02	-0.309993562613
2017-05-03	-0.306516811381
2017-05-04	-0.230391177342
2017-05-05	-0.227388552694
2017-05-06	-0.226807037585
2017-05-07	-0.447478268587
2017-05-08	-0.445981531031
2017-05-09	-0.443663982418
2017-05-10	-0.446092191351
2017-05-11	-0.445684403472
2017-05-12	-0.446809478523
2017-05-13	-0.445577491314
2017-05-14	-0.447869462106
2017-05-15	-0.447159082459
2017-05-16	-0.449832461031
2017-05-17	-0.448117582868
2017-05-18	-0.448940636482
2017-05-19	-0.448851050777
2017-05-20	-0.449637916198
2017-05-21	-0.447303113658
2017-05-22	-0.448598112177
2017-05-23	-0.449138151926
2017-05-24	-0.453825569121
2017-05-25	-0.401790491797
2017-05-26	-0.400334494331
2017-05-27	-0.396003004488
2017-05-28	-0.502273127182
2017-05-29	-0.501475222666
2017-05-30	-0.500019546731
2017-05-31	-0.502703518054
2017-06-01	-0.502467427638
2017-06-02	-0.501036523217
2017-06-03	-0.496641687272
2017-06-04	-0.496617371116
2017-06-05	-0.493068624309
2017-06-06	
2017-06-07	
2017-06-08	
2017-06-09	
2017-06-10	
2017-06-11	
2017-06-12	
2017-06-13	
2017-06-14	
2017-06-15	
2017-06-16	
2017-06-17	
2017-06-18	
2017-06-19	
2017-06-20	
2017-06-21	
2017-06-22	
2017-06-23	
2017-06-24	
2017-06-25	
2017-06-26	
2017-06-27	
2017-06-28	
2017-06-29	
2017-06-30	
2017-07-01	
2017-07-02	
2017-07-03	
2017-07-04	
2017-07-05	
2017-07-06	
2017-07-07	
2017-07-08	
2017-07-09	
2017-07-10	
2017-07-11	
2017-07-12	
2017-07-13	
2017-07-14	
2017-07-15	
2017-07-16	
2017-07-17	
2017-07-18	
2017-07-19	
2017-07-20	
2017-07-21	
2017-07-22	
2017-07-23	
2017-07-24	
2017-07-25	
2017-07-26	
2017-07-27	
2017-07-28	
2017-07-29	
2017-07-30	
2017-07-31	
2017-08-01	
2017-08-02	
2017-08-03	
2017-08-04	
2017-08-05	
2017-08-06	
2017-08-07	
2017-08-08	
2017-08-09	
2017-08-10	
2017-08-11	-0.186773751441
2017-08-12	-0.192181975641
2017-08-13	-0.195369636635
2017-08-14	-0.19410277521
2017-08-15	-0.191821578429
2017-08-16	-0.193002773685
2017-08-17	-0.194489467639
2017-08-18	-0.192818518376
2017-08-19	-0.193684357561
2017-08-20	-0.19637549294
2017-08-21	-0.19021944166
2017-08-22	-0.190401410843
2017-08-23	-0.188693041555
2017-08-24	-0.187857527924
2017-08-25	-0.186823817324
2017-08-26	-0.183799411392
2017-08-27	-0.182435511028
2017-08-28	-0.175095622784
2017-08-29	-0.166905904096
2017-08-30	-0.16411208274
2017-08-31	-0.16170876615
2017-09-01	-0.162506159418
2017-09-02	-0.155157746992
2017-09-03	-0.153627685352
2017-09-04	-0.147366197848
2017-09-05	-0.142152658844
2017-09-06	-0.137897264088
2017-09-07	-0.137600177973
2017-09-08	-0.135194233624
2017-09-09	-0.129545593995
2017-09-10	
2017-09-11	
2017-09-12	
2017-09-13	
2017-09-14	
2017-09-15	
2017-09-16	
2017-09-17	
2017-09-18	
2017-09-19	
2017-09-20	
2017-09-21	
2017-09-22	
2017-09-23	
2017-09-24	
2017-09-25	
2017-09-26	
2017-09-27	
2017-09-28	
2017-09-29	
2017-09-30	
2017-10-01	
2017-10-02	
2017-10-03	
2017-10-04	
2017-10-05	
2017-10-06	
2017-10-07	
2017-10-08	
2017-10-09	
2017-10-10	
2017-10-11	
2017-10-12	
2017-10-13	
2017-10-14	
2017-10-15	
2017-10-16	0.0253365937628
2017-10-17	0.025248975787
2017-10-18	0.0257582182463
2017-10-19	0.0230017649181
2017-10-20	0.0246060099519
2017-10-21	0.0205907699085
2017-10-22	0.0147602691406
2017-10-23	0.0169913831394
2017-10-24	0.0168034266828
2017-10-25	0.015684380237
2017-10-26	0.0147354768317
2017-10-27	0.0137075500483
2017-10-28	0.0159573065545
2017-10-29	0.0179173792628
2017-10-30	0.0150544020573
2017-10-31	0.0196626005088
2017-11-01	0.0201626934869
2017-11-02	0.020345567453
2017-11-03	0.02483345321
2017-11-04	0.0224658880579
2017-11-05	0.0221902664153
2017-11-06	0.0173013287161
2017-11-07	0.0228541415384
2017-11-08	0.0208511422596
2017-11-09	0.0137428797151
2017-11-10	0.0137342906497
2017-11-11	0.00902656748056
2017-11-12	0.00226326286757
2017-11-13	-0.00195951033403
2017-11-14	-0.00299138723564
2017-11-15	
2017-11-16	
2017-11-17	
2017-11-18	
2017-11-19	
2017-11-20	
2017-11-21	0.0259264815712
2017-11-22	0.0252654862706
2017-11-23	0.0282916040101
2017-11-24	0.0296145737375
2017-11-25	0.0369318773907
2017-11-26	0.035986489687
2017-11-27	0.0336476678874
2017-11-28	0.0339879695694
2017-11-29	0.0311892435238
2017-11-30	0.0286519537636
2017-12-01	0.0279748292029
2017-12-02	0.0269098644162
2017-12-03	0.0257756175284
2017-12-04	0.0301461456159
2017-12-05	0.0291470410476
2017-12-06	0.0265468552356
2017-12-07	-0.240289253551
2017-12-08	-0.239762566069
2017-12-09	-0.22832317533
2017-12-10	-0.227632800815
2017-12-11	-0.22403984887
2017-12-12	-0.21615074716
2017-12-13	-0.258741080594
2017-12-14	-0.261400574216
2017-12-15	-0.258906818714
2017-12-16	-0.260451966998
2017-12-17	-0.257282876259
2017-12-18	-0.263029299333
2017-12-19	-0.263525128349
2017-12-20	-0.264477281943
2017-12-21	-0.416196064873
2017-12-22	-0.419115508674
2017-12-23	-0.417249938696
2017-12-24	-0.415328196436
2017-12-25	-0.426074186514
2017-12-26	-0.422088756144
2017-12-27	-0.423288946856
2017-12-28	-0.423350467343
2017-12-29	-0.423700102498
2017-12-30	-0.313563930808
2017-12-31	-0.312718633739
2018-01-01	-0.308157251937
2018-01-02	-0.307649373562
2018-01-03	-0.305350353554
2018-01-04	-0.304787628228
2018-01-05	-0.301313785774
2018-01-06	-0.219725410088
2018-01-07	-0.218689090303
2018-01-08	-0.232136742407
2018-01-09	-0.231666557958
2018-01-10	-0.233138255931
2018-01-11	-0.232901342517
2018-01-12	-0.107837568078
2018-01-13	-0.102797677984
2018-01-14	-0.101709184901
2018-01-15	-0.0991637782995
2018-01-16	-0.100277947287
2018-01-17	-0.0999412182476
2018-01-18	-0.102947095768
2018-01-19	-0.100720253867
2018-01-20	-0.0157537701924
2018-01-21	-0.0111205544074
2018-01-22	-0.142445514425
2018-01-23	-0.147019386329
2018-01-24	-0.141459963565
2018-01-25	-0.143640506044
2018-01-26	-0.139815724949
2018-01-27	-0.132945924492
2018-01-28	-0.126977567753
2018-01-29	-0.152168581897
2018-01-30	-0.150589218455
2018-01-31	-0.154071683567
2018-02-01	-0.155580916682
2018-02-02	-0.156750923185
2018-02-03	-0.149465869128
2018-02-04	-0.145335611461
2018-02-05	-0.0504780936482
2018-02-06	-0.0492363587815
2018-02-07	-0.0409401274722
2018-02-08	-0.0421126903835
2018-02-09	-0.0386865657669
2018-02-10	-0.0382818261989
2018-02-11	-0.038744119595
2018-02-12	-0.0401638872888
2018-02-13	-0.0384997944025
2018-02-14	-0.0372334290535
2018-02-15	-0.033239494188
2018-02-16	-0.0297668135602
2018-02-17	-0.0181745557857
2018-02-18	-0.0176588414714
2018-02-19	-0.0875107564714
2018-02-20	-0.0894652724973
2018-02-21	0.164204868568
2018-02-22	0.167927171469
2018-02-23	0.172556707142
2018-02-24	0.174795635706
2018-02-25	0.175148805594
2018-02-26	0.166165469243
2018-02-27	0.166783668089
2018-02-28	0.165951244061
2018-03-01	0.162002161292
2018-03-02	0.164845134798
2018-03-03	-0.0395861288839
2018-03-04	-0.0383001350593
2018-03-05	-0.0435818836195
2018-03-06	-0.0467768699576
2018-03-07	-0.262199622826
2018-03-08	-0.261403014498
2018-03-09	-0.25872520089
2018-03-10	-0.261656047567
2018-03-11	-0.265557227803
2018-03-12	-0.0325318203932
2018-03-13	-0.032267289071
2018-03-14	0.0753013195692
2018-03-15	0.0755466113345
2018-03-16	0.0756651524199
2018-03-17	0.0358368492856
2018-03-18	0.0334206802925
2018-03-19	0.117653659143
2018-03-20	0.101909303055
2018-03-21	0.101054272403
2018-03-22	0.10167080435
2018-03-23	0.103739902297
2018-03-24	0.10101532686
2018-03-25	0.0896846360922
2018-03-26	0.0868922506738
2018-03-27	0.0560765468841
2018-03-28	0.0353010447556
2018-03-29	0.0277855588042
2018-03-30	0.0336700949762
2018-03-31	0.0376947778651
2018-04-01	0.0434178003357
2018-04-02	0.0780472939468
2018-04-03	0.0746026576114
2018-04-04	0.0819636472964
2018-04-05	0.0833721387991
2018-04-06	0.0160578662627
2018-04-07	-0.0245969318676
2018-04-08	-0.0266376485324
2018-04-09	-0.022335802058
2018-04-10	-0.0159782337888
2018-04-11	-0.032589317616
2018-04-12	-0.026229778845
2018-04-13	-0.0558637358578
2018-04-14	-0.0489998784236
2018-04-15	-0.0460738078319
2018-04-16	-0.0451695814868
2018-04-17	-0.0233527106642
2018-04-18	-0.0630151684871
2018-04-19	-0.0550745940113
2018-04-20	-0.0914531922093
2018-04-21	-0.0921551780377
2018-04-22	-0.0912472885711
2018-04-23	-0.0950072071317
2018-04-24	-0.090761656492
2018-04-25	-0.108395126587
2018-04-26	-0.111515237592
2018-04-27	-0.112538128298
2018-04-28	-0.0969263827834
2018-04-29	-0.105132160617
2018-04-30	-0.132891201152
2018-05-01	-0.127047547549
2018-05-02	-0.129176394702
2018-05-03	-0.102365673947
2018-05-04	-0.12546331053
2018-05-05	-0.113399210933
2018-05-06	-0.0591347896056
2018-05-07	-0.00952595216971
2018-05-08	-0.00950278742524
2018-05-09	-0.00344331315545
2018-05-10	-0.00544874274722
2018-05-11	-0.00828470993812
2018-05-12	-0.0115920679385
2018-05-13	-0.0113671610789
2018-05-14	-0.024275451213
2018-05-15	-0.0281986072069
2018-05-16	-0.031092343463
2018-05-17	-0.0572997744879
2018-05-18	-0.0652923576709
2018-05-19	-0.0866690756521
2018-05-20	0.00533342104265
2018-05-21	-0.0560838391874
2018-05-22	-0.0502654322509
2018-05-23	-0.0434919598227
2018-05-24	-0.081489239301
2018-05-25	-0.104532116193
2018-05-26	-0.114368167507
2018-05-27	-0.10816094061
2018-05-28	-0.1015547241
2018-05-29	-0.0971520941576
2018-05-30	-0.0635460980907
2018-05-31	-0.0905896971166
2018-06-01	-0.0764173162168
2018-06-02	-0.107519999237
2018-06-03	-0.122463083689
2018-06-04	-0.119070659721
2018-06-05	-0.136721429715
2018-06-06	-0.165342248101
2018-06-07	-0.168393234175
2018-06-08	-0.189981080421
2018-06-09	-0.175728311556
2018-06-10	-0.172079156445
2018-06-11	-0.171929469082
2018-06-12	-0.171380430471
2018-06-13	-0.169516371489
2018-06-14	-0.173932803281
2018-06-15	-0.171949591974
2018-06-16	-0.160694101418
2018-06-17	-0.152447633968
2018-06-18	-0.14931497168
2018-06-19	-0.143027046005
2018-06-20	-0.0844470138274
2018-06-21	-0.0920952242235
2018-06-22	-0.0944895842768
2018-06-23	-0.0613917286102
2018-06-24	-0.0326607390176
2018-06-25	0.00780081290653
2018-06-26	-0.0055485324268
