Date	Information Technology
2017-01-01	
2017-01-02	
2017-01-03	
2017-01-04	
2017-01-05	
2017-01-06	
2017-01-07	
2017-01-08	-0.170145758928
2017-01-09	-0.16942488777
2017-01-10	-0.16421681042
2017-01-11	-0.164673905325
2017-01-12	-0.166096940788
2017-01-13	-0.165079782473
2017-01-14	-0.166653289583
2017-01-15	-0.169406877472
2017-01-16	-0.170073463197
2017-01-17	-0.169733473724
2017-01-18	-0.16935929378
2017-01-19	-0.170023852575
2017-01-20	-0.152836091069
2017-01-21	-0.152486327364
2017-01-22	-0.153991451325
2017-01-23	-0.152241108719
2017-01-24	-0.148367488781
2017-01-25	-0.144863422891
2017-01-26	-0.145172521721
2017-01-27	-0.151560304283
2017-01-28	-0.151955214816
2017-01-29	-0.154144050323
2017-01-30	-0.168420699832
2017-01-31	-0.168425735164
2017-02-01	-0.164938133795
2017-02-02	-0.161151229887
2017-02-03	-0.15638810554
2017-02-04	-0.157636269156
2017-02-05	-0.15931698
2017-02-06	-0.153923804427
2017-02-07	-0.154138092447
2017-02-08	-0.15314509453
2017-02-09	-0.151984657044
2017-02-10	-0.150110781995
2017-02-11	-0.153583618909
2017-02-12	-0.157338175341
2017-02-13	-0.155269754458
2017-02-14	-0.152573411959
2017-02-15	-0.14936085165
2017-02-16	-0.148734717001
2017-02-17	-0.149897733169
2017-02-18	-0.152193703563
2017-02-19	-0.176858546466
2017-02-20	-0.175583968761
2017-02-21	-0.17554548752
2017-02-22	-0.177412829413
2017-02-23	-0.177680569004
2017-02-24	-0.174748722365
2017-02-25	-0.180376407186
2017-02-26	-0.207391744628
2017-02-27	-0.207545000208
2017-02-28	-0.20693003915
2017-03-01	
2017-03-02	
2017-03-03	
2017-03-04	
2017-03-05	
2017-03-06	
2017-03-07	-0.585434049596
2017-03-08	-0.586951957394
2017-03-09	-0.588932892162
2017-03-10	-0.58913375127
2017-03-11	-0.591125905175
2017-03-12	-0.595499292055
2017-03-13	-0.591674873052
2017-03-14	-0.588039379576
2017-03-15	-0.589098975221
2017-03-16	-0.589432638138
2017-03-17	-0.588300431957
2017-03-18	-0.590468458857
2017-03-19	-0.589337592914
2017-03-20	-0.179706959718
2017-03-21	-0.176484510972
2017-03-22	-0.178669602746
2017-03-23	-0.17813973737
2017-03-24	-0.177014456989
2017-03-25	-0.179973829098
2017-03-26	-0.182595242529
2017-03-27	-0.177375252639
2017-03-28	-0.17811017125
2017-03-29	-0.178918813454
2017-03-30	-0.181203634776
2017-03-31	-0.181457856785
2017-04-01	-0.183073501375
2017-04-02	-0.183772281618
2017-04-03	-0.185284872759
2017-04-04	-0.187699664437
2017-04-05	-0.188102990223
2017-04-06	0.218304187762
2017-04-07	0.11908029077
2017-04-08	0.119576122825
2017-04-09	0.118437467903
2017-04-10	0.118390587698
2017-04-11	0.121335774503
2017-04-12	0.121420648319
2017-04-13	0.12020430733
2017-04-14	0.12034468581
2017-04-15	0.119675946489
2017-04-16	0.117377979275
2017-04-17	0.119100428243
2017-04-18	0.118592468341
2017-04-19	0.0210239674735
2017-04-20	0.0223172916682
2017-04-21	0.0237676005719
2017-04-22	0.0263394353053
2017-04-23	0.0265681955667
2017-04-24	0.0300468981623
2017-04-25	0.0300321922234
2017-04-26	0.0300681261185
2017-04-27	0.0314995150951
2017-04-28	0.0336517920028
2017-04-29	0.0353569814882
2017-04-30	0.0352108718532
2017-05-01	0.0384874360671
2017-05-02	0.0386141607076
2017-05-03	0.0405341301075
2017-05-04	0.0421614485858
2017-05-05	0.0442663737215
2017-05-06	0.0442422100466
2017-05-07	
2017-05-08	
2017-05-09	
2017-05-10	
2017-05-11	
2017-05-12	
2017-05-13	
2017-05-14	
2017-05-15	
2017-05-16	
2017-05-17	
2017-05-18	-0.455284236457
2017-05-19	-0.408531583837
2017-05-20	-0.408176758603
2017-05-21	-0.40807918101
2017-05-22	-0.409025432453
2017-05-23	-0.410138953628
2017-05-24	-0.409358429151
2017-05-25	-0.40854039166
2017-05-26	-0.406275416916
2017-05-27	-0.402967283719
2017-05-28	-0.40562424944
2017-05-29	-0.401858900862
2017-05-30	-0.400201031681
2017-05-31	-0.458332757615
2017-06-01	-0.329516522118
2017-06-02	-0.304557309183
2017-06-03	-0.304827948288
2017-06-04	-0.303837070624
2017-06-05	-0.300961979275
2017-06-06	-0.293299504312
2017-06-07	-0.291190245803
2017-06-08	-0.246981935656
2017-06-09	-0.244086553407
2017-06-10	-0.242950672521
2017-06-11	-0.242639383741
2017-06-12	-0.242129876018
2017-06-13	-0.240455094673
2017-06-14	-0.238734912348
2017-06-15	-0.255645834302
2017-06-16	-0.252830551179
2017-06-17	-0.231335041819
2017-06-18	-0.218019943984
2017-06-19	-0.217681437665
2017-06-20	-0.217587114202
2017-06-21	-0.216581865994
2017-06-22	-0.215286147607
2017-06-23	-0.21501082558
2017-06-24	-0.214434105701
2017-06-25	-0.217525012134
2017-06-26	-0.218202690826
2017-06-27	-0.213957942684
2017-06-28	-0.215455983252
2017-06-29	-0.214765656508
2017-06-30	-0.157670982636
2017-07-01	-0.20541022804
2017-07-02	-0.214324378989
2017-07-03	-0.212613057058
2017-07-04	-0.210575216286
2017-07-05	-0.281075403675
2017-07-06	-0.293060511545
2017-07-07	-0.292864242304
2017-07-08	-0.402845083985
2017-07-09	-0.328832696804
2017-07-10	-0.328675741695
2017-07-11	-0.33023615004
2017-07-12	-0.320191067867
2017-07-13	-0.342204351036
2017-07-14	-0.343537534068
2017-07-15	-0.317876734256
2017-07-16	-0.322466831347
2017-07-17	-0.320802151917
2017-07-18	-0.320026119675
2017-07-19	-0.223448750296
2017-07-20	-0.221348901721
2017-07-21	-0.260874685507
2017-07-22	-0.293099323675
2017-07-23	-0.295997491623
2017-07-24	-0.29637009354
2017-07-25	-0.294081270659
2017-07-26	-0.294859950993
2017-07-27	-0.294728205917
2017-07-28	-0.29360364646
2017-07-29	-0.294426152449
2017-07-30	-0.300448089992
2017-07-31	-0.328817023528
2017-08-01	-0.326100905945
2017-08-02	-0.326568554477
2017-08-03	-0.325093893544
2017-08-04	-0.273399085425
2017-08-05	-0.274669150882
2017-08-06	-0.3099871996
2017-08-07	-0.28207473615
2017-08-08	-0.296752643375
2017-08-09	-0.297844296897
2017-08-10	-0.297664779117
2017-08-11	-0.271414336497
2017-08-12	-0.273105662442
2017-08-13	-0.276955182198
2017-08-14	-0.279795030215
2017-08-15	-0.27751598268
2017-08-16	-0.278724558042
2017-08-17	-0.277348699753
2017-08-18	-0.307056788444
2017-08-19	-0.317834331305
2017-08-20	-0.301206963421
2017-08-21	-0.271875905383
2017-08-22	-0.269261066441
2017-08-23	-0.267134798405
2017-08-24	-0.266671605592
2017-08-25	-0.265208665647
2017-08-26	-0.263273543207
2017-08-27	-0.263604613367
2017-08-28	-0.261976295029
2017-08-29	-0.25757823239
2017-08-30	-0.214967703939
2017-08-31	-0.216818270323
2017-09-01	-0.217183095665
2017-09-02	-0.20032135835
2017-09-03	-0.220863673712
2017-09-04	-0.219092394978
2017-09-05	-0.130975128901
2017-09-06	-0.176228269627
2017-09-07	-0.146635884665
2017-09-08	-0.145064246324
2017-09-09	-0.141503105835
2017-09-10	-0.183235369044
2017-09-11	-0.181571448462
2017-09-12	-0.181435154608
2017-09-13	-0.149269572784
2017-09-14	-0.147750416089
2017-09-15	-0.146968458992
2017-09-16	-0.147263265294
2017-09-17	-0.148461209571
2017-09-18	-0.0685887104982
2017-09-19	-0.0671374656465
2017-09-20	-0.097619345712
2017-09-21	-0.0983835301761
2017-09-22	-0.100237306849
2017-09-23	-0.100310022735
2017-09-24	-0.103663389275
2017-09-25	-0.204567132959
2017-09-26	-0.204734755641
2017-09-27	-0.206341256432
2017-09-28	-0.208537113194
2017-09-29	-0.209520241557
2017-09-30	-0.209102487163
2017-10-01	-0.211388924271
2017-10-02	-0.217659636827
2017-10-03	-0.221920632156
2017-10-04	-0.225576708167
2017-10-05	-0.224794790885
2017-10-06	-0.296483313132
2017-10-07	-0.330605983418
2017-10-08	-0.33588205589
2017-10-09	-0.339153905031
2017-10-10	-0.3424023729
2017-10-11	-0.343290059206
2017-10-12	-0.365762212801
2017-10-13	-0.366428672
2017-10-14	-0.411369013376
2017-10-15	-0.414013260849
2017-10-16	-0.415093240321
2017-10-17	-0.417022838769
2017-10-18	-0.621947552402
2017-10-19	-0.620806022124
2017-10-20	-0.783160302315
2017-10-21	-0.635998257907
2017-10-22	-0.639849804063
2017-10-23	-0.640599315716
2017-10-24	-0.640117673569
2017-10-25	-0.575398152699
2017-10-26	-0.577314450524
2017-10-27	-0.576020696029
