Date	BancoCentralDoBrasil Excess Sentiment
2017-01-01	-1.47920029031
2017-01-02	-1.22069192242
2017-01-03	-2.06801570994
2017-01-04	-1.264149938
2017-01-05	-1.34300019963
2017-01-06	-1.43104501447
2017-01-07	-0.435456751232
2017-01-08	-1.03417584116
2017-01-09	-1.03544936083
2017-01-10	1.09271699836
2017-01-11	1.45450865255
2017-01-12	0.610146549061
2017-01-13	0.303981455636
2017-01-14	0.356865846722
2017-01-15	0.987412960515
2017-01-16	0.959396767684
2017-01-17	-0.460846910148
2017-01-18	-1.0605793563
2017-01-19	-0.71725137705
2017-01-20	-0.316782457611
2017-01-21	-0.37581232928
2017-01-22	-0.370594445874
2017-01-23	-0.417380064508
2017-01-24	2.28444007674
2017-01-25	2.24295336695
2017-01-26	2.2147473771
2017-01-27	2.1022852725
2017-01-28	2.02481510245
2017-01-29	1.91530241364
2017-01-30	0.760775647817
2017-01-31	-2.80215253221
2017-02-01	-2.7491965853
2017-02-02	-2.68789726163
2017-02-03	-2.5831759236
2017-02-04	-2.50904193093
2017-02-05	-2.41786239944
2017-02-06	-4.73804589147
2017-02-07	
2017-02-08	
2017-02-09	
2017-02-10	-1.04775437385
2017-02-11	-1.08682870794
2017-02-12	-1.08281715078
2017-02-13	-1.10181610612
2017-02-14	-1.18478639712
2017-02-15	-1.24364695408
2017-02-16	-1.24951981305
2017-02-17	
2017-02-18	
2017-02-19	-2.5452355431
2017-02-20	-1.94502639181
2017-02-21	-1.95924599804
2017-02-22	-0.454367003737
2017-02-23	-0.5003064722
2017-02-24	-0.578568173437
2017-02-25	-0.616953202682
2017-02-26	0.334118598386
2017-02-27	0.374403969302
2017-02-28	-0.583644865657
2017-03-01	-2.00272158036
2017-03-02	-2.56961907119
2017-03-03	-2.51900489817
2017-03-04	-2.48794591176
2017-03-05	-2.43331964542
2017-03-06	-2.69838362744
2017-03-07	-2.77210916327
2017-03-08	-2.39945447137
2017-03-09	-0.458605910226
2017-03-10	-0.989967536845
2017-03-11	-1.0274446466
2017-03-12	-1.03189368224
2017-03-13	-0.685006802929
2017-03-14	-0.715423983968
2017-03-15	-0.19689878015
2017-03-16	-2.54144219448
2017-03-17	
2017-03-18	
2017-03-19	
2017-03-20	
2017-03-21	
2017-03-22	
2017-03-23	
2017-03-24	-1.88713601798
2017-03-25	-1.89625895038
2017-03-26	-1.80978292318
2017-03-27	-1.81021117812
2017-03-28	-1.82141358176
2017-03-29	-1.88851349192
2017-03-30	-1.90211585244
2017-03-31	
2017-04-01	
2017-04-02	
2017-04-03	
2017-04-04	
2017-04-05	-3.08282086892
2017-04-06	-3.0760564969
2017-04-07	-3.02818176893
2017-04-08	-2.925429339
2017-04-09	-2.91271984531
2017-04-10	-2.98556952952
2017-04-11	-2.97187012362
2017-04-12	-0.357510038765
2017-04-13	-1.79849854581
2017-04-14	-1.87765230879
2017-04-15	-1.88274240802
2017-04-16	-1.82725648351
2017-04-17	-1.80487205455
2017-04-18	-1.83524397649
2017-04-19	-3.21158569232
2017-04-20	
2017-04-21	
2017-04-22	
2017-04-23	
2017-04-24	
2017-04-25	
2017-04-26	
2017-04-27	
2017-04-28	
2017-04-29	
2017-04-30	
2017-05-01	
2017-05-02	
2017-05-03	1.46497363744
2017-05-04	1.44300223228
2017-05-05	1.47795847117
2017-05-06	1.60251055578
2017-05-07	1.55003754061
2017-05-08	1.48217773666
2017-05-09	1.50775761478
2017-05-10	
2017-05-11	5.43105860882
2017-05-12	1.99644604296
2017-05-13	2.02597021861
2017-05-14	2.10336236318
2017-05-15	2.129631202
2017-05-16	1.12613771131
2017-05-17	1.123060208
2017-05-18	-1.89029248482
2017-05-19	-2.19035915303
2017-05-20	-2.26785413778
2017-05-21	-2.30496377284
2017-05-22	-2.26718892871
2017-05-23	-3.3014348133
2017-05-24	-3.32969902975
2017-05-25	-3.65070279807
2017-05-26	-3.99684717385
2017-05-27	-3.9941517798
2017-05-28	-4.041632051
2017-05-29	-4.04785333823
2017-05-30	-4.47644108792
2017-05-31	-3.89514604279
2017-06-01	-2.67245794617
2017-06-02	-1.70123997526
2017-06-03	-1.76308302051
2017-06-04	-1.71104396225
2017-06-05	-1.72180766504
2017-06-06	-2.51951852747
2017-06-07	-2.35954885935
2017-06-08	-4.04525592992
2017-06-09	-3.95458856084
2017-06-10	-3.88962090057
2017-06-11	-3.88854242535
2017-06-12	-3.87473024808
2017-06-13	
2017-06-14	
2017-06-15	
2017-06-16	
2017-06-17	
2017-06-18	
2017-06-19	
2017-06-20	
2017-06-21	
2017-06-22	-2.56956392844
2017-06-23	-2.57568003502
2017-06-24	-2.52331655821
2017-06-25	-2.58063609215
2017-06-26	-2.55542178114
2017-06-27	-2.54606168947
2017-06-28	-2.73306351025
2017-06-29	-1.87563418102
2017-06-30	-1.88494174155
2017-07-01	-1.91722888083
2017-07-02	-1.87583837225
2017-07-03	-1.91982535366
2017-07-04	-1.90467801919
2017-07-05	-0.851167583476
2017-07-06	-3.56879725986
2017-07-07	-3.56297935398
2017-07-08	-3.57451760235
2017-07-09	-3.59371529117
2017-07-10	-3.19070332529
2017-07-11	-3.22914718004
2017-07-12	-2.62879360817
2017-07-13	-2.16756425106
2017-07-14	-2.2317967102
2017-07-15	-2.23251598238
2017-07-16	-2.24120592169
2017-07-17	-1.47084736251
2017-07-18	-1.44778343612
2017-07-19	
2017-07-20	
2017-07-21	
2017-07-22	
2017-07-23	
2017-07-24	-3.40781708362
2017-07-25	-3.47053643534
2017-07-26	-2.12354520006
2017-07-27	-2.45849456245
2017-07-28	-1.44259504522
2017-07-29	-1.55947859121
2017-07-30	-1.8070632465
2017-07-31	-1.55429140231
2017-08-01	-1.71918337504
2017-08-02	-1.88750635205
2017-08-03	-1.53208970032
2017-08-04	-2.19419713298
2017-08-05	-2.13161637446
2017-08-06	-2.07428696892
2017-08-07	-2.2944528909
2017-08-08	-2.04020655412
2017-08-09	
2017-08-10	
2017-08-11	5.21088993849
2017-08-12	5.30850025868
2017-08-13	5.35076387587
2017-08-14	5.38561444412
2017-08-15	5.44573934205
2017-08-16	5.36404535332
2017-08-17	5.22182761106
2017-08-18	
2017-08-19	
2017-08-20	
2017-08-21	
2017-08-22	
2017-08-23	
2017-08-24	
2017-08-25	
2017-08-26	
2017-08-27	
2017-08-28	
2017-08-29	
2017-08-30	
2017-08-31	
2017-09-01	
2017-09-02	
2017-09-03	
2017-09-04	
2017-09-05	
2017-09-06	
2017-09-07	
2017-09-08	
2017-09-09	
2017-09-10	
2017-09-11	
2017-09-12	
2017-09-13	
2017-09-14	
2017-09-15	
2017-09-16	
2017-09-17	
2017-09-18	
2017-09-19	
2017-09-20	
2017-09-21	
2017-09-22	
2017-09-23	
2017-09-24	
2017-09-25	
2017-09-26	
2017-09-27	
2017-09-28	
2017-09-29	
2017-09-30	
2017-10-01	
2017-10-02	
2017-10-03	
2017-10-04	
2017-10-05	0.178360880741
2017-10-06	0.19945734313
2017-10-07	0.20743094621
2017-10-08	0.261948466276
2017-10-09	0.302556532756
2017-10-10	0.354172086938
2017-10-11	0.34660629093
2017-10-12	
2017-10-13	
2017-10-14	
2017-10-15	
2017-10-16	
2017-10-17	
2017-10-18	
2017-10-19	
2017-10-20	
2017-10-21	
2017-10-22	
2017-10-23	
2017-10-24	
2017-10-25	-1.77874174173
2017-10-26	-1.94721883968
2017-10-27	-1.57828982273
2017-10-28	-1.47890681156
2017-10-29	-1.45245831101
2017-10-30	-1.46140000947
